# SYNTHETIC
account_id,balance_date,closing_balance,txn_count_day
SYNTHETIC_ACCT_0001,2024-10-03,6665.53,0
SYNTHETIC_ACCT_0001,2024-10-04,7553.68,6
SYNTHETIC_ACCT_0001,2024-10-05,8190.34,14
SYNTHETIC_ACCT_0001,2024-10-06,8991.03,14
SYNTHETIC_ACCT_0001,2024-10-07,9822.41,19
SYNTHETIC_ACCT_0001,2024-10-08,10425.41,19
SYNTHETIC_ACCT_0001,2024-10-09,11334.12,20
SYNTHETIC_ACCT_0001,2024-10-10,12147.79,14
SYNTHETIC_ACCT_0001,2024-10-11,12333.14,7
SYNTHETIC_ACCT_0001,2024-10-12,12611.19,17
SYNTHETIC_ACCT_0001,2024-10-13,12692.29,6
SYNTHETIC_ACCT_0001,2024-10-14,12629.06,9
SYNTHETIC_ACCT_0001,2024-10-15,12821.08,1
SYNTHETIC_ACCT_0001,2024-10-16,13356.01,20
SYNTHETIC_ACCT_0001,2024-10-17,13533.56,18
SYNTHETIC_ACCT_0001,2024-10-18,14440.32,13
SYNTHETIC_ACCT_0001,2024-10-19,14425.51,6
SYNTHETIC_ACCT_0001,2024-10-20,15249.33,20
SYNTHETIC_ACCT_0001,2024-10-21,16110.07,3
SYNTHETIC_ACCT_0001,2024-10-22,15746.86,2
SYNTHETIC_ACCT_0001,2024-10-23,16032.59,16
SYNTHETIC_ACCT_0001,2024-10-24,16450.7,1
SYNTHETIC_ACCT_0001,2024-10-25,17103.09,4
SYNTHETIC_ACCT_0001,2024-10-26,16846.28,1
SYNTHETIC_ACCT_0001,2024-10-27,16975.65,14
SYNTHETIC_ACCT_0001,2024-10-28,16908.82,6
SYNTHETIC_ACCT_0001,2024-10-29,16414.12,15
SYNTHETIC_ACCT_0001,2024-10-30,17197.24,15
SYNTHETIC_ACCT_0001,2024-10-31,17054.06,13
SYNTHETIC_ACCT_0001,2024-11-01,17216.87,17
SYNTHETIC_ACCT_0001,2024-11-02,17134.04,6
SYNTHETIC_ACCT_0001,2024-11-03,16707.42,1
SYNTHETIC_ACCT_0001,2024-11-04,16425.48,19
SYNTHETIC_ACCT_0001,2024-11-05,16373.14,13
SYNTHETIC_ACCT_0001,2024-11-06,17363.74,19
SYNTHETIC_ACCT_0001,2024-11-07,17722.16,18
SYNTHETIC_ACCT_0001,2024-11-08,17762.44,10
SYNTHETIC_ACCT_0001,2024-11-09,17815.29,13
SYNTHETIC_ACCT_0001,2024-11-10,18580.25,3
SYNTHETIC_ACCT_0001,2024-11-11,19122.18,16
SYNTHETIC_ACCT_0001,2024-11-12,18936.95,18
SYNTHETIC_ACCT_0001,2024-11-13,19531.54,15
SYNTHETIC_ACCT_0001,2024-11-14,20117.65,9
SYNTHETIC_ACCT_0001,2024-11-15,20258.23,18
SYNTHETIC_ACCT_0001,2024-11-16,21250.77,18
SYNTHETIC_ACCT_0001,2024-11-17,21495.37,5
SYNTHETIC_ACCT_0001,2024-11-18,22320.87,6
SYNTHETIC_ACCT_0001,2024-11-19,21823.24,3
