# SYNTHETIC
account_id,balance_date,closing_balance,txn_count_day
SYNTHETIC_ACCT_0001,2024-10-03,28996.56,8
SYNTHETIC_ACCT_0001,2024-10-04,29585.2,19
SYNTHETIC_ACCT_0001,2024-10-05,29215.46,16
SYNTHETIC_ACCT_0001,2024-10-06,29925.41,3
SYNTHETIC_ACCT_0001,2024-10-07,30059.82,14
SYNTHETIC_ACCT_0001,2024-10-08,29894.65,0
SYNTHETIC_ACCT_0001,2024-10-09,29704.9,0
SYNTHETIC_ACCT_0001,2024-10-10,30258.87,19
SYNTHETIC_ACCT_0001,2024-10-11,31022.29,19
SYNTHETIC_ACCT_0001,2024-10-12,31489.71,10
SYNTHETIC_ACCT_0001,2024-10-13,31243.95,14
SYNTHETIC_ACCT_0001,2024-10-14,31441.43,7
SYNTHETIC_ACCT_0001,2024-10-15,31564.85,6
SYNTHETIC_ACCT_0001,2024-10-16,31799.03,17
SYNTHETIC_ACCT_0001,2024-10-17,31726.78,11
SYNTHETIC_ACCT_0001,2024-10-18,31439.82,16
SYNTHETIC_ACCT_0001,2024-10-19,31471.18,10
SYNTHETIC_ACCT_0001,2024-10-20,30978.43,20
SYNTHETIC_ACCT_0001,2024-10-21,31764.46,7
SYNTHETIC_ACCT_0001,2024-10-22,32017.01,19
SYNTHETIC_ACCT_0001,2024-10-23,32606.31,19
SYNTHETIC_ACCT_0001,2024-10-24,33286.07,5
SYNTHETIC_ACCT_0001,2024-10-25,34238.94,6
SYNTHETIC_ACCT_0001,2024-10-26,34714.68,12
SYNTHETIC_ACCT_0001,2024-10-27,35223.45,10
SYNTHETIC_ACCT_0001,2024-10-28,34965.56,6
SYNTHETIC_ACCT_0001,2024-10-29,35585.96,15
SYNTHETIC_ACCT_0001,2024-10-30,36274.72,15
SYNTHETIC_ACCT_0001,2024-10-31,36990.97,19
SYNTHETIC_ACCT_0001,2024-11-01,36741.35,12
SYNTHETIC_ACCT_0001,2024-11-02,36978.19,1
SYNTHETIC_ACCT_0001,2024-11-03,37390.23,14
SYNTHETIC_ACCT_0001,2024-11-04,38168.07,11
SYNTHETIC_ACCT_0001,2024-11-05,38609.02,20
SYNTHETIC_ACCT_0001,2024-11-06,38586.53,9
SYNTHETIC_ACCT_0001,2024-11-07,38895.69,4
SYNTHETIC_ACCT_0001,2024-11-08,38740.86,2
SYNTHETIC_ACCT_0001,2024-11-09,39433.82,20
