# SYNTHETIC
account_id,balance_date,closing_balance,txn_count_day
SYNTHETIC_ACCT_0001,2024-10-03,3427.8,0
SYNTHETIC_ACCT_0001,2024-10-04,4039.58,19
SYNTHETIC_ACCT_0001,2024-10-05,3593.76,10
SYNTHETIC_ACCT_0001,2024-10-06,3242.35,0
SYNTHETIC_ACCT_0001,2024-10-07,4083.24,6
SYNTHETIC_ACCT_0001,2024-10-08,4964.21,16
SYNTHETIC_ACCT_0001,2024-10-09,5443.2,4
SYNTHETIC_ACCT_0001,2024-10-10,5112.2,19
SYNTHETIC_ACCT_0001,2024-10-11,5299.53,13
SYNTHETIC_ACCT_0001,2024-10-12,6091.54,13
SYNTHETIC_ACCT_0001,2024-10-13,5726.07,16
SYNTHETIC_ACCT_0001,2024-10-14,6302.31,9
SYNTHETIC_ACCT_0001,2024-10-15,5854.29,17
SYNTHETIC_ACCT_0001,2024-10-16,6135.21,10
SYNTHETIC_ACCT_0001,2024-10-17,6937.36,12
SYNTHETIC_ACCT_0001,2024-10-18,7495.79,19
SYNTHETIC_ACCT_0001,2024-10-19,7752.83,17
SYNTHETIC_ACCT_0001,2024-10-20,8496.07,19
SYNTHETIC_ACCT_0001,2024-10-21,8474.63,18
SYNTHETIC_ACCT_0001,2024-10-22,9204.41,12
SYNTHETIC_ACCT_0001,2024-10-23,9708.69,0
SYNTHETIC_ACCT_0001,2024-10-24,9762.33,3
SYNTHETIC_ACCT_0001,2024-10-25,9417.44,5
SYNTHETIC_ACCT_0001,2024-10-26,9069.65,12
SYNTHETIC_ACCT_0001,2024-10-27,9592.86,13
SYNTHETIC_ACCT_0001,2024-10-28,10393.76,9
SYNTHETIC_ACCT_0001,2024-10-29,9928.84,20
SYNTHETIC_ACCT_0001,2024-10-30,10359.43,8
SYNTHETIC_ACCT_0001,2024-10-31,11343.58,19
SYNTHETIC_ACCT_0001,2024-11-01,11177.66,17
SYNTHETIC_ACCT_0001,2024-11-02,11821.09,15
SYNTHETIC_ACCT_0001,2024-11-03,12114.89,10
SYNTHETIC_ACCT_0001,2024-11-04,12589.19,7
SYNTHETIC_ACCT_0001,2024-11-05,13229.25,11
SYNTHETIC_ACCT_0001,2024-11-06,13842.66,15
SYNTHETIC_ACCT_0001,2024-11-07,13429.89,0
SYNTHETIC_ACCT_0001,2024-11-08,13368.3,19
SYNTHETIC_ACCT_0001,2024-11-09,13507.92,20
SYNTHETIC_ACCT_0001,2024-11-10,13707.34,11
SYNTHETIC_ACCT_0001,2024-11-11,13469.59,19
