account_id,customer_segment,region
SYNTHETIC_ACCT_0001,WEALTH,NORTH
SYNTHETIC_ACCT_0003,WEALTH,SOUTH
SYNTHETIC_ACCT_0004,RETAIL,WEST
SYNTHETIC_ACCT_0005,RETAIL,WEST
SYNTHETIC_ACCT_0008,STUDENT,NORTH
SYNTHETIC_ACCT_0009,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0010,RETAIL,SOUTH
SYNTHETIC_ACCT_0013,RETAIL,WEST
SYNTHETIC_ACCT_0014,STUDENT,WEST
SYNTHETIC_ACCT_0015,STUDENT,SOUTH
SYNTHETIC_ACCT_0016,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0017,WEALTH,EAST
SYNTHETIC_ACCT_0019,RETAIL,SOUTH
SYNTHETIC_ACCT_0020,WEALTH,WEST
SYNTHETIC_ACCT_0021,RETAIL,EAST
SYNTHETIC_ACCT_0022,WEALTH,WEST
SYNTHETIC_ACCT_0023,STUDENT,EAST
SYNTHETIC_ACCT_0024,STUDENT,NORTH
SYNTHETIC_ACCT_0026,WEALTH,EAST
SYNTHETIC_ACCT_0027,RETAIL,SOUTH
SYNTHETIC_ACCT_0028,RETAIL,SOUTH
SYNTHETIC_ACCT_0029,WEALTH,WEST
SYNTHETIC_ACCT_0030,STUDENT,NORTH
SYNTHETIC_ACCT_0031,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0032,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0033,STUDENT,SOUTH
SYNTHETIC_ACCT_0034,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0035,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0037,WEALTH,SOUTH
SYNTHETIC_ACCT_0038,STUDENT,EAST
SYNTHETIC_ACCT_0041,STUDENT,NORTH
SYNTHETIC_ACCT_0042,STUDENT,NORTH
SYNTHETIC_ACCT_0043,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0044,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0047,RETAIL,WEST
SYNTHETIC_ACCT_0048,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0049,WEALTH,NORTH
SYNTHETIC_ACCT_0050,STUDENT,WEST
SYNTHETIC_ACCT_0051,WEALTH,NORTH
SYNTHETIC_ACCT_0052,WEALTH,WEST
SYNTHETIC_ACCT_0053,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0055,WEALTH,EAST
SYNTHETIC_ACCT_0056,WEALTH,SOUTH
SYNTHETIC_ACCT_0057,WEALTH,SOUTH
SYNTHETIC_ACCT_0058,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0059,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0060,RETAIL,WEST
SYNTHETIC_ACCT_0062,STUDENT,EAST
SYNTHETIC_ACCT_0063,RETAIL,SOUTH
SYNTHETIC_ACCT_0064,STUDENT,SOUTH
SYNTHETIC_ACCT_0066,STUDENT,NORTH
SYNTHETIC_ACCT_0067,RETAIL,WEST
SYNTHETIC_ACCT_0068,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0069,STUDENT,NORTH
SYNTHETIC_ACCT_0070,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0071,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0072,STUDENT,SOUTH
SYNTHETIC_ACCT_0073,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0074,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0075,RETAIL,EAST
SYNTHETIC_ACCT_0077,WEALTH,SOUTH
SYNTHETIC_ACCT_0078,RETAIL,WEST
SYNTHETIC_ACCT_0081,STUDENT,NORTH
SYNTHETIC_ACCT_0082,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0083,RETAIL,EAST
SYNTHETIC_ACCT_0084,STUDENT,NORTH
SYNTHETIC_ACCT_0085,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0086,RETAIL,NORTH
SYNTHETIC_ACCT_0087,RETAIL,SOUTH
SYNTHETIC_ACCT_0090,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0091,STUDENT,WEST
SYNTHETIC_ACCT_0092,WEALTH,WEST
SYNTHETIC_ACCT_0093,RETAIL,NORTH
SYNTHETIC_ACCT_0094,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0095,WEALTH,SOUTH
SYNTHETIC_ACCT_0096,RETAIL,SOUTH
SYNTHETIC_ACCT_0097,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0098,WEALTH,EAST
SYNTHETIC_ACCT_0099,WEALTH,NORTH
SYNTHETIC_ACCT_0100,WEALTH,WEST
SYNTHETIC_ACCT_0101,RETAIL,EAST
SYNTHETIC_ACCT_0102,RETAIL,NORTH
SYNTHETIC_ACCT_0103,RETAIL,NORTH
SYNTHETIC_ACCT_0104,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0105,WEALTH,WEST
SYNTHETIC_ACCT_0106,WEALTH,NORTH
SYNTHETIC_ACCT_0107,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0108,RETAIL,EAST
SYNTHETIC_ACCT_0109,RETAIL,NORTH
SYNTHETIC_ACCT_0110,WEALTH,WEST
SYNTHETIC_ACCT_0112,WEALTH,NORTH
SYNTHETIC_ACCT_0113,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0114,RETAIL,EAST
SYNTHETIC_ACCT_0115,WEALTH,EAST
SYNTHETIC_ACCT_0116,STUDENT,EAST
SYNTHETIC_ACCT_0117,WEALTH,EAST
SYNTHETIC_ACCT_0118,RETAIL,SOUTH
SYNTHETIC_ACCT_0119,STUDENT,NORTH
SYNTHETIC_ACCT_0120,STUDENT,WEST
SYNTHETIC_ACCT_0121,WEALTH,SOUTH
SYNTHETIC_ACCT_0122,WEALTH,WEST
SYNTHETIC_ACCT_0123,WEALTH,NORTH
SYNTHETIC_ACCT_0124,RETAIL,WEST
SYNTHETIC_ACCT_0125,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0126,WEALTH,EAST
SYNTHETIC_ACCT_0127,RETAIL,SOUTH
SYNTHETIC_ACCT_0128,WEALTH,EAST
SYNTHETIC_ACCT_0130,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0131,WEALTH,EAST
SYNTHETIC_ACCT_0132,STUDENT,EAST
SYNTHETIC_ACCT_0134,RETAIL,SOUTH
SYNTHETIC_ACCT_0135,STUDENT,WEST
SYNTHETIC_ACCT_0136,RETAIL,SOUTH
SYNTHETIC_ACCT_0138,STUDENT,WEST
SYNTHETIC_ACCT_0142,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0143,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0144,STUDENT,NORTH
SYNTHETIC_ACCT_0146,STUDENT,WEST
SYNTHETIC_ACCT_0148,RETAIL,EAST
SYNTHETIC_ACCT_0149,RETAIL,SOUTH
SYNTHETIC_ACCT_0150,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0151,STUDENT,EAST
SYNTHETIC_ACCT_0152,RETAIL,NORTH
SYNTHETIC_ACCT_0153,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0154,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0155,STUDENT,SOUTH
SYNTHETIC_ACCT_0157,STUDENT,NORTH
SYNTHETIC_ACCT_0158,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0159,RETAIL,NORTH
SYNTHETIC_ACCT_0160,STUDENT,SOUTH
SYNTHETIC_ACCT_0164,RETAIL,SOUTH
SYNTHETIC_ACCT_0165,STUDENT,WEST
SYNTHETIC_ACCT_0166,RETAIL,WEST
SYNTHETIC_ACCT_0167,STUDENT,SOUTH
SYNTHETIC_ACCT_0168,STUDENT,EAST
SYNTHETIC_ACCT_0169,RETAIL,NORTH
SYNTHETIC_ACCT_0170,WEALTH,WEST
SYNTHETIC_ACCT_0171,RETAIL,EAST
SYNTHETIC_ACCT_0172,WEALTH,WEST
SYNTHETIC_ACCT_0174,WEALTH,NORTH
SYNTHETIC_ACCT_0175,WEALTH,EAST
SYNTHETIC_ACCT_0176,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0177,WEALTH,WEST
SYNTHETIC_ACCT_0178,RETAIL,SOUTH
SYNTHETIC_ACCT_0179,RETAIL,WEST
SYNTHETIC_ACCT_0180,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0181,RETAIL,SOUTH
SYNTHETIC_ACCT_0182,STUDENT,EAST
SYNTHETIC_ACCT_0183,WEALTH,WEST
SYNTHETIC_ACCT_0184,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0185,RETAIL,NORTH
SYNTHETIC_ACCT_0186,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0187,STUDENT,WEST
SYNTHETIC_ACCT_0188,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0189,RETAIL,NORTH
SYNTHETIC_ACCT_0190,WEALTH,EAST
SYNTHETIC_ACCT_0191,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0193,STUDENT,NORTH
SYNTHETIC_ACCT_0196,RETAIL,WEST
SYNTHETIC_ACCT_0197,STUDENT,WEST
SYNTHETIC_ACCT_0198,WEALTH,SOUTH
SYNTHETIC_ACCT_0199,RETAIL,WEST
SYNTHETIC_ACCT_0200,RETAIL,WEST
SYNTHETIC_ACCT_0201,STUDENT,SOUTH
SYNTHETIC_ACCT_0204,RETAIL,SOUTH
SYNTHETIC_ACCT_0205,RETAIL,SOUTH
SYNTHETIC_ACCT_0206,WEALTH,NORTH
SYNTHETIC_ACCT_0207,RETAIL,SOUTH
SYNTHETIC_ACCT_0208,STUDENT,NORTH
SYNTHETIC_ACCT_0209,RETAIL,WEST
SYNTHETIC_ACCT_0210,WEALTH,WEST
SYNTHETIC_ACCT_0211,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0212,STUDENT,NORTH
SYNTHETIC_ACCT_0213,RETAIL,WEST
SYNTHETIC_ACCT_0214,RETAIL,WEST
SYNTHETIC_ACCT_0215,WEALTH,NORTH
SYNTHETIC_ACCT_0216,WEALTH,EAST
SYNTHETIC_ACCT_0217,STUDENT,EAST
SYNTHETIC_ACCT_0218,RETAIL,SOUTH
SYNTHETIC_ACCT_0219,WEALTH,SOUTH
SYNTHETIC_ACCT_0220,STUDENT,EAST
SYNTHETIC_ACCT_0221,RETAIL,SOUTH
SYNTHETIC_ACCT_0222,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0223,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0224,RETAIL,WEST
SYNTHETIC_ACCT_0225,RETAIL,SOUTH
SYNTHETIC_ACCT_0226,STUDENT,NORTH
SYNTHETIC_ACCT_0227,RETAIL,SOUTH
SYNTHETIC_ACCT_0229,RETAIL,EAST
SYNTHETIC_ACCT_0230,WEALTH,NORTH
SYNTHETIC_ACCT_0231,RETAIL,NORTH
SYNTHETIC_ACCT_0232,WEALTH,SOUTH
SYNTHETIC_ACCT_0233,STUDENT,WEST
SYNTHETIC_ACCT_0234,RETAIL,SOUTH
SYNTHETIC_ACCT_0235,WEALTH,SOUTH
SYNTHETIC_ACCT_0236,WEALTH,NORTH
SYNTHETIC_ACCT_0237,STUDENT,NORTH
SYNTHETIC_ACCT_0238,STUDENT,NORTH
SYNTHETIC_ACCT_0239,RETAIL,NORTH
SYNTHETIC_ACCT_0240,WEALTH,EAST
SYNTHETIC_ACCT_0241,RETAIL,EAST
SYNTHETIC_ACCT_0243,RETAIL,NORTH
SYNTHETIC_ACCT_0244,STUDENT,WEST
SYNTHETIC_ACCT_0245,WEALTH,SOUTH
SYNTHETIC_ACCT_0246,STUDENT,EAST
SYNTHETIC_ACCT_0247,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0248,WEALTH,NORTH
SYNTHETIC_ACCT_0249,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0250,STUDENT,WEST
SYNTHETIC_ACCT_0251,WEALTH,NORTH
SYNTHETIC_ACCT_0253,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0254,STUDENT,SOUTH
SYNTHETIC_ACCT_0256,RETAIL,EAST
SYNTHETIC_ACCT_0257,WEALTH,EAST
SYNTHETIC_ACCT_0258,WEALTH,SOUTH
SYNTHETIC_ACCT_0259,STUDENT,SOUTH
SYNTHETIC_ACCT_0260,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0261,WEALTH,EAST
SYNTHETIC_ACCT_0263,RETAIL,NORTH
SYNTHETIC_ACCT_0264,RETAIL,SOUTH
SYNTHETIC_ACCT_0265,STUDENT,EAST
SYNTHETIC_ACCT_0266,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0267,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0268,STUDENT,NORTH
SYNTHETIC_ACCT_0270,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0271,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0272,RETAIL,NORTH
SYNTHETIC_ACCT_0273,WEALTH,SOUTH
SYNTHETIC_ACCT_0274,WEALTH,NORTH
SYNTHETIC_ACCT_0275,STUDENT,NORTH
SYNTHETIC_ACCT_0276,STUDENT,SOUTH
SYNTHETIC_ACCT_0277,RETAIL,WEST
SYNTHETIC_ACCT_0278,WEALTH,EAST
SYNTHETIC_ACCT_0279,STUDENT,EAST
SYNTHETIC_ACCT_0280,STUDENT,EAST
SYNTHETIC_ACCT_0281,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0282,RETAIL,WEST
SYNTHETIC_ACCT_0283,RETAIL,WEST
SYNTHETIC_ACCT_0284,WEALTH,SOUTH
SYNTHETIC_ACCT_0287,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0288,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0289,RETAIL,SOUTH
SYNTHETIC_ACCT_0290,WEALTH,WEST
SYNTHETIC_ACCT_0293,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0296,STUDENT,SOUTH
