account_id,min_closing_balance,max_closing_balance
SYNTHETIC_ACCT_0001,6665.53,32508.19
SYNTHETIC_ACCT_0002,12806.82,37794.62
SYNTHETIC_ACCT_0003,34192.71,55926.35
SYNTHETIC_ACCT_0004,25094.13,44734.12
SYNTHETIC_ACCT_0005,24175.97,46341.68
SYNTHETIC_ACCT_0006,20882.57,38043.16
SYNTHETIC_ACCT_0007,29870.68,54037.92
SYNTHETIC_ACCT_0008,47848.32,70435.03
SYNTHETIC_ACCT_0009,40183.57,63071.49
SYNTHETIC_ACCT_0010,35935.73,66240.05
SYNTHETIC_ACCT_0011,36279.64,60021.79
SYNTHETIC_ACCT_0012,9264.72,30053.92
SYNTHETIC_ACCT_0013,1370.49,24751.48
SYNTHETIC_ACCT_0014,40801.73,58894.47
SYNTHETIC_ACCT_0015,4891.3,25640.9
SYNTHETIC_ACCT_0016,28326.82,57114.81
SYNTHETIC_ACCT_0017,40916.51,59514.99
SYNTHETIC_ACCT_0018,26264.78,44261.2
SYNTHETIC_ACCT_0019,1493.76,22977.92
SYNTHETIC_ACCT_0020,42395.47,61084.0
SYNTHETIC_ACCT_0021,32131.72,56968.33
SYNTHETIC_ACCT_0022,42780.33,61748.72
SYNTHETIC_ACCT_0023,24544.24,47866.39
SYNTHETIC_ACCT_0024,34920.41,58766.4
SYNTHETIC_ACCT_0025,3388.5,29101.52
SYNTHETIC_ACCT_0026,1428.13,19304.55
SYNTHETIC_ACCT_0027,35701.61,59007.9
SYNTHETIC_ACCT_0028,43910.12,68328.33
SYNTHETIC_ACCT_0029,21400.05,44976.79
SYNTHETIC_ACCT_0030,46135.68,72464.85
SYNTHETIC_ACCT_0031,20596.46,47506.27
SYNTHETIC_ACCT_0032,31397.1,59657.33
SYNTHETIC_ACCT_0033,26190.07,42378.5
SYNTHETIC_ACCT_0034,21825.39,45786.11
SYNTHETIC_ACCT_0035,30196.62,59169.2
SYNTHETIC_ACCT_0036,1581.05,20452.98
SYNTHETIC_ACCT_0037,33140.73,51357.37
SYNTHETIC_ACCT_0038,30183.7,43568.59
SYNTHETIC_ACCT_0039,29206.53,56942.76
SYNTHETIC_ACCT_0040,15455.32,38364.38
SYNTHETIC_ACCT_0041,7739.92,27099.06
SYNTHETIC_ACCT_0042,3995.6,24970.16
SYNTHETIC_ACCT_0043,37880.73,68401.9
SYNTHETIC_ACCT_0044,2770.82,24757.04
SYNTHETIC_ACCT_0045,18099.24,44263.55
SYNTHETIC_ACCT_0046,9634.2,35136.5
SYNTHETIC_ACCT_0047,6335.37,34431.88
SYNTHETIC_ACCT_0048,31399.71,54245.22
SYNTHETIC_ACCT_0049,32909.65,51967.1
SYNTHETIC_ACCT_0050,11351.55,32947.43
SYNTHETIC_ACCT_0051,33051.71,60432.37
SYNTHETIC_ACCT_0052,20394.08,41171.24
SYNTHETIC_ACCT_0053,44158.2,66642.39
SYNTHETIC_ACCT_0054,15.89,24288.87
SYNTHETIC_ACCT_0055,622.05,24566.33
SYNTHETIC_ACCT_0056,23141.46,43449.95
SYNTHETIC_ACCT_0057,25344.72,48879.98
SYNTHETIC_ACCT_0058,30332.57,49489.38
SYNTHETIC_ACCT_0059,30952.05,51668.37
SYNTHETIC_ACCT_0060,45755.16,72940.0
SYNTHETIC_ACCT_0061,29186.86,42950.05
SYNTHETIC_ACCT_0062,26606.36,54702.47
SYNTHETIC_ACCT_0063,5513.02,27760.17
SYNTHETIC_ACCT_0064,6654.62,30931.76
SYNTHETIC_ACCT_0065,13871.23,43856.8
SYNTHETIC_ACCT_0066,47644.04,70405.02
SYNTHETIC_ACCT_0067,18800.14,41325.54
SYNTHETIC_ACCT_0068,11588.79,34273.84
SYNTHETIC_ACCT_0069,39576.08,58463.3
SYNTHETIC_ACCT_0070,5492.89,32717.62
SYNTHETIC_ACCT_0071,15350.05,37394.3
SYNTHETIC_ACCT_0072,46189.51,70140.46
SYNTHETIC_ACCT_0073,46357.49,65542.18
SYNTHETIC_ACCT_0074,14250.74,32997.39
SYNTHETIC_ACCT_0075,34631.3,51903.32
SYNTHETIC_ACCT_0076,26619.68,52832.2
SYNTHETIC_ACCT_0077,29212.45,49146.39
SYNTHETIC_ACCT_0078,16680.49,39254.83
SYNTHETIC_ACCT_0079,12516.13,32647.75
SYNTHETIC_ACCT_0080,6703.78,30675.83
SYNTHETIC_ACCT_0081,29904.48,48085.13
SYNTHETIC_ACCT_0082,33063.45,50005.7
SYNTHETIC_ACCT_0083,4710.02,33383.08
SYNTHETIC_ACCT_0084,44609.14,67324.11
SYNTHETIC_ACCT_0085,41359.21,68080.92
SYNTHETIC_ACCT_0086,38460.94,60132.56
SYNTHETIC_ACCT_0087,40277.82,61109.85
SYNTHETIC_ACCT_0088,43654.82,63736.96
SYNTHETIC_ACCT_0089,11062.85,33288.75
SYNTHETIC_ACCT_0090,28842.2,51852.09
SYNTHETIC_ACCT_0091,5087.96,37506.17
SYNTHETIC_ACCT_0092,42656.61,62040.31
SYNTHETIC_ACCT_0093,1771.14,23084.1
SYNTHETIC_ACCT_0094,39095.84,57743.56
SYNTHETIC_ACCT_0095,8608.81,24863.37
SYNTHETIC_ACCT_0096,4938.48,27123.94
SYNTHETIC_ACCT_0097,2823.32,25034.29
SYNTHETIC_ACCT_0098,15519.25,33283.86
SYNTHETIC_ACCT_0099,38493.88,67672.72
SYNTHETIC_ACCT_0100,15603.1,41212.02
