account_id,min_closing_balance,max_closing_balance
SYNTHETIC_ACCT_0001,28996.56,49977.47
SYNTHETIC_ACCT_0002,29379.84,48471.93
SYNTHETIC_ACCT_0003,35256.95,61162.31
SYNTHETIC_ACCT_0004,22800.4,43463.36
SYNTHETIC_ACCT_0005,15363.87,38919.56
SYNTHETIC_ACCT_0006,4496.89,29715.79
SYNTHETIC_ACCT_0007,47174.1,71449.44
SYNTHETIC_ACCT_0008,966.91,17236.5
SYNTHETIC_ACCT_0009,29940.02,44312.15
SYNTHETIC_ACCT_0010,42861.52,66233.69
SYNTHETIC_ACCT_0011,21572.85,42054.77
SYNTHETIC_ACCT_0012,24141.41,43939.68
SYNTHETIC_ACCT_0013,48698.62,76015.45
SYNTHETIC_ACCT_0014,5517.06,24902.32
SYNTHETIC_ACCT_0015,8476.27,30003.83
SYNTHETIC_ACCT_0016,37007.12,60515.86
SYNTHETIC_ACCT_0017,34132.65,59542.16
SYNTHETIC_ACCT_0018,38680.52,55319.0
SYNTHETIC_ACCT_0019,42698.46,70653.71
SYNTHETIC_ACCT_0020,44436.29,62865.39
SYNTHETIC_ACCT_0021,25871.46,49869.13
SYNTHETIC_ACCT_0022,30595.31,53716.8
SYNTHETIC_ACCT_0023,38439.68,56872.03
SYNTHETIC_ACCT_0024,44052.81,73261.99
SYNTHETIC_ACCT_0025,16435.09,36652.42
SYNTHETIC_ACCT_0026,43997.95,65320.2
SYNTHETIC_ACCT_0027,29491.43,51604.44
SYNTHETIC_ACCT_0028,22973.5,47402.74
SYNTHETIC_ACCT_0029,34651.99,54607.82
SYNTHETIC_ACCT_0030,11983.3,41732.44
SYNTHETIC_ACCT_0031,26965.62,49651.92
SYNTHETIC_ACCT_0032,4514.49,28377.71
SYNTHETIC_ACCT_0033,44163.77,64443.22
SYNTHETIC_ACCT_0034,14025.77,40660.0
SYNTHETIC_ACCT_0035,31009.34,56545.56
SYNTHETIC_ACCT_0036,31722.12,47923.35
SYNTHETIC_ACCT_0037,332.64,23357.93
SYNTHETIC_ACCT_0038,43127.31,66732.93
SYNTHETIC_ACCT_0039,50031.3,71460.67
SYNTHETIC_ACCT_0040,1007.24,25642.83
SYNTHETIC_ACCT_0041,45138.11,67972.2
SYNTHETIC_ACCT_0042,9438.72,24234.37
SYNTHETIC_ACCT_0043,45676.85,69917.52
SYNTHETIC_ACCT_0044,31339.98,51533.71
SYNTHETIC_ACCT_0045,23519.71,48789.54
SYNTHETIC_ACCT_0046,39599.56,58873.29
SYNTHETIC_ACCT_0047,5036.6,22496.29
SYNTHETIC_ACCT_0048,14151.2,43834.07
SYNTHETIC_ACCT_0049,21951.38,44251.96
SYNTHETIC_ACCT_0050,33054.88,52464.04
SYNTHETIC_ACCT_0051,35470.98,56468.79
SYNTHETIC_ACCT_0052,42982.82,60979.62
SYNTHETIC_ACCT_0053,14712.35,40505.55
SYNTHETIC_ACCT_0054,40513.98,58016.16
SYNTHETIC_ACCT_0055,29371.42,55234.81
SYNTHETIC_ACCT_0056,39398.42,55482.66
SYNTHETIC_ACCT_0057,28686.16,53648.84
SYNTHETIC_ACCT_0058,45885.49,65267.02
SYNTHETIC_ACCT_0059,48907.33,68659.65
SYNTHETIC_ACCT_0060,31504.64,52854.71
SYNTHETIC_ACCT_0061,39882.38,61526.31
SYNTHETIC_ACCT_0062,35257.01,49008.18
SYNTHETIC_ACCT_0063,3582.58,21368.87
SYNTHETIC_ACCT_0064,36404.01,61046.27
SYNTHETIC_ACCT_0065,12795.02,30743.43
SYNTHETIC_ACCT_0066,41008.88,55499.78
SYNTHETIC_ACCT_0067,13243.71,34355.11
SYNTHETIC_ACCT_0068,23554.18,46368.1
SYNTHETIC_ACCT_0069,6643.98,29969.6
SYNTHETIC_ACCT_0070,9804.95,36718.36
SYNTHETIC_ACCT_0071,33479.69,55436.61
SYNTHETIC_ACCT_0072,32865.09,57731.5
SYNTHETIC_ACCT_0073,38229.98,64771.5
SYNTHETIC_ACCT_0074,37967.09,60463.71
SYNTHETIC_ACCT_0075,46566.81,70387.45
SYNTHETIC_ACCT_0076,10630.33,32177.38
SYNTHETIC_ACCT_0077,48964.31,72914.81
SYNTHETIC_ACCT_0078,26733.6,45188.13
SYNTHETIC_ACCT_0079,12577.07,36647.06
SYNTHETIC_ACCT_0080,30055.56,54056.01
SYNTHETIC_ACCT_0081,16051.74,36555.28
SYNTHETIC_ACCT_0082,12574.45,42214.96
SYNTHETIC_ACCT_0083,43434.36,63829.99
SYNTHETIC_ACCT_0084,2913.6,32641.16
SYNTHETIC_ACCT_0085,7147.27,29525.12
SYNTHETIC_ACCT_0086,32244.33,55944.81
SYNTHETIC_ACCT_0087,40765.75,63616.26
SYNTHETIC_ACCT_0088,15390.46,39383.06
SYNTHETIC_ACCT_0089,45379.73,70994.01
SYNTHETIC_ACCT_0090,6584.24,26485.84
SYNTHETIC_ACCT_0091,27242.99,56321.52
SYNTHETIC_ACCT_0092,25612.39,43496.23
SYNTHETIC_ACCT_0093,41018.37,60165.61
SYNTHETIC_ACCT_0094,38344.15,69336.74
SYNTHETIC_ACCT_0095,17812.81,42203.32
SYNTHETIC_ACCT_0096,15967.32,41487.81
SYNTHETIC_ACCT_0097,37847.47,59638.26
SYNTHETIC_ACCT_0098,40137.54,64580.85
SYNTHETIC_ACCT_0099,45220.4,67867.06
SYNTHETIC_ACCT_0100,38954.05,54554.16
