account_id,min_closing_balance,max_closing_balance
SYNTHETIC_ACCT_0001,21655.17,40568.68
SYNTHETIC_ACCT_0002,22181.83,56565.14
SYNTHETIC_ACCT_0003,31712.44,50558.24
SYNTHETIC_ACCT_0004,19990.58,43274.92
SYNTHETIC_ACCT_0005,4982.17,19893.03
SYNTHETIC_ACCT_0006,3229.33,23919.01
SYNTHETIC_ACCT_0007,10576.47,29795.99
SYNTHETIC_ACCT_0008,31936.08,53451.25
SYNTHETIC_ACCT_0009,50160.13,76236.57
SYNTHETIC_ACCT_0010,44238.24,67019.28
SYNTHETIC_ACCT_0011,24244.46,47375.45
SYNTHETIC_ACCT_0012,39026.2,52093.55
SYNTHETIC_ACCT_0013,7266.68,26563.8
SYNTHETIC_ACCT_0014,11099.26,32325.59
SYNTHETIC_ACCT_0015,17750.6,40362.54
SYNTHETIC_ACCT_0016,2067.77,23821.65
SYNTHETIC_ACCT_0017,30930.82,64788.66
SYNTHETIC_ACCT_0018,47594.86,71466.47
SYNTHETIC_ACCT_0019,16383.68,40904.98
SYNTHETIC_ACCT_0020,1481.37,27029.24
SYNTHETIC_ACCT_0021,6122.02,24094.17
SYNTHETIC_ACCT_0022,48427.43,71583.65
SYNTHETIC_ACCT_0023,12567.84,44948.39
SYNTHETIC_ACCT_0024,20757.19,48866.82
SYNTHETIC_ACCT_0025,46655.75,72216.62
SYNTHETIC_ACCT_0026,36578.84,53272.96
SYNTHETIC_ACCT_0027,23912.99,47890.47
SYNTHETIC_ACCT_0028,29495.42,47079.12
SYNTHETIC_ACCT_0029,7033.93,34203.65
SYNTHETIC_ACCT_0030,15796.98,40798.27
SYNTHETIC_ACCT_0031,37374.81,62848.32
SYNTHETIC_ACCT_0032,2218.61,32000.74
SYNTHETIC_ACCT_0033,25219.18,55993.09
SYNTHETIC_ACCT_0034,39209.08,59695.78
SYNTHETIC_ACCT_0035,7210.01,26626.52
SYNTHETIC_ACCT_0036,21001.16,47602.59
SYNTHETIC_ACCT_0037,31100.85,57214.1
SYNTHETIC_ACCT_0038,2881.23,25101.31
SYNTHETIC_ACCT_0039,5502.79,25415.25
SYNTHETIC_ACCT_0040,34796.78,60365.39
SYNTHETIC_ACCT_0041,47643.8,75827.29
SYNTHETIC_ACCT_0042,11526.01,33052.9
SYNTHETIC_ACCT_0043,24859.92,49881.19
SYNTHETIC_ACCT_0044,1310.55,22406.89
SYNTHETIC_ACCT_0045,6804.81,30052.76
SYNTHETIC_ACCT_0046,19456.43,39033.94
SYNTHETIC_ACCT_0047,3965.97,29595.87
SYNTHETIC_ACCT_0048,3735.3,21404.25
SYNTHETIC_ACCT_0049,6287.25,26963.29
SYNTHETIC_ACCT_0050,45049.44,64401.97
SYNTHETIC_ACCT_0051,24511.08,48850.0
SYNTHETIC_ACCT_0052,40726.78,71356.8
SYNTHETIC_ACCT_0053,21519.72,45245.54
SYNTHETIC_ACCT_0054,40776.2,59617.58
SYNTHETIC_ACCT_0055,33651.8,55681.86
SYNTHETIC_ACCT_0056,21751.09,50422.01
SYNTHETIC_ACCT_0057,43921.24,62810.32
SYNTHETIC_ACCT_0058,8194.74,29343.26
SYNTHETIC_ACCT_0059,4787.35,28193.22
SYNTHETIC_ACCT_0060,27653.53,59174.08
SYNTHETIC_ACCT_0061,10083.82,31198.26
SYNTHETIC_ACCT_0062,46708.47,67324.15
SYNTHETIC_ACCT_0063,16991.76,44072.71
SYNTHETIC_ACCT_0064,699.23,23406.33
SYNTHETIC_ACCT_0065,27250.36,48370.12
SYNTHETIC_ACCT_0066,4620.09,27919.57
SYNTHETIC_ACCT_0067,28759.85,53192.53
SYNTHETIC_ACCT_0068,10530.66,29170.47
SYNTHETIC_ACCT_0069,13311.1,36902.05
SYNTHETIC_ACCT_0070,5709.83,34355.4
SYNTHETIC_ACCT_0071,9793.08,33417.42
SYNTHETIC_ACCT_0072,2814.01,24165.8
SYNTHETIC_ACCT_0073,5404.19,28681.79
SYNTHETIC_ACCT_0074,36463.22,58939.65
SYNTHETIC_ACCT_0075,19855.18,40265.21
SYNTHETIC_ACCT_0076,47217.24,70663.52
SYNTHETIC_ACCT_0077,48990.86,73375.7
SYNTHETIC_ACCT_0078,13442.29,33480.46
SYNTHETIC_ACCT_0079,41199.76,66275.22
SYNTHETIC_ACCT_0080,16987.14,38725.27
SYNTHETIC_ACCT_0081,43052.5,65327.52
SYNTHETIC_ACCT_0082,4183.02,28639.39
SYNTHETIC_ACCT_0083,10854.57,32182.29
SYNTHETIC_ACCT_0084,31597.15,55391.07
SYNTHETIC_ACCT_0085,4359.7,20168.23
SYNTHETIC_ACCT_0086,19361.62,41134.21
SYNTHETIC_ACCT_0087,3357.43,17840.26
SYNTHETIC_ACCT_0088,34173.97,56885.75
SYNTHETIC_ACCT_0089,42668.57,63078.47
SYNTHETIC_ACCT_0090,29039.92,54456.65
SYNTHETIC_ACCT_0091,33563.59,54981.03
SYNTHETIC_ACCT_0092,7971.88,35631.04
SYNTHETIC_ACCT_0093,39387.54,67849.81
SYNTHETIC_ACCT_0094,40652.18,56836.88
SYNTHETIC_ACCT_0095,34447.11,57200.72
SYNTHETIC_ACCT_0096,30709.63,55758.83
SYNTHETIC_ACCT_0097,25966.97,52063.25
