account_id,min_closing_balance,max_closing_balance
SYNTHETIC_ACCT_0001,3242.35,28759.36
SYNTHETIC_ACCT_0002,28082.92,55264.18
SYNTHETIC_ACCT_0003,16652.11,41361.84
SYNTHETIC_ACCT_0004,15622.72,42143.61
SYNTHETIC_ACCT_0005,7971.28,35540.95
SYNTHETIC_ACCT_0006,952.71,21705.86
SYNTHETIC_ACCT_0007,11958.44,34081.2
SYNTHETIC_ACCT_0008,34540.25,59499.84
SYNTHETIC_ACCT_0009,18670.95,40121.5
SYNTHETIC_ACCT_0010,42122.26,67580.14
SYNTHETIC_ACCT_0011,28189.54,47013.03
SYNTHETIC_ACCT_0012,38238.66,57959.18
SYNTHETIC_ACCT_0013,2131.22,24752.1
SYNTHETIC_ACCT_0014,33165.95,56381.66
SYNTHETIC_ACCT_0015,1778.33,32984.43
SYNTHETIC_ACCT_0016,36546.65,61310.15
SYNTHETIC_ACCT_0017,3809.82,24380.07
SYNTHETIC_ACCT_0018,33693.29,52820.97
SYNTHETIC_ACCT_0019,14421.64,36885.13
SYNTHETIC_ACCT_0020,20374.59,44122.15
SYNTHETIC_ACCT_0021,49993.46,73392.11
SYNTHETIC_ACCT_0022,32050.72,53134.38
SYNTHETIC_ACCT_0023,13586.8,41979.95
SYNTHETIC_ACCT_0024,26794.48,47300.59
SYNTHETIC_ACCT_0025,13200.23,36107.83
SYNTHETIC_ACCT_0026,18076.67,38547.03
SYNTHETIC_ACCT_0027,14437.54,33300.48
SYNTHETIC_ACCT_0028,5428.33,22833.4
SYNTHETIC_ACCT_0029,26184.71,45077.89
SYNTHETIC_ACCT_0030,42553.47,67382.47
SYNTHETIC_ACCT_0031,39734.22,58537.07
SYNTHETIC_ACCT_0032,25218.85,51648.57
SYNTHETIC_ACCT_0033,35765.15,53030.86
SYNTHETIC_ACCT_0034,49691.18,73613.71
SYNTHETIC_ACCT_0035,45697.23,68395.06
SYNTHETIC_ACCT_0036,38934.51,57594.34
SYNTHETIC_ACCT_0037,25281.74,51336.97
SYNTHETIC_ACCT_0038,19225.58,48503.8
SYNTHETIC_ACCT_0039,4951.86,29562.27
SYNTHETIC_ACCT_0040,23722.02,46078.21
SYNTHETIC_ACCT_0041,19248.6,41023.94
SYNTHETIC_ACCT_0042,18033.68,44355.04
SYNTHETIC_ACCT_0043,14280.0,35085.7
SYNTHETIC_ACCT_0044,5642.2,25642.34
SYNTHETIC_ACCT_0045,13849.8,34477.36
SYNTHETIC_ACCT_0046,560.81,25872.94
SYNTHETIC_ACCT_0047,7940.77,32710.46
SYNTHETIC_ACCT_0048,35276.22,62685.25
SYNTHETIC_ACCT_0049,46153.45,68267.12
SYNTHETIC_ACCT_0050,48422.94,70145.2
SYNTHETIC_ACCT_0051,5886.41,33987.93
SYNTHETIC_ACCT_0052,49305.56,69231.0
SYNTHETIC_ACCT_0053,26451.63,54572.19
SYNTHETIC_ACCT_0054,37556.2,59434.1
SYNTHETIC_ACCT_0055,25709.12,44522.3
SYNTHETIC_ACCT_0056,46044.6,62810.71
SYNTHETIC_ACCT_0057,40968.88,61855.83
SYNTHETIC_ACCT_0058,23774.91,52005.24
SYNTHETIC_ACCT_0059,5568.89,21969.16
SYNTHETIC_ACCT_0060,47890.88,75377.62
SYNTHETIC_ACCT_0061,32743.66,54719.74
SYNTHETIC_ACCT_0062,15636.61,34890.13
SYNTHETIC_ACCT_0063,27230.99,52699.65
SYNTHETIC_ACCT_0064,14293.19,34054.76
SYNTHETIC_ACCT_0065,36475.46,58341.21
SYNTHETIC_ACCT_0066,36550.53,58600.62
SYNTHETIC_ACCT_0067,8878.38,30470.13
SYNTHETIC_ACCT_0068,35126.01,64057.09
SYNTHETIC_ACCT_0069,39081.05,64763.54
SYNTHETIC_ACCT_0070,31602.41,52523.16
SYNTHETIC_ACCT_0071,42195.06,61054.43
SYNTHETIC_ACCT_0072,44749.07,67178.87
SYNTHETIC_ACCT_0073,40786.52,66527.82
SYNTHETIC_ACCT_0074,41455.02,62937.21
SYNTHETIC_ACCT_0075,19578.5,49101.25
SYNTHETIC_ACCT_0076,26142.24,50251.76
SYNTHETIC_ACCT_0077,36704.26,62766.47
SYNTHETIC_ACCT_0078,45320.22,69132.82
SYNTHETIC_ACCT_0079,5603.06,31495.45
SYNTHETIC_ACCT_0080,30300.86,48968.33
SYNTHETIC_ACCT_0081,16820.81,32158.34
SYNTHETIC_ACCT_0082,22213.88,46516.64
SYNTHETIC_ACCT_0083,38961.37,57207.21
SYNTHETIC_ACCT_0084,41137.98,68024.45
SYNTHETIC_ACCT_0085,41469.08,71551.57
SYNTHETIC_ACCT_0086,6834.36,25133.3
SYNTHETIC_ACCT_0087,31386.02,50633.14
SYNTHETIC_ACCT_0088,37343.21,55164.45
SYNTHETIC_ACCT_0089,18436.93,39272.76
SYNTHETIC_ACCT_0090,25809.81,49205.31
SYNTHETIC_ACCT_0091,40039.1,61282.61
SYNTHETIC_ACCT_0092,7697.96,36664.48
SYNTHETIC_ACCT_0093,32623.26,57734.83
SYNTHETIC_ACCT_0094,16410.09,43166.36
SYNTHETIC_ACCT_0095,32028.18,55878.76
SYNTHETIC_ACCT_0096,46074.44,67416.3
SYNTHETIC_ACCT_0097,34615.11,55620.93
SYNTHETIC_ACCT_0098,42751.58,59962.21
SYNTHETIC_ACCT_0099,4662.31,30057.83
SYNTHETIC_ACCT_0100,37465.3,55285.62
SYNTHETIC_ACCT_0101,27289.27,58014.34
SYNTHETIC_ACCT_0102,33059.68,61644.55
SYNTHETIC_ACCT_0103,45075.95,68064.01
SYNTHETIC_ACCT_0104,7674.46,29473.85
SYNTHETIC_ACCT_0105,30920.09,53930.18
SYNTHETIC_ACCT_0106,14416.93,38930.32
SYNTHETIC_ACCT_0107,15847.06,37839.9
SYNTHETIC_ACCT_0108,40741.32,56642.9
SYNTHETIC_ACCT_0109,41508.85,65848.12
SYNTHETIC_ACCT_0110,22643.97,42997.19
SYNTHETIC_ACCT_0111,39815.7,58350.04
SYNTHETIC_ACCT_0112,10947.88,41205.11
SYNTHETIC_ACCT_0113,23620.26,43230.16
SYNTHETIC_ACCT_0114,47502.02,73476.5
SYNTHETIC_ACCT_0115,38225.42,63665.85
SYNTHETIC_ACCT_0116,17767.58,39672.94
SYNTHETIC_ACCT_0117,47594.54,62910.0
SYNTHETIC_ACCT_0118,24399.47,46935.14
SYNTHETIC_ACCT_0119,40190.72,66467.07
SYNTHETIC_ACCT_0120,4385.66,25806.24
SYNTHETIC_ACCT_0121,10394.03,28914.3
SYNTHETIC_ACCT_0122,6860.02,32046.82
SYNTHETIC_ACCT_0123,20081.15,40208.34
SYNTHETIC_ACCT_0124,17602.82,46683.45
SYNTHETIC_ACCT_0125,1142.71,28543.35
SYNTHETIC_ACCT_0126,13558.61,32947.26
SYNTHETIC_ACCT_0127,37164.9,60501.05
SYNTHETIC_ACCT_0128,7739.67,29920.48
SYNTHETIC_ACCT_0129,44799.93,67128.9
SYNTHETIC_ACCT_0130,36070.04,59490.17
SYNTHETIC_ACCT_0131,38717.12,59917.88
SYNTHETIC_ACCT_0132,20727.05,40630.85
SYNTHETIC_ACCT_0133,43724.62,72527.55
SYNTHETIC_ACCT_0134,2436.62,17117.89
SYNTHETIC_ACCT_0135,30150.74,54267.52
SYNTHETIC_ACCT_0136,47531.52,75474.54
SYNTHETIC_ACCT_0137,16083.35,36018.65
SYNTHETIC_ACCT_0138,27741.85,49776.52
SYNTHETIC_ACCT_0139,7491.27,24797.03
SYNTHETIC_ACCT_0140,47546.77,75245.97
SYNTHETIC_ACCT_0141,17899.32,41511.2
SYNTHETIC_ACCT_0142,3416.06,24241.86
SYNTHETIC_ACCT_0143,28143.97,52715.19
SYNTHETIC_ACCT_0144,17688.27,40617.22
SYNTHETIC_ACCT_0145,17617.03,41478.22
SYNTHETIC_ACCT_0146,42388.12,72946.43
SYNTHETIC_ACCT_0147,4853.41,29924.91
SYNTHETIC_ACCT_0148,37586.36,52975.85
SYNTHETIC_ACCT_0149,2109.01,18692.75
SYNTHETIC_ACCT_0150,37174.34,61298.81
SYNTHETIC_ACCT_0151,35915.99,56812.73
SYNTHETIC_ACCT_0152,1675.7,32287.57
SYNTHETIC_ACCT_0153,15434.62,34706.54
SYNTHETIC_ACCT_0154,35743.86,58276.18
SYNTHETIC_ACCT_0155,33002.24,53113.96
SYNTHETIC_ACCT_0156,21249.62,47800.5
