account_id,min_closing_balance,max_closing_balance
SYNTHETIC_ACCT_0001,10713.5,35342.29
SYNTHETIC_ACCT_0002,42020.77,64515.24
SYNTHETIC_ACCT_0003,42206.81,59644.39
SYNTHETIC_ACCT_0004,10767.75,37820.43
SYNTHETIC_ACCT_0005,2102.95,25421.18
SYNTHETIC_ACCT_0006,29317.89,58294.97
SYNTHETIC_ACCT_0007,7310.36,29178.38
SYNTHETIC_ACCT_0008,29414.1,48952.99
SYNTHETIC_ACCT_0009,48792.08,70279.13
SYNTHETIC_ACCT_0010,17123.43,41687.87
SYNTHETIC_ACCT_0011,-500.0,23007.91
SYNTHETIC_ACCT_0012,11637.13,37904.99
SYNTHETIC_ACCT_0013,48325.2,64439.01
SYNTHETIC_ACCT_0014,21105.62,46963.49
SYNTHETIC_ACCT_0015,25008.58,48632.18
SYNTHETIC_ACCT_0016,28048.59,47150.14
SYNTHETIC_ACCT_0017,9352.14,39022.37
SYNTHETIC_ACCT_0018,6860.42,24762.31
SYNTHETIC_ACCT_0019,9305.04,29271.2
SYNTHETIC_ACCT_0020,1270.14,25050.28
SYNTHETIC_ACCT_0021,44800.11,69179.35
SYNTHETIC_ACCT_0022,49089.82,75139.56
SYNTHETIC_ACCT_0023,42329.09,63783.03
SYNTHETIC_ACCT_0024,13164.26,37197.35
SYNTHETIC_ACCT_0025,31893.91,49544.61
SYNTHETIC_ACCT_0026,4132.79,26265.4
SYNTHETIC_ACCT_0027,35353.56,55390.49
SYNTHETIC_ACCT_0028,40439.63,69173.76
SYNTHETIC_ACCT_0029,25775.94,46664.99
SYNTHETIC_ACCT_0030,2742.03,29229.01
SYNTHETIC_ACCT_0031,26563.44,53237.81
SYNTHETIC_ACCT_0032,11240.02,41628.88
SYNTHETIC_ACCT_0033,41965.03,65752.47
SYNTHETIC_ACCT_0034,578.5,21735.93
SYNTHETIC_ACCT_0035,46602.43,67481.74
SYNTHETIC_ACCT_0036,31133.28,58520.18
SYNTHETIC_ACCT_0037,23833.26,39987.17
SYNTHETIC_ACCT_0038,22129.82,42458.88
SYNTHETIC_ACCT_0039,21688.89,41242.24
SYNTHETIC_ACCT_0040,42669.98,67712.7
SYNTHETIC_ACCT_0041,28516.91,51486.46
SYNTHETIC_ACCT_0042,26908.17,44809.12
SYNTHETIC_ACCT_0043,37391.78,60081.08
SYNTHETIC_ACCT_0044,22598.59,50360.75
SYNTHETIC_ACCT_0045,4985.72,24685.07
SYNTHETIC_ACCT_0046,38367.8,60661.33
SYNTHETIC_ACCT_0047,23086.55,43645.46
SYNTHETIC_ACCT_0048,29525.41,51619.04
SYNTHETIC_ACCT_0049,25998.52,49845.44
SYNTHETIC_ACCT_0050,16813.74,33703.33
SYNTHETIC_ACCT_0051,32097.74,58045.19
SYNTHETIC_ACCT_0052,41472.64,68584.47
SYNTHETIC_ACCT_0053,47317.82,70215.8
SYNTHETIC_ACCT_0054,10234.49,33781.67
SYNTHETIC_ACCT_0055,2000.07,19746.57
SYNTHETIC_ACCT_0056,44771.49,66289.47
SYNTHETIC_ACCT_0057,42893.12,62361.13
SYNTHETIC_ACCT_0058,11560.83,31203.37
SYNTHETIC_ACCT_0059,20280.36,41708.63
SYNTHETIC_ACCT_0060,33002.57,55130.87
SYNTHETIC_ACCT_0061,24663.1,45560.59
SYNTHETIC_ACCT_0062,32573.09,51470.97
SYNTHETIC_ACCT_0063,33803.9,58595.88
SYNTHETIC_ACCT_0064,32493.0,57408.89
SYNTHETIC_ACCT_0065,47052.31,73564.26
SYNTHETIC_ACCT_0066,14036.9,39252.26
SYNTHETIC_ACCT_0067,20803.79,39640.64
SYNTHETIC_ACCT_0068,32547.26,56412.68
SYNTHETIC_ACCT_0069,30025.24,50356.05
SYNTHETIC_ACCT_0070,48410.73,71381.87
SYNTHETIC_ACCT_0071,41407.36,67399.69
SYNTHETIC_ACCT_0072,16491.45,38127.84
SYNTHETIC_ACCT_0073,28477.11,52466.49
SYNTHETIC_ACCT_0074,23325.47,40660.86
SYNTHETIC_ACCT_0075,41039.2,59432.91
SYNTHETIC_ACCT_0076,16830.98,35866.68
SYNTHETIC_ACCT_0077,41018.0,62957.59
SYNTHETIC_ACCT_0078,30629.17,52957.83
SYNTHETIC_ACCT_0079,5600.86,27713.13
SYNTHETIC_ACCT_0080,360.05,21754.41
SYNTHETIC_ACCT_0081,10466.89,33706.37
SYNTHETIC_ACCT_0082,34592.21,53228.77
SYNTHETIC_ACCT_0083,3786.01,24102.25
SYNTHETIC_ACCT_0084,34488.61,64014.28
SYNTHETIC_ACCT_0085,45934.59,70055.07
SYNTHETIC_ACCT_0086,26514.65,50466.5
SYNTHETIC_ACCT_0087,43605.86,61718.9
SYNTHETIC_ACCT_0088,16044.1,37762.72
SYNTHETIC_ACCT_0089,13689.79,34429.34
SYNTHETIC_ACCT_0090,22132.29,44356.68
SYNTHETIC_ACCT_0091,27566.83,51582.03
SYNTHETIC_ACCT_0092,37473.26,70008.21
SYNTHETIC_ACCT_0093,17993.65,39143.46
SYNTHETIC_ACCT_0094,2142.61,19762.95
SYNTHETIC_ACCT_0095,8940.81,28597.5
SYNTHETIC_ACCT_0096,2692.98,28512.06
SYNTHETIC_ACCT_0097,27395.52,44516.66
SYNTHETIC_ACCT_0098,48521.51,68618.56
SYNTHETIC_ACCT_0099,41849.28,62263.26
SYNTHETIC_ACCT_0100,50405.41,77394.19
,183.81,74238.32
