txn_id,account_status
SYNTHETIC_TXN_000001,ACTIVE
SYNTHETIC_TXN_000002,CLOSED
SYNTHETIC_TXN_000003,CLOSED
SYNTHETIC_TXN_000004,CLOSED
SYNTHETIC_TXN_000005,SUSPENDED
SYNTHETIC_TXN_000006,ACTIVE
SYNTHETIC_TXN_000007,ACTIVE
SYNTHETIC_TXN_000008,ACTIVE
SYNTHETIC_TXN_000009,ACTIVE
SYNTHETIC_TXN_000010,ACTIVE
SYNTHETIC_TXN_000011,ACTIVE
SYNTHETIC_TXN_000012,ACTIVE
SYNTHETIC_TXN_000013,ACTIVE
SYNTHETIC_TXN_000014,ACTIVE
SYNTHETIC_TXN_000015,CLOSED
SYNTHETIC_TXN_000016,ACTIVE
SYNTHETIC_TXN_000017,ACTIVE
SYNTHETIC_TXN_000018,ACTIVE
SYNTHETIC_TXN_000019,ACTIVE
SYNTHETIC_TXN_000020,ACTIVE
SYNTHETIC_TXN_000021,ACTIVE
SYNTHETIC_TXN_000022,ACTIVE
SYNTHETIC_TXN_000023,ACTIVE
SYNTHETIC_TXN_000024,ACTIVE
SYNTHETIC_TXN_000025,ACTIVE
SYNTHETIC_TXN_000026,ACTIVE
SYNTHETIC_TXN_000027,ACTIVE
SYNTHETIC_TXN_000028,CLOSED
SYNTHETIC_TXN_000029,ACTIVE
SYNTHETIC_TXN_000030,ACTIVE
SYNTHETIC_TXN_000031,ACTIVE
SYNTHETIC_TXN_000032,ACTIVE
SYNTHETIC_TXN_000033,ACTIVE
SYNTHETIC_TXN_000034,ACTIVE
SYNTHETIC_TXN_000035,ACTIVE
SYNTHETIC_TXN_000036,ACTIVE
SYNTHETIC_TXN_000037,ACTIVE
SYNTHETIC_TXN_000038,SUSPENDED
SYNTHETIC_TXN_000039,ACTIVE
SYNTHETIC_TXN_000040,ACTIVE
SYNTHETIC_TXN_000041,CLOSED
SYNTHETIC_TXN_000042,ACTIVE
SYNTHETIC_TXN_000043,CLOSED
SYNTHETIC_TXN_000044,ACTIVE
SYNTHETIC_TXN_000045,ACTIVE
SYNTHETIC_TXN_000046,ACTIVE
SYNTHETIC_TXN_000047,ACTIVE
SYNTHETIC_TXN_000048,ACTIVE
SYNTHETIC_TXN_000049,ACTIVE
SYNTHETIC_TXN_000050,ACTIVE
SYNTHETIC_TXN_000051,ACTIVE
SYNTHETIC_TXN_000052,SUSPENDED
SYNTHETIC_TXN_000053,ACTIVE
SYNTHETIC_TXN_000054,ACTIVE
SYNTHETIC_TXN_000055,SUSPENDED
SYNTHETIC_TXN_000056,ACTIVE
SYNTHETIC_TXN_000057,CLOSED
SYNTHETIC_TXN_000058,ACTIVE
SYNTHETIC_TXN_000059,CLOSED
SYNTHETIC_TXN_000060,ACTIVE
SYNTHETIC_TXN_000061,CLOSED
SYNTHETIC_TXN_000062,SUSPENDED
SYNTHETIC_TXN_000063,ACTIVE
SYNTHETIC_TXN_000064,ACTIVE
SYNTHETIC_TXN_000065,ACTIVE
SYNTHETIC_TXN_000066,ACTIVE
SYNTHETIC_TXN_000067,ACTIVE
SYNTHETIC_TXN_000068,ACTIVE
SYNTHETIC_TXN_000069,ACTIVE
SYNTHETIC_TXN_000070,CLOSED
SYNTHETIC_TXN_000071,ACTIVE
SYNTHETIC_TXN_000072,ACTIVE
SYNTHETIC_TXN_000073,ACTIVE
SYNTHETIC_TXN_000074,ACTIVE
SYNTHETIC_TXN_000075,ACTIVE
SYNTHETIC_TXN_000076,ACTIVE
SYNTHETIC_TXN_000077,ACTIVE
