txn_id,account_status
SYNTHETIC_TXN_000001,CLOSED
SYNTHETIC_TXN_000002,ACTIVE
SYNTHETIC_TXN_000003,ACTIVE
SYNTHETIC_TXN_000004,SUSPENDED
SYNTHETIC_TXN_000005,ACTIVE
SYNTHETIC_TXN_000006,ACTIVE
SYNTHETIC_TXN_000007,ACTIVE
SYNTHETIC_TXN_000008,ACTIVE
SYNTHETIC_TXN_000009,CLOSED
SYNTHETIC_TXN_000010,ACTIVE
SYNTHETIC_TXN_000011,ACTIVE
SYNTHETIC_TXN_000012,ACTIVE
SYNTHETIC_TXN_000013,ACTIVE
SYNTHETIC_TXN_000014,ACTIVE
SYNTHETIC_TXN_000015,ACTIVE
SYNTHETIC_TXN_000016,ACTIVE
SYNTHETIC_TXN_000017,CLOSED
SYNTHETIC_TXN_000018,ACTIVE
SYNTHETIC_TXN_000019,ACTIVE
SYNTHETIC_TXN_000020,ACTIVE
SYNTHETIC_TXN_000021,CLOSED
SYNTHETIC_TXN_000022,ACTIVE
SYNTHETIC_TXN_000023,ACTIVE
SYNTHETIC_TXN_000024,ACTIVE
SYNTHETIC_TXN_000025,ACTIVE
SYNTHETIC_TXN_000026,ACTIVE
SYNTHETIC_TXN_000027,ACTIVE
SYNTHETIC_TXN_000028,ACTIVE
SYNTHETIC_TXN_000029,ACTIVE
SYNTHETIC_TXN_000030,ACTIVE
SYNTHETIC_TXN_000031,ACTIVE
SYNTHETIC_TXN_000032,SUSPENDED
SYNTHETIC_TXN_000033,ACTIVE
SYNTHETIC_TXN_000034,ACTIVE
SYNTHETIC_TXN_000035,ACTIVE
SYNTHETIC_TXN_000036,ACTIVE
SYNTHETIC_TXN_000037,ACTIVE
SYNTHETIC_TXN_000038,ACTIVE
SYNTHETIC_TXN_000039,ACTIVE
SYNTHETIC_TXN_000040,ACTIVE
SYNTHETIC_TXN_000041,ACTIVE
SYNTHETIC_TXN_000042,ACTIVE
SYNTHETIC_TXN_000043,ACTIVE
SYNTHETIC_TXN_000044,ACTIVE
SYNTHETIC_TXN_000045,ACTIVE
SYNTHETIC_TXN_000046,ACTIVE
SYNTHETIC_TXN_000047,ACTIVE
SYNTHETIC_TXN_000048,SUSPENDED
SYNTHETIC_TXN_000049,ACTIVE
SYNTHETIC_TXN_000050,CLOSED
SYNTHETIC_TXN_000051,CLOSED
SYNTHETIC_TXN_000052,ACTIVE
SYNTHETIC_TXN_000053,ACTIVE
SYNTHETIC_TXN_000054,ACTIVE
SYNTHETIC_TXN_000055,ACTIVE
SYNTHETIC_TXN_000056,ACTIVE
SYNTHETIC_TXN_000057,ACTIVE
SYNTHETIC_TXN_000058,SUSPENDED
SYNTHETIC_TXN_000059,ACTIVE
SYNTHETIC_TXN_000060,ACTIVE
SYNTHETIC_TXN_000061,ACTIVE
SYNTHETIC_TXN_000062,ACTIVE
SYNTHETIC_TXN_000063,ACTIVE
SYNTHETIC_TXN_000064,ACTIVE
SYNTHETIC_TXN_000065,ACTIVE
SYNTHETIC_TXN_000066,ACTIVE
SYNTHETIC_TXN_000067,ACTIVE
SYNTHETIC_TXN_000068,CLOSED
SYNTHETIC_TXN_000069,ACTIVE
SYNTHETIC_TXN_000070,ACTIVE
SYNTHETIC_TXN_000071,CLOSED
SYNTHETIC_TXN_000072,ACTIVE
SYNTHETIC_TXN_000073,ACTIVE
SYNTHETIC_TXN_000074,CLOSED
SYNTHETIC_TXN_000075,ACTIVE
SYNTHETIC_TXN_000076,ACTIVE
SYNTHETIC_TXN_000077,CLOSED
SYNTHETIC_TXN_000078,ACTIVE
SYNTHETIC_TXN_000079,ACTIVE
SYNTHETIC_TXN_000080,ACTIVE
SYNTHETIC_TXN_000081,ACTIVE
SYNTHETIC_TXN_000082,SUSPENDED
SYNTHETIC_TXN_000083,ACTIVE
SYNTHETIC_TXN_000084,ACTIVE
SYNTHETIC_TXN_000085,ACTIVE
SYNTHETIC_TXN_000086,CLOSED
SYNTHETIC_TXN_000087,ACTIVE
SYNTHETIC_TXN_000088,CLOSED
SYNTHETIC_TXN_000089,ACTIVE
SYNTHETIC_TXN_000090,ACTIVE
SYNTHETIC_TXN_000091,ACTIVE
SYNTHETIC_TXN_000092,ACTIVE
SYNTHETIC_TXN_000093,ACTIVE
SYNTHETIC_TXN_000094,ACTIVE
SYNTHETIC_TXN_000095,ACTIVE
SYNTHETIC_TXN_000096,ACTIVE
SYNTHETIC_TXN_000097,ACTIVE
SYNTHETIC_TXN_000098,ACTIVE
SYNTHETIC_TXN_000099,ACTIVE
SYNTHETIC_TXN_000100,ACTIVE
SYNTHETIC_TXN_000101,ACTIVE
SYNTHETIC_TXN_000102,ACTIVE
SYNTHETIC_TXN_000103,ACTIVE
SYNTHETIC_TXN_000104,ACTIVE
SYNTHETIC_TXN_000105,ACTIVE
SYNTHETIC_TXN_000106,ACTIVE
SYNTHETIC_TXN_000107,ACTIVE
SYNTHETIC_TXN_000108,CLOSED
SYNTHETIC_TXN_000109,ACTIVE
SYNTHETIC_TXN_000110,ACTIVE
SYNTHETIC_TXN_000111,SUSPENDED
SYNTHETIC_TXN_000112,ACTIVE
SYNTHETIC_TXN_000113,SUSPENDED
SYNTHETIC_TXN_000114,ACTIVE
SYNTHETIC_TXN_000115,ACTIVE
SYNTHETIC_TXN_000116,ACTIVE
SYNTHETIC_TXN_000117,ACTIVE
SYNTHETIC_TXN_000118,ACTIVE
SYNTHETIC_TXN_000119,ACTIVE
SYNTHETIC_TXN_000120,ACTIVE
SYNTHETIC_TXN_000121,ACTIVE
SYNTHETIC_TXN_000122,ACTIVE
SYNTHETIC_TXN_000123,ACTIVE
SYNTHETIC_TXN_000124,ACTIVE
SYNTHETIC_TXN_000125,ACTIVE
SYNTHETIC_TXN_000126,ACTIVE
SYNTHETIC_TXN_000127,ACTIVE
SYNTHETIC_TXN_000128,ACTIVE
SYNTHETIC_TXN_000129,CLOSED
SYNTHETIC_TXN_000130,SUSPENDED
SYNTHETIC_TXN_000131,ACTIVE
SYNTHETIC_TXN_000132,ACTIVE
SYNTHETIC_TXN_000133,ACTIVE
SYNTHETIC_TXN_000134,ACTIVE
SYNTHETIC_TXN_000135,CLOSED
SYNTHETIC_TXN_000136,CLOSED
SYNTHETIC_TXN_000137,ACTIVE
SYNTHETIC_TXN_000138,ACTIVE
SYNTHETIC_TXN_000139,ACTIVE
SYNTHETIC_TXN_000140,ACTIVE
SYNTHETIC_TXN_000141,ACTIVE
SYNTHETIC_TXN_000142,ACTIVE
SYNTHETIC_TXN_000143,ACTIVE
SYNTHETIC_TXN_000144,ACTIVE
SYNTHETIC_TXN_000145,ACTIVE
SYNTHETIC_TXN_000146,CLOSED
SYNTHETIC_TXN_000147,ACTIVE
SYNTHETIC_TXN_000148,ACTIVE
SYNTHETIC_TXN_000149,ACTIVE
SYNTHETIC_TXN_000150,ACTIVE
SYNTHETIC_TXN_000151,ACTIVE
SYNTHETIC_TXN_000152,ACTIVE
SYNTHETIC_TXN_000153,ACTIVE
SYNTHETIC_TXN_000154,ACTIVE
SYNTHETIC_TXN_000155,ACTIVE
SYNTHETIC_TXN_000156,ACTIVE
SYNTHETIC_TXN_000157,ACTIVE
SYNTHETIC_TXN_000158,ACTIVE
SYNTHETIC_TXN_000159,ACTIVE
SYNTHETIC_TXN_000160,SUSPENDED
SYNTHETIC_TXN_000161,ACTIVE
SYNTHETIC_TXN_000162,ACTIVE
SYNTHETIC_TXN_000163,ACTIVE
SYNTHETIC_TXN_000164,ACTIVE
SYNTHETIC_TXN_000165,SUSPENDED
SYNTHETIC_TXN_000166,ACTIVE
SYNTHETIC_TXN_000167,ACTIVE
SYNTHETIC_TXN_000168,ACTIVE
SYNTHETIC_TXN_000169,ACTIVE
SYNTHETIC_TXN_000170,SUSPENDED
SYNTHETIC_TXN_000171,SUSPENDED
SYNTHETIC_TXN_000172,ACTIVE
SYNTHETIC_TXN_000173,ACTIVE
