txn_id,account_status
SYNTHETIC_TXN_000001,ACTIVE
SYNTHETIC_TXN_000002,CLOSED
SYNTHETIC_TXN_000003,CLOSED
SYNTHETIC_TXN_000004,CLOSED
SYNTHETIC_TXN_000005,SUSPENDED
SYNTHETIC_TXN_000006,ACTIVE
SYNTHETIC_TXN_000007,ACTIVE
SYNTHETIC_TXN_000009,SUSPENDED
SYNTHETIC_TXN_000011,ACTIVE
SYNTHETIC_TXN_000013,ACTIVE
SYNTHETIC_TXN_000014,ACTIVE
SYNTHETIC_TXN_000016,ACTIVE
SYNTHETIC_TXN_000017,ACTIVE
SYNTHETIC_TXN_000018,ACTIVE
SYNTHETIC_TXN_000019,CLOSED
SYNTHETIC_TXN_000020,CLOSED
SYNTHETIC_TXN_000021,ACTIVE
SYNTHETIC_TXN_000022,ACTIVE
SYNTHETIC_TXN_000024,ACTIVE
SYNTHETIC_TXN_000026,ACTIVE
SYNTHETIC_TXN_000027,ACTIVE
SYNTHETIC_TXN_000028,ACTIVE
SYNTHETIC_TXN_000030,ACTIVE
SYNTHETIC_TXN_000033,ACTIVE
SYNTHETIC_TXN_000034,ACTIVE
SYNTHETIC_TXN_000035,ACTIVE
SYNTHETIC_TXN_000037,ACTIVE
SYNTHETIC_TXN_000038,ACTIVE
SYNTHETIC_TXN_000039,ACTIVE
SYNTHETIC_TXN_000040,ACTIVE
SYNTHETIC_TXN_000042,ACTIVE
SYNTHETIC_TXN_000044,ACTIVE
SYNTHETIC_TXN_000045,ACTIVE
SYNTHETIC_TXN_000046,ACTIVE
SYNTHETIC_TXN_000047,ACTIVE
SYNTHETIC_TXN_000048,ACTIVE
SYNTHETIC_TXN_000049,ACTIVE
SYNTHETIC_TXN_000050,ACTIVE
SYNTHETIC_TXN_000051,ACTIVE
SYNTHETIC_TXN_000053,ACTIVE
SYNTHETIC_TXN_000054,ACTIVE
SYNTHETIC_TXN_000055,ACTIVE
SYNTHETIC_TXN_000056,ACTIVE
SYNTHETIC_TXN_000057,ACTIVE
SYNTHETIC_TXN_000060,ACTIVE
SYNTHETIC_TXN_000061,ACTIVE
SYNTHETIC_TXN_000062,CLOSED
SYNTHETIC_TXN_000063,ACTIVE
SYNTHETIC_TXN_000065,SUSPENDED
SYNTHETIC_TXN_000067,ACTIVE
SYNTHETIC_TXN_000068,ACTIVE
SYNTHETIC_TXN_000069,SUSPENDED
SYNTHETIC_TXN_000071,ACTIVE
SYNTHETIC_TXN_000073,ACTIVE
SYNTHETIC_TXN_000074,CLOSED
SYNTHETIC_TXN_000075,ACTIVE
SYNTHETIC_TXN_000077,ACTIVE
SYNTHETIC_TXN_000079,ACTIVE
SYNTHETIC_TXN_000086,ACTIVE
SYNTHETIC_TXN_000087,ACTIVE
SYNTHETIC_TXN_000089,CLOSED
SYNTHETIC_TXN_000090,ACTIVE
SYNTHETIC_TXN_000091,ACTIVE
SYNTHETIC_TXN_000092,CLOSED
SYNTHETIC_TXN_000093,ACTIVE
SYNTHETIC_TXN_000094,ACTIVE
SYNTHETIC_TXN_000095,CLOSED
SYNTHETIC_TXN_000096,ACTIVE
SYNTHETIC_TXN_000098,ACTIVE
SYNTHETIC_TXN_000099,ACTIVE
SYNTHETIC_TXN_000101,ACTIVE
SYNTHETIC_TXN_000102,ACTIVE
SYNTHETIC_TXN_000105,ACTIVE
SYNTHETIC_TXN_000106,ACTIVE
SYNTHETIC_TXN_000107,ACTIVE
SYNTHETIC_TXN_000109,ACTIVE
SYNTHETIC_TXN_000110,ACTIVE
