txn_id,txn_amount,txn_amount_bucket
SYNTHETIC_TXN_000001,6600.33,large
SYNTHETIC_TXN_000002,276.01,medium
SYNTHETIC_TXN_000003,4363.94,large
SYNTHETIC_TXN_000004,5384.52,large
SYNTHETIC_TXN_000005,6633.87,large
SYNTHETIC_TXN_000006,4204.46,large
SYNTHETIC_TXN_000007,7857.58,large
SYNTHETIC_TXN_000008,847.96,medium
SYNTHETIC_TXN_000009,8065.62,large
SYNTHETIC_TXN_000010,6963.54,large
SYNTHETIC_TXN_000011,502.19,medium
SYNTHETIC_TXN_000012,7552.5,large
SYNTHETIC_TXN_000013,7517.76,large
SYNTHETIC_TXN_000014,3358.48,large
SYNTHETIC_TXN_000015,4076.0,large
SYNTHETIC_TXN_000016,8806.56,large
SYNTHETIC_TXN_000017,7346.34,large
SYNTHETIC_TXN_000018,7981.42,large
SYNTHETIC_TXN_000019,1357.0,large
SYNTHETIC_TXN_000020,2782.57,large
SYNTHETIC_TXN_000021,686.19,medium
SYNTHETIC_TXN_000022,6694.59,large
SYNTHETIC_TXN_000023,7777.91,large
SYNTHETIC_TXN_000024,7150.14,large
SYNTHETIC_TXN_000025,1210.56,large
SYNTHETIC_TXN_000026,8223.3,large
SYNTHETIC_TXN_000027,8081.99,large
SYNTHETIC_TXN_000028,4508.02,large
SYNTHETIC_TXN_000029,3548.25,large
SYNTHETIC_TXN_000030,4885.78,large
SYNTHETIC_TXN_000031,2433.06,large
SYNTHETIC_TXN_000032,2709.17,large
SYNTHETIC_TXN_000033,2163.85,large
SYNTHETIC_TXN_000034,141.49,medium
SYNTHETIC_TXN_000035,8727.19,large
SYNTHETIC_TXN_000036,653.44,medium
SYNTHETIC_TXN_000037,2481.91,large
SYNTHETIC_TXN_000038,3053.81,large
SYNTHETIC_TXN_000039,750.66,medium
SYNTHETIC_TXN_000040,4540.31,large
SYNTHETIC_TXN_000041,8266.31,large
SYNTHETIC_TXN_000042,2722.47,large
SYNTHETIC_TXN_000043,9619.1,large
SYNTHETIC_TXN_000044,6515.09,large
SYNTHETIC_TXN_000045,6701.33,large
SYNTHETIC_TXN_000046,4548.26,large
SYNTHETIC_TXN_000047,5184.39,large
SYNTHETIC_TXN_000048,6982.5,large
SYNTHETIC_TXN_000049,9922.56,large
SYNTHETIC_TXN_000050,8347.23,large
SYNTHETIC_TXN_000051,8640.26,large
SYNTHETIC_TXN_000052,6599.4,large
SYNTHETIC_TXN_000053,3217.78,large
SYNTHETIC_TXN_000054,7052.27,large
SYNTHETIC_TXN_000055,1003.65,large
SYNTHETIC_TXN_000056,748.29,medium
SYNTHETIC_TXN_000057,3166.62,large
SYNTHETIC_TXN_000058,7467.66,large
SYNTHETIC_TXN_000059,7961.43,large
SYNTHETIC_TXN_000060,789.69,medium
SYNTHETIC_TXN_000061,4595.71,large
SYNTHETIC_TXN_000062,9620.28,large
SYNTHETIC_TXN_000063,5748.12,large
SYNTHETIC_TXN_000064,490.45,medium
SYNTHETIC_TXN_000065,7209.28,large
SYNTHETIC_TXN_000066,1314.13,large
SYNTHETIC_TXN_000067,9134.86,large
SYNTHETIC_TXN_000068,9664.99,large
SYNTHETIC_TXN_000069,4547.86,large
SYNTHETIC_TXN_000070,9431.68,large
SYNTHETIC_TXN_000071,453.48,medium
SYNTHETIC_TXN_000072,9493.8,large
SYNTHETIC_TXN_000073,9515.21,large
SYNTHETIC_TXN_000074,3673.35,large
SYNTHETIC_TXN_000075,2121.06,large
SYNTHETIC_TXN_000076,7651.57,large
SYNTHETIC_TXN_000077,1446.89,large
SYNTHETIC_TXN_000078,157.82,medium
SYNTHETIC_TXN_000079,4520.06,large
SYNTHETIC_TXN_000080,4262.74,large
SYNTHETIC_TXN_000081,6330.76,large
SYNTHETIC_TXN_000082,6547.13,large
