txn_id,txn_amount,txn_amount_bucket
SYNTHETIC_TXN_000001,7805.1,large
SYNTHETIC_TXN_000002,7940.21,large
SYNTHETIC_TXN_000002,7940.21,large
SYNTHETIC_TXN_000002,7940.21,large
SYNTHETIC_TXN_000002,7940.21,large
SYNTHETIC_TXN_000003,1516.98,large
SYNTHETIC_TXN_000004,2351.34,large
SYNTHETIC_TXN_000004,2351.34,large
SYNTHETIC_TXN_000004,2351.34,large
SYNTHETIC_TXN_000004,2351.34,large
SYNTHETIC_TXN_000005,8146.52,large
SYNTHETIC_TXN_000006,6046.93,large
SYNTHETIC_TXN_000007,6026.54,large
SYNTHETIC_TXN_000008,3256.4,large
SYNTHETIC_TXN_000009,4273.71,large
SYNTHETIC_TXN_000009,4273.71,large
SYNTHETIC_TXN_000010,6253.81,large
SYNTHETIC_TXN_000011,8927.62,large
SYNTHETIC_TXN_000011,8927.62,large
SYNTHETIC_TXN_000012,5537.17,large
SYNTHETIC_TXN_000013,3084.13,large
SYNTHETIC_TXN_000014,8847.96,large
SYNTHETIC_TXN_000015,1296.43,large
SYNTHETIC_TXN_000016,238.28,medium
SYNTHETIC_TXN_000017,3382.18,large
SYNTHETIC_TXN_000018,7991.57,large
SYNTHETIC_TXN_000019,4007.19,large
SYNTHETIC_TXN_000020,9389.24,large
SYNTHETIC_TXN_000021,507.62,medium
SYNTHETIC_TXN_000022,6580.76,large
SYNTHETIC_TXN_000023,4208.02,large
SYNTHETIC_TXN_000024,5968.16,large
SYNTHETIC_TXN_000025,6478.9,large
SYNTHETIC_TXN_000026,8022.26,large
SYNTHETIC_TXN_000027,7128.15,large
SYNTHETIC_TXN_000028,7854.22,large
SYNTHETIC_TXN_000029,6908.55,large
SYNTHETIC_TXN_000029,6908.55,large
SYNTHETIC_TXN_000030,7443.52,large
SYNTHETIC_TXN_000031,9871.49,large
SYNTHETIC_TXN_000032,6378.69,large
SYNTHETIC_TXN_000032,6378.69,large
SYNTHETIC_TXN_000033,3651.38,large
SYNTHETIC_TXN_000033,3651.38,large
SYNTHETIC_TXN_000034,2023.34,large
SYNTHETIC_TXN_000035,3564.61,large
SYNTHETIC_TXN_000036,4860.68,large
SYNTHETIC_TXN_000037,4883.02,large
SYNTHETIC_TXN_000038,1900.22,large
SYNTHETIC_TXN_000039,9361.8,large
SYNTHETIC_TXN_000040,4443.93,large
SYNTHETIC_TXN_000040,4443.93,large
SYNTHETIC_TXN_000041,2263.91,large
SYNTHETIC_TXN_000042,8488.12,large
SYNTHETIC_TXN_000043,9100.18,large
SYNTHETIC_TXN_000043,9100.18,large
SYNTHETIC_TXN_000044,3827.69,large
SYNTHETIC_TXN_000045,6095.14,large
SYNTHETIC_TXN_000046,631.78,medium
SYNTHETIC_TXN_000047,1603.1,large
SYNTHETIC_TXN_000048,9294.59,large
SYNTHETIC_TXN_000048,9294.59,large
SYNTHETIC_TXN_000049,3257.87,large
SYNTHETIC_TXN_000050,5562.62,large
SYNTHETIC_TXN_000051,7648.33,large
SYNTHETIC_TXN_000052,5694.98,large
SYNTHETIC_TXN_000053,1686.68,large
SYNTHETIC_TXN_000053,1686.68,large
SYNTHETIC_TXN_000053,1686.68,large
SYNTHETIC_TXN_000054,6270.46,large
SYNTHETIC_TXN_000055,2515.0,large
SYNTHETIC_TXN_000056,3024.94,large
SYNTHETIC_TXN_000057,244.01,medium
SYNTHETIC_TXN_000058,1244.23,large
SYNTHETIC_TXN_000059,4502.1,large
SYNTHETIC_TXN_000060,6752.57,large
SYNTHETIC_TXN_000061,7024.57,large
SYNTHETIC_TXN_000062,3438.89,large
SYNTHETIC_TXN_000063,2595.21,large
SYNTHETIC_TXN_000064,4013.11,large
SYNTHETIC_TXN_000065,750.61,medium
SYNTHETIC_TXN_000066,7656.71,large
SYNTHETIC_TXN_000067,5175.95,large
SYNTHETIC_TXN_000068,724.04,medium
SYNTHETIC_TXN_000069,6488.63,large
SYNTHETIC_TXN_000070,5388.67,large
SYNTHETIC_TXN_000071,4380.24,large
SYNTHETIC_TXN_000072,1712.83,large
SYNTHETIC_TXN_000073,2816.93,large
SYNTHETIC_TXN_000073,2816.93,large
SYNTHETIC_TXN_000074,5242.3,large
SYNTHETIC_TXN_000075,2091.91,large
SYNTHETIC_TXN_000076,3785.27,large
SYNTHETIC_TXN_000077,6720.56,large
SYNTHETIC_TXN_000078,3272.91,large
SYNTHETIC_TXN_000078,3272.91,large
SYNTHETIC_TXN_000079,7817.41,large
SYNTHETIC_TXN_000079,7817.41,large
SYNTHETIC_TXN_000079,7817.41,large
SYNTHETIC_TXN_000080,6474.15,large
SYNTHETIC_TXN_000081,5526.58,large
SYNTHETIC_TXN_000082,3510.21,large
SYNTHETIC_TXN_000083,851.32,medium
SYNTHETIC_TXN_000084,9706.25,large
SYNTHETIC_TXN_000085,6917.18,large
SYNTHETIC_TXN_000086,4368.65,large
SYNTHETIC_TXN_000087,7350.37,large
SYNTHETIC_TXN_000087,7350.37,large
SYNTHETIC_TXN_000088,5670.52,large
SYNTHETIC_TXN_000089,899.58,medium
SYNTHETIC_TXN_000089,899.58,medium
SYNTHETIC_TXN_000090,9903.2,large
SYNTHETIC_TXN_000091,1692.38,large
SYNTHETIC_TXN_000092,2346.36,large
SYNTHETIC_TXN_000093,4804.6,large
SYNTHETIC_TXN_000093,4804.6,large
SYNTHETIC_TXN_000093,4804.6,large
SYNTHETIC_TXN_000094,8385.95,large
SYNTHETIC_TXN_000095,8870.01,large
SYNTHETIC_TXN_000096,2153.2,large
SYNTHETIC_TXN_000097,8221.05,large
SYNTHETIC_TXN_000098,4358.35,large
SYNTHETIC_TXN_000099,398.54,medium
SYNTHETIC_TXN_000100,1477.66,large
SYNTHETIC_TXN_000101,9470.14,large
SYNTHETIC_TXN_000102,6931.58,large
SYNTHETIC_TXN_000103,2000.59,large
SYNTHETIC_TXN_000104,8953.51,large
SYNTHETIC_TXN_000105,8898.13,large
SYNTHETIC_TXN_000106,8509.64,large
SYNTHETIC_TXN_000107,3765.77,large
SYNTHETIC_TXN_000108,7433.67,large
SYNTHETIC_TXN_000109,142.23,medium
SYNTHETIC_TXN_000110,9643.99,large
SYNTHETIC_TXN_000111,53.02,small
SYNTHETIC_TXN_000112,1622.25,large
SYNTHETIC_TXN_000113,598.7,medium
SYNTHETIC_TXN_000114,4596.55,large
SYNTHETIC_TXN_000115,2149.74,large
SYNTHETIC_TXN_000116,3381.18,large
SYNTHETIC_TXN_000117,8649.31,large
SYNTHETIC_TXN_000118,3348.33,large
SYNTHETIC_TXN_000119,2247.52,large
SYNTHETIC_TXN_000120,5863.28,large
SYNTHETIC_TXN_000121,1178.12,large
SYNTHETIC_TXN_000122,3562.36,large
SYNTHETIC_TXN_000123,8945.16,large
SYNTHETIC_TXN_000124,7784.3,large
SYNTHETIC_TXN_000124,7784.3,large
SYNTHETIC_TXN_000125,4291.14,large
SYNTHETIC_TXN_000126,7311.63,large
SYNTHETIC_TXN_000127,179.1,medium
SYNTHETIC_TXN_000128,4594.47,large
SYNTHETIC_TXN_000129,3506.71,large
SYNTHETIC_TXN_000130,3817.59,large
SYNTHETIC_TXN_000131,8986.35,large
SYNTHETIC_TXN_000132,2256.57,large
SYNTHETIC_TXN_000133,7075.02,large
SYNTHETIC_TXN_000134,4529.88,large
SYNTHETIC_TXN_000135,1041.11,large
SYNTHETIC_TXN_000136,9816.84,large
SYNTHETIC_TXN_000137,5781.87,large
SYNTHETIC_TXN_000138,2306.69,large
SYNTHETIC_TXN_000139,5474.83,large
SYNTHETIC_TXN_000140,5181.36,large
SYNTHETIC_TXN_000141,3769.63,large
SYNTHETIC_TXN_000142,8164.08,large
SYNTHETIC_TXN_000143,527.29,medium
SYNTHETIC_TXN_000144,674.2,medium
SYNTHETIC_TXN_000145,408.02,medium
SYNTHETIC_TXN_000146,1854.92,large
SYNTHETIC_TXN_000147,8290.1,large
SYNTHETIC_TXN_000148,9197.85,large
SYNTHETIC_TXN_000149,5514.03,large
SYNTHETIC_TXN_000150,4560.05,large
SYNTHETIC_TXN_000151,3625.52,large
SYNTHETIC_TXN_000152,7501.6,large
SYNTHETIC_TXN_000153,7942.78,large
SYNTHETIC_TXN_000154,2796.8,large
SYNTHETIC_TXN_000155,7404.56,large
SYNTHETIC_TXN_000155,7404.56,large
SYNTHETIC_TXN_000156,6944.88,large
SYNTHETIC_TXN_000157,3244.21,large
SYNTHETIC_TXN_000158,1015.36,large
SYNTHETIC_TXN_000158,1015.36,large
SYNTHETIC_TXN_000159,3006.65,large
SYNTHETIC_TXN_000159,3006.65,large
SYNTHETIC_TXN_000160,3752.78,large
SYNTHETIC_TXN_000161,8832.83,large
SYNTHETIC_TXN_000162,742.71,medium
SYNTHETIC_TXN_000163,59.27,small
SYNTHETIC_TXN_000164,509.23,medium
SYNTHETIC_TXN_000165,542.84,medium
SYNTHETIC_TXN_000166,4407.69,large
SYNTHETIC_TXN_000167,1171.51,large
SYNTHETIC_TXN_000168,4632.48,large
SYNTHETIC_TXN_000168,4632.48,large
SYNTHETIC_TXN_000169,6358.71,large
SYNTHETIC_TXN_000170,2057.93,large
SYNTHETIC_TXN_000171,5924.06,large
SYNTHETIC_TXN_000172,2484.63,large
SYNTHETIC_TXN_000173,8357.21,large
SYNTHETIC_TXN_000174,2263.74,large
SYNTHETIC_TXN_000175,4809.38,large
SYNTHETIC_TXN_000176,497.59,medium
SYNTHETIC_TXN_000177,5777.07,large
SYNTHETIC_TXN_000178,8589.83,large
SYNTHETIC_TXN_000179,137.04,medium
SYNTHETIC_TXN_000180,2987.96,large
SYNTHETIC_TXN_000181,9476.06,large
SYNTHETIC_TXN_000181,9476.06,large
SYNTHETIC_TXN_000182,2532.19,large
SYNTHETIC_TXN_000183,4003.29,large
SYNTHETIC_TXN_000184,6539.86,large
SYNTHETIC_TXN_000185,1380.12,large
SYNTHETIC_TXN_000186,4292.39,large
SYNTHETIC_TXN_000187,4443.76,large
SYNTHETIC_TXN_000188,9822.48,large
SYNTHETIC_TXN_000189,3075.09,large
SYNTHETIC_TXN_000189,3075.09,large
SYNTHETIC_TXN_000190,8802.64,large
SYNTHETIC_TXN_000191,9408.73,large
SYNTHETIC_TXN_000192,9919.48,large
SYNTHETIC_TXN_000193,4820.23,large
SYNTHETIC_TXN_000194,9637.11,large
SYNTHETIC_TXN_000195,4101.9,large
SYNTHETIC_TXN_000196,8071.98,large
SYNTHETIC_TXN_000197,1305.87,large
SYNTHETIC_TXN_000198,4038.55,large
SYNTHETIC_TXN_000199,1316.9,large
SYNTHETIC_TXN_000200,5097.94,large
SYNTHETIC_TXN_000201,4474.95,large
SYNTHETIC_TXN_000202,9945.33,large
SYNTHETIC_TXN_000203,7377.28,large
SYNTHETIC_TXN_000204,9367.07,large
SYNTHETIC_TXN_000205,3783.92,large
SYNTHETIC_TXN_000206,3247.59,large
SYNTHETIC_TXN_000207,3810.7,large
SYNTHETIC_TXN_000208,4700.84,large
SYNTHETIC_TXN_000209,4013.54,large
SYNTHETIC_TXN_000210,2780.35,large
SYNTHETIC_TXN_000211,929.54,medium
SYNTHETIC_TXN_000212,4025.62,large
SYNTHETIC_TXN_000213,7713.45,large
SYNTHETIC_TXN_000214,9064.53,large
SYNTHETIC_TXN_000214,9064.53,large
SYNTHETIC_TXN_000215,6537.13,large
SYNTHETIC_TXN_000216,9220.92,large
SYNTHETIC_TXN_000217,474.13,medium
SYNTHETIC_TXN_000217,474.13,medium
SYNTHETIC_TXN_000218,1252.24,large
SYNTHETIC_TXN_000219,8823.89,large
SYNTHETIC_TXN_000219,8823.89,large
SYNTHETIC_TXN_000220,4004.26,large
SYNTHETIC_TXN_000221,6965.25,large
SYNTHETIC_TXN_000222,8807.55,large
SYNTHETIC_TXN_000223,2219.87,large
SYNTHETIC_TXN_000223,2219.87,large
SYNTHETIC_TXN_000224,3617.26,large
SYNTHETIC_TXN_000225,6812.7,large
SYNTHETIC_TXN_000226,8465.4,large
SYNTHETIC_TXN_000227,9363.8,large
SYNTHETIC_TXN_000228,8378.92,large
SYNTHETIC_TXN_000229,3929.93,large
SYNTHETIC_TXN_000230,6946.29,large
SYNTHETIC_TXN_000231,210.15,medium
SYNTHETIC_TXN_000232,9489.38,large
SYNTHETIC_TXN_000233,6008.6,large
SYNTHETIC_TXN_000234,5923.95,large
SYNTHETIC_TXN_000235,1901.36,large
