txn_id,txn_amount,txn_amount_bucket
SYNTHETIC_TXN_000001,8057.04,large
SYNTHETIC_TXN_000002,433.93,medium
SYNTHETIC_TXN_000003,6294.46,large
SYNTHETIC_TXN_000004,4763.57,large
SYNTHETIC_TXN_000005,8366.81,large
SYNTHETIC_TXN_000006,5064.95,large
SYNTHETIC_TXN_000007,1803.78,large
SYNTHETIC_TXN_000008,6060.73,large
SYNTHETIC_TXN_000009,4074.9,large
SYNTHETIC_TXN_000010,1249.73,large
SYNTHETIC_TXN_000011,5132.46,large
SYNTHETIC_TXN_000012,1379.73,large
SYNTHETIC_TXN_000013,5289.26,large
SYNTHETIC_TXN_000014,6725.13,large
SYNTHETIC_TXN_000015,1526.61,large
SYNTHETIC_TXN_000016,6804.07,large
SYNTHETIC_TXN_000017,5627.35,large
SYNTHETIC_TXN_000018,7139.09,large
SYNTHETIC_TXN_000019,4002.27,large
SYNTHETIC_TXN_000020,5800.52,large
SYNTHETIC_TXN_000021,7122.69,large
SYNTHETIC_TXN_000022,564.97,medium
SYNTHETIC_TXN_000023,4711.07,large
SYNTHETIC_TXN_000024,5069.1,large
SYNTHETIC_TXN_000025,62.57,small
SYNTHETIC_TXN_000026,1758.39,large
SYNTHETIC_TXN_000027,2156.82,large
SYNTHETIC_TXN_000028,3606.01,large
SYNTHETIC_TXN_000029,3672.14,large
SYNTHETIC_TXN_000030,3483.82,large
SYNTHETIC_TXN_000031,9355.13,large
SYNTHETIC_TXN_000032,8589.04,large
SYNTHETIC_TXN_000033,4115.8,large
SYNTHETIC_TXN_000034,8075.38,large
SYNTHETIC_TXN_000035,2634.72,large
SYNTHETIC_TXN_000036,4391.94,large
SYNTHETIC_TXN_000037,3240.24,large
SYNTHETIC_TXN_000038,2404.28,large
SYNTHETIC_TXN_000039,4233.22,large
SYNTHETIC_TXN_000040,2368.09,large
SYNTHETIC_TXN_000041,3455.24,large
SYNTHETIC_TXN_000042,8794.72,large
SYNTHETIC_TXN_000043,2022.8,large
SYNTHETIC_TXN_000044,7798.35,large
SYNTHETIC_TXN_000045,1090.64,large
SYNTHETIC_TXN_000046,7357.37,large
SYNTHETIC_TXN_000047,5711.34,large
SYNTHETIC_TXN_000048,725.82,medium
SYNTHETIC_TXN_000049,7917.4,large
SYNTHETIC_TXN_000050,19.03,small
SYNTHETIC_TXN_000051,9978.21,large
SYNTHETIC_TXN_000052,5201.27,large
SYNTHETIC_TXN_000053,3388.17,large
SYNTHETIC_TXN_000054,487.33,medium
