txn_id,txn_amount,txn_amount_bucket
SYNTHETIC_TXN_000001,8274.08,large
SYNTHETIC_TXN_000002,6848.22,large
SYNTHETIC_TXN_000003,8159.86,large
SYNTHETIC_TXN_000004,7770.45,large
SYNTHETIC_TXN_000005,3094.71,large
SYNTHETIC_TXN_000006,877.02,medium
SYNTHETIC_TXN_000007,2018.7,large
SYNTHETIC_TXN_000008,1490.1,large
SYNTHETIC_TXN_000009,303.6,medium
SYNTHETIC_TXN_000010,5671.84,large
SYNTHETIC_TXN_000011,8437.46,large
SYNTHETIC_TXN_000012,4868.35,large
SYNTHETIC_TXN_000013,6406.33,large
SYNTHETIC_TXN_000014,7207.11,large
SYNTHETIC_TXN_000015,7395.7,large
SYNTHETIC_TXN_000016,2987.93,large
SYNTHETIC_TXN_000017,1685.78,large
SYNTHETIC_TXN_000018,8328.36,large
SYNTHETIC_TXN_000019,6283.7,large
SYNTHETIC_TXN_000020,567.27,medium
SYNTHETIC_TXN_000021,5709.9,large
SYNTHETIC_TXN_000022,5134.58,large
SYNTHETIC_TXN_000023,9910.2,large
SYNTHETIC_TXN_000024,2935.25,large
SYNTHETIC_TXN_000025,1858.21,large
SYNTHETIC_TXN_000026,1756.28,large
SYNTHETIC_TXN_000027,8115.83,large
SYNTHETIC_TXN_000028,3352.2,large
SYNTHETIC_TXN_000029,2483.4,large
SYNTHETIC_TXN_000030,4457.67,large
SYNTHETIC_TXN_000031,612.09,medium
SYNTHETIC_TXN_000032,885.87,medium
SYNTHETIC_TXN_000033,6989.67,large
SYNTHETIC_TXN_000034,1789.72,large
SYNTHETIC_TXN_000035,2274.34,large
SYNTHETIC_TXN_000036,6938.69,large
SYNTHETIC_TXN_000037,2403.78,large
SYNTHETIC_TXN_000038,6801.64,large
SYNTHETIC_TXN_000039,5047.75,large
SYNTHETIC_TXN_000040,402.68,medium
SYNTHETIC_TXN_000041,2366.53,large
SYNTHETIC_TXN_000042,9014.2,large
SYNTHETIC_TXN_000043,5773.45,large
SYNTHETIC_TXN_000044,5485.74,large
SYNTHETIC_TXN_000045,5124.49,large
SYNTHETIC_TXN_000046,4914.07,large
SYNTHETIC_TXN_000047,6577.18,large
SYNTHETIC_TXN_000048,3370.16,large
SYNTHETIC_TXN_000049,2686.83,large
SYNTHETIC_TXN_000050,1174.49,large
SYNTHETIC_TXN_000051,6926.43,large
SYNTHETIC_TXN_000052,7870.77,large
SYNTHETIC_TXN_000053,3769.99,large
SYNTHETIC_TXN_000054,255.76,medium
SYNTHETIC_TXN_000055,4642.49,large
SYNTHETIC_TXN_000056,5009.09,large
SYNTHETIC_TXN_000057,5874.03,large
SYNTHETIC_TXN_000058,1755.86,large
SYNTHETIC_TXN_000059,5048.87,large
SYNTHETIC_TXN_000060,4114.18,large
SYNTHETIC_TXN_000061,1966.51,large
SYNTHETIC_TXN_000062,5184.24,large
SYNTHETIC_TXN_000063,8065.99,large
SYNTHETIC_TXN_000064,6286.98,large
SYNTHETIC_TXN_000065,3959.93,large
SYNTHETIC_TXN_000066,1735.32,large
SYNTHETIC_TXN_000067,6772.81,large
SYNTHETIC_TXN_000068,2433.91,large
SYNTHETIC_TXN_000069,3350.15,large
SYNTHETIC_TXN_000070,1911.96,large
SYNTHETIC_TXN_000071,1298.66,large
SYNTHETIC_TXN_000072,2164.77,large
SYNTHETIC_TXN_000073,6753.02,large
SYNTHETIC_TXN_000074,8723.9,large
SYNTHETIC_TXN_000075,3899.35,large
SYNTHETIC_TXN_000076,8051.8,large
SYNTHETIC_TXN_000077,3558.99,large
SYNTHETIC_TXN_000078,3514.29,large
SYNTHETIC_TXN_000079,1816.58,large
SYNTHETIC_TXN_000080,1561.9,large
SYNTHETIC_TXN_000081,6701.33,large
SYNTHETIC_TXN_000082,2444.58,large
