txn_id,txn_amount,txn_amount_bucket
SYNTHETIC_TXN_000001,6600.33,large
SYNTHETIC_TXN_000002,276.01,medium
SYNTHETIC_TXN_000003,4363.94,large
SYNTHETIC_TXN_000004,5384.52,large
SYNTHETIC_TXN_000005,6633.87,large
SYNTHETIC_TXN_000006,,unknown
SYNTHETIC_TXN_000007,4298.88,large
SYNTHETIC_TXN_000008,9011.8,large
SYNTHETIC_TXN_000009,,unknown
SYNTHETIC_TXN_000010,,unknown
SYNTHETIC_TXN_000011,4943.77,large
SYNTHETIC_TXN_000012,6959.11,large
SYNTHETIC_TXN_000013,5954.52,large
SYNTHETIC_TXN_000014,7517.76,large
SYNTHETIC_TXN_000015,2717.16,large
SYNTHETIC_TXN_000016,4148.68,large
SYNTHETIC_TXN_000017,6955.23,large
SYNTHETIC_TXN_000018,9534.29,large
SYNTHETIC_TXN_000019,6688.73,large
SYNTHETIC_TXN_000020,6629.99,large
SYNTHETIC_TXN_000021,3268.46,large
SYNTHETIC_TXN_000022,9999.07,large
SYNTHETIC_TXN_000023,,unknown
SYNTHETIC_TXN_000024,,unknown
SYNTHETIC_TXN_000025,6773.47,large
SYNTHETIC_TXN_000026,1210.56,large
SYNTHETIC_TXN_000027,8223.3,large
SYNTHETIC_TXN_000028,8081.99,large
SYNTHETIC_TXN_000029,2789.29,large
SYNTHETIC_TXN_000030,3548.25,large
SYNTHETIC_TXN_000031,4064.28,large
SYNTHETIC_TXN_000032,4044.01,large
SYNTHETIC_TXN_000033,3518.11,large
SYNTHETIC_TXN_000034,7621.89,large
SYNTHETIC_TXN_000035,1794.42,large
SYNTHETIC_TXN_000036,9440.89,large
SYNTHETIC_TXN_000037,2524.79,large
SYNTHETIC_TXN_000038,,unknown
SYNTHETIC_TXN_000039,2256.88,large
SYNTHETIC_TXN_000040,992.34,medium
SYNTHETIC_TXN_000041,,unknown
SYNTHETIC_TXN_000042,4540.31,large
SYNTHETIC_TXN_000043,,unknown
SYNTHETIC_TXN_000044,4391.54,large
SYNTHETIC_TXN_000045,8894.22,large
SYNTHETIC_TXN_000046,207.46,medium
SYNTHETIC_TXN_000047,,unknown
SYNTHETIC_TXN_000048,,unknown
SYNTHETIC_TXN_000049,4548.26,large
SYNTHETIC_TXN_000050,,unknown
SYNTHETIC_TXN_000051,6982.5,large
SYNTHETIC_TXN_000052,2247.01,large
SYNTHETIC_TXN_000053,4154.91,large
SYNTHETIC_TXN_000054,1365.09,large
SYNTHETIC_TXN_000055,5799.23,large
SYNTHETIC_TXN_000056,3217.78,large
SYNTHETIC_TXN_000057,7052.27,large
SYNTHETIC_TXN_000058,3319.95,large
SYNTHETIC_TXN_000059,9699.56,large
SYNTHETIC_TXN_000060,3800.1,large
SYNTHETIC_TXN_000061,7467.66,large
SYNTHETIC_TXN_000062,,unknown
SYNTHETIC_TXN_000063,1800.58,large
SYNTHETIC_TXN_000064,2539.78,large
SYNTHETIC_TXN_000065,9620.28,large
SYNTHETIC_TXN_000066,3589.59,large
SYNTHETIC_TXN_000067,9736.02,large
SYNTHETIC_TXN_000068,,unknown
SYNTHETIC_TXN_000069,333.65,medium
SYNTHETIC_TXN_000070,,unknown
SYNTHETIC_TXN_000071,2951.42,large
SYNTHETIC_TXN_000072,6744.06,large
SYNTHETIC_TXN_000073,7490.11,large
SYNTHETIC_TXN_000074,5614.07,large
SYNTHETIC_TXN_000075,,unknown
SYNTHETIC_TXN_000076,3886.46,large
SYNTHETIC_TXN_000077,9390.52,large
SYNTHETIC_TXN_000078,9809.27,large
SYNTHETIC_TXN_000079,,unknown
SYNTHETIC_TXN_000080,,unknown
SYNTHETIC_TXN_000081,7886.43,large
SYNTHETIC_TXN_000082,1318.04,large
SYNTHETIC_TXN_000083,5260.85,large
SYNTHETIC_TXN_000084,7272.43,large
