account_id,customer_segment,region
SYNTHETIC_ACCT_0001,RETAIL,SOUTH
SYNTHETIC_ACCT_0002,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0003,STUDENT,NORTH
SYNTHETIC_ACCT_0004,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0005,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0006,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0007,RETAIL,WEST
SYNTHETIC_ACCT_0008,WEALTH,SOUTH
SYNTHETIC_ACCT_0009,WEALTH,WEST
SYNTHETIC_ACCT_0010,RETAIL,EAST
SYNTHETIC_ACCT_0011,RETAIL,NORTH
SYNTHETIC_ACCT_0012,STUDENT,EAST
SYNTHETIC_ACCT_0013,WEALTH,NORTH
SYNTHETIC_ACCT_0014,RETAIL,EAST
SYNTHETIC_ACCT_0015,RETAIL,NORTH
SYNTHETIC_ACCT_0016,STUDENT,EAST
SYNTHETIC_ACCT_0017,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0018,WEALTH,SOUTH
SYNTHETIC_ACCT_0019,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0020,WEALTH,SOUTH
SYNTHETIC_ACCT_0021,WEALTH,SOUTH
SYNTHETIC_ACCT_0022,RETAIL,WEST
SYNTHETIC_ACCT_0023,WEALTH,EAST
SYNTHETIC_ACCT_0024,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0025,STUDENT,SOUTH
SYNTHETIC_ACCT_0026,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0027,STUDENT,EAST
SYNTHETIC_ACCT_0028,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0029,RETAIL,NORTH
SYNTHETIC_ACCT_0030,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0031,RETAIL,WEST
SYNTHETIC_ACCT_0032,WEALTH,NORTH
SYNTHETIC_ACCT_0033,WEALTH,NORTH
SYNTHETIC_ACCT_0034,WEALTH,WEST
SYNTHETIC_ACCT_0035,RETAIL,SOUTH
SYNTHETIC_ACCT_0036,RETAIL,SOUTH
SYNTHETIC_ACCT_0037,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0038,WEALTH,NORTH
SYNTHETIC_ACCT_0039,WEALTH,SOUTH
SYNTHETIC_ACCT_0040,RETAIL,NORTH
SYNTHETIC_ACCT_0041,RETAIL,NORTH
SYNTHETIC_ACCT_0042,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0043,WEALTH,WEST
SYNTHETIC_ACCT_0044,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0045,STUDENT,WEST
SYNTHETIC_ACCT_0046,STUDENT,SOUTH
SYNTHETIC_ACCT_0047,RETAIL,SOUTH
SYNTHETIC_ACCT_0048,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0049,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0050,RETAIL,EAST
SYNTHETIC_ACCT_0051,STUDENT,SOUTH
SYNTHETIC_ACCT_0052,STUDENT,WEST
SYNTHETIC_ACCT_0053,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0054,WEALTH,WEST
SYNTHETIC_ACCT_0055,RETAIL,NORTH
SYNTHETIC_ACCT_0056,STUDENT,NORTH
SYNTHETIC_ACCT_0057,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0058,SMALL_BIZ,EAST
SYNTHETIC_ACCT_0059,STUDENT,WEST
SYNTHETIC_ACCT_0060,RETAIL,NORTH
SYNTHETIC_ACCT_0061,RETAIL,SOUTH
SYNTHETIC_ACCT_0062,STUDENT,SOUTH
SYNTHETIC_ACCT_0063,STUDENT,WEST
SYNTHETIC_ACCT_0064,RETAIL,WEST
SYNTHETIC_ACCT_0065,WEALTH,WEST
SYNTHETIC_ACCT_0066,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0067,RETAIL,NORTH
SYNTHETIC_ACCT_0068,WEALTH,WEST
SYNTHETIC_ACCT_0069,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0070,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0071,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0072,RETAIL,WEST
SYNTHETIC_ACCT_0073,WEALTH,EAST
SYNTHETIC_ACCT_0074,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0075,WEALTH,NORTH
SYNTHETIC_ACCT_0076,RETAIL,NORTH
SYNTHETIC_ACCT_0077,RETAIL,EAST
SYNTHETIC_ACCT_0078,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0079,WEALTH,WEST
SYNTHETIC_ACCT_0080,WEALTH,NORTH
SYNTHETIC_ACCT_0081,WEALTH,SOUTH
SYNTHETIC_ACCT_0082,WEALTH,SOUTH
SYNTHETIC_ACCT_0083,WEALTH,SOUTH
SYNTHETIC_ACCT_0084,WEALTH,WEST
SYNTHETIC_ACCT_0085,WEALTH,NORTH
SYNTHETIC_ACCT_0086,STUDENT,NORTH
SYNTHETIC_ACCT_0087,RETAIL,EAST
SYNTHETIC_ACCT_0088,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0089,RETAIL,SOUTH
SYNTHETIC_ACCT_0090,RETAIL,SOUTH
SYNTHETIC_ACCT_0091,STUDENT,EAST
SYNTHETIC_ACCT_0092,WEALTH,EAST
SYNTHETIC_ACCT_0093,SMALL_BIZ,NORTH
SYNTHETIC_ACCT_0094,WEALTH,WEST
SYNTHETIC_ACCT_0095,SMALL_BIZ,SOUTH
SYNTHETIC_ACCT_0096,STUDENT,EAST
SYNTHETIC_ACCT_0097,STUDENT,EAST
SYNTHETIC_ACCT_0098,SMALL_BIZ,WEST
SYNTHETIC_ACCT_0099,RETAIL,SOUTH
SYNTHETIC_ACCT_0100,SMALL_BIZ,EAST
