txn_id,account_id,account_status,is_flagged,transaction_classification
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_1529,ACTIVE,False,active-normal
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0480,CLOSED,False,inactive
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_1281,ACTIVE,False,active-normal
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0754,SUSPENDED,True,inactive
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0038,ACTIVE,False,active-normal
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_1412,ACTIVE,False,active-normal
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0338,ACTIVE,False,active-normal
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0180,ACTIVE,False,active-normal
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0673,ACTIVE,False,active-normal
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_1560,ACTIVE,False,active-normal
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0623,ACTIVE,False,active-normal
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0743,ACTIVE,False,active-normal
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0083,ACTIVE,False,active-normal
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_1393,ACTIVE,False,active-normal
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_1545,ACTIVE,False,active-normal
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_1714,ACTIVE,False,active-normal
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_1277,ACTIVE,False,active-normal
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,ACTIVE,True,active-high-risk
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0157,ACTIVE,False,active-normal
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_1145,ACTIVE,False,active-normal
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0254,ACTIVE,False,active-normal
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0822,ACTIVE,False,active-normal
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_1293,ACTIVE,False,active-normal
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0382,SUSPENDED,False,inactive
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_1234,ACTIVE,False,active-normal
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_1672,ACTIVE,False,active-normal
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0213,ACTIVE,False,active-normal
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_1426,ACTIVE,False,active-normal
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0605,CLOSED,False,inactive
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_1091,ACTIVE,False,active-normal
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_1091,ACTIVE,False,active-normal
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_1678,ACTIVE,False,active-normal
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0704,ACTIVE,False,active-normal
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0263,ACTIVE,False,active-normal
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0038,ACTIVE,False,active-normal
SYNTHETIC_TXN_000036,SYNTHETIC_ACCT_0472,SUSPENDED,False,inactive
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0965,ACTIVE,False,active-normal
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0216,ACTIVE,False,active-normal
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0281,ACTIVE,False,active-normal
SYNTHETIC_TXN_000040,SYNTHETIC_ACCT_1292,ACTIVE,False,active-normal
SYNTHETIC_TXN_000041,SYNTHETIC_ACCT_0293,ACTIVE,False,active-normal
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_1292,ACTIVE,False,active-normal
SYNTHETIC_TXN_000043,SYNTHETIC_ACCT_1925,ACTIVE,False,active-normal
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_1909,CLOSED,False,inactive
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_1449,ACTIVE,False,active-normal
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0034,ACTIVE,False,active-normal
SYNTHETIC_TXN_000047,SYNTHETIC_ACCT_1292,ACTIVE,False,active-normal
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0139,SUSPENDED,False,inactive
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_1715,ACTIVE,False,active-normal
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_1406,ACTIVE,False,active-normal
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0464,ACTIVE,False,active-normal
SYNTHETIC_TXN_000052,SYNTHETIC_ACCT_0408,ACTIVE,False,active-normal
SYNTHETIC_TXN_000053,SYNTHETIC_ACCT_0634,ACTIVE,False,active-normal
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_1109,CLOSED,True,inactive
SYNTHETIC_TXN_000055,SYNTHETIC_ACCT_1814,ACTIVE,False,active-normal
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_1295,ACTIVE,False,active-normal
