txn_id,account_id,account_status,is_flagged,transaction_classification
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0334,CLOSED,False,inactive
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0127,ACTIVE,False,active-normal
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0081,ACTIVE,False,active-normal
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0414,SUSPENDED,False,inactive
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0478,ACTIVE,False,active-normal
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0198,ACTIVE,False,active-normal
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0245,ACTIVE,False,active-normal
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0400,ACTIVE,False,active-normal
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0080,CLOSED,False,inactive
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0290,ACTIVE,False,active-normal
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0494,ACTIVE,False,active-normal
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0446,ACTIVE,False,active-normal
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0164,ACTIVE,False,active-normal
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0495,ACTIVE,False,active-normal
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0403,ACTIVE,False,active-normal
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0102,ACTIVE,False,active-normal
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0192,CLOSED,False,inactive
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,ACTIVE,False,active-normal
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0198,ACTIVE,False,active-normal
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0170,ACTIVE,False,active-normal
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0080,CLOSED,False,inactive
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0059,ACTIVE,False,active-normal
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0497,ACTIVE,False,active-normal
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0427,ACTIVE,False,active-normal
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_0484,ACTIVE,False,active-normal
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0395,ACTIVE,False,active-normal
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0343,ACTIVE,False,active-normal
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0266,ACTIVE,False,active-normal
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0447,ACTIVE,False,active-normal
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0183,ACTIVE,False,active-normal
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_0296,ACTIVE,False,active-normal
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0011,SUSPENDED,False,inactive
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0010,ACTIVE,False,active-normal
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0446,ACTIVE,False,active-normal
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0071,ACTIVE,False,active-normal
SYNTHETIC_TXN_000036,SYNTHETIC_ACCT_0481,ACTIVE,False,active-normal
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0186,ACTIVE,False,active-normal
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0265,ACTIVE,False,active-normal
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0167,ACTIVE,False,active-normal
SYNTHETIC_TXN_000040,SYNTHETIC_ACCT_0453,ACTIVE,False,active-normal
SYNTHETIC_TXN_000041,SYNTHETIC_ACCT_0267,ACTIVE,False,active-normal
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_0490,ACTIVE,False,active-normal
SYNTHETIC_TXN_000043,SYNTHETIC_ACCT_0151,ACTIVE,False,active-normal
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_0333,ACTIVE,False,active-normal
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_0171,ACTIVE,False,active-normal
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0166,ACTIVE,False,active-normal
SYNTHETIC_TXN_000047,SYNTHETIC_ACCT_0447,ACTIVE,False,active-normal
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0479,SUSPENDED,False,inactive
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_0389,ACTIVE,False,active-normal
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_0393,CLOSED,False,inactive
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0195,CLOSED,False,inactive
SYNTHETIC_TXN_000052,SYNTHETIC_ACCT_0332,ACTIVE,False,active-normal
SYNTHETIC_TXN_000053,SYNTHETIC_ACCT_0075,ACTIVE,False,active-normal
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_0467,ACTIVE,False,active-normal
SYNTHETIC_TXN_000055,SYNTHETIC_ACCT_0351,ACTIVE,False,active-normal
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_0051,ACTIVE,False,active-normal
SYNTHETIC_TXN_000057,SYNTHETIC_ACCT_0320,ACTIVE,False,active-normal
