txn_id,account_id,txn_date,txn_amount,txn_type,merchant_category,channel,is_flagged
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_1529,2023-01-04,8057.04,TRANSFER,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_1281,2024-03-04,6294.46,REFUND,UTILITIES,ONLINE,False
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0038,2024-06-26,8366.81,REFUND,RETAIL,ATM,False
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_1412,2023-03-08,5064.95,REFUND,DINING,ATM,False
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0338,2023-06-16,1803.78,TRANSFER,GROCERY,BRANCH,False
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0180,2024-09-26,6060.73,PURCHASE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0673,2024-06-30,4074.9,FEE,RETAIL,ATM,False
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_1560,2024-07-27,1249.73,FEE,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0623,2024-01-05,5132.46,FEE,RETAIL,ATM,False
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0743,2023-03-29,1379.73,PURCHASE,TRAVEL,BRANCH,False
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0083,2024-06-30,5289.26,FEE,UTILITIES,ONLINE,False
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_1393,2024-12-30,6725.13,REFUND,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_1545,2024-07-24,1526.61,FEE,GROCERY,MOBILE,False
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_1714,2023-08-21,6804.07,PURCHASE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_1277,2024-01-27,5627.35,PURCHASE,UTILITIES,MOBILE,False
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,2023-05-31,7139.09,PURCHASE,TRAVEL,MOBILE,True
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0157,2023-09-30,4002.27,PURCHASE,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_1145,2024-01-11,5800.52,FEE,UTILITIES,BRANCH,False
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0254,2024-06-01,7122.69,REFUND,HEALTHCARE,BRANCH,False
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0822,2023-02-11,564.97,FEE,TRAVEL,ATM,False
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_1293,2023-11-17,4711.07,PURCHASE,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_1234,2023-12-01,62.57,PURCHASE,TRAVEL,ATM,False
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_1672,2024-10-28,1758.39,FEE,UTILITIES,ATM,False
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0213,2024-01-27,2156.82,TRANSFER,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_1426,2023-12-06,3606.01,TRANSFER,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_1091,2023-09-19,3483.82,FEE,RETAIL,BRANCH,False
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_1091,2023-09-03,9355.13,TRANSFER,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_1678,2023-05-23,8589.04,PURCHASE,UTILITIES,BRANCH,False
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0704,2024-06-17,4115.8,PURCHASE,DINING,ONLINE,False
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0263,2024-07-06,8075.38,PURCHASE,HEALTHCARE,ONLINE,False
