txn_id,account_id,txn_date,txn_amount,txn_type,merchant_category,channel,is_flagged
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0127,2023-09-26,6848.22,TRANSFER,GROCERY,ONLINE,False
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0081,2024-03-11,8159.86,REFUND,RETAIL,BRANCH,False
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0478,2023-09-12,3094.71,REFUND,DINING,ATM,False
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0198,2024-05-07,877.02,FEE,RETAIL,ATM,False
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0245,2024-06-29,2018.7,TRANSFER,RETAIL,ATM,False
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0400,2023-12-14,1490.1,PURCHASE,DINING,ATM,False
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0290,2023-10-22,5671.84,PURCHASE,TRAVEL,MOBILE,False
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0494,2023-12-10,8437.46,PURCHASE,GROCERY,ONLINE,False
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0446,2023-04-29,4868.35,FEE,RETAIL,ONLINE,False
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0164,2023-08-01,6406.33,FEE,HEALTHCARE,BRANCH,False
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0495,2024-01-06,7207.11,PURCHASE,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0403,2024-11-04,7395.7,PURCHASE,DINING,BRANCH,False
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0102,2024-09-15,2987.93,FEE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,2023-12-15,8328.36,REFUND,UTILITIES,MOBILE,False
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0198,2024-02-05,6283.7,REFUND,TRAVEL,MOBILE,False
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0170,2024-08-05,567.27,FEE,UTILITIES,BRANCH,False
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0059,2024-05-29,5134.58,FEE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0497,2024-09-23,9910.2,FEE,GROCERY,ATM,False
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0427,2023-10-06,2935.25,TRANSFER,RETAIL,BRANCH,False
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_0484,2024-05-22,1858.21,TRANSFER,DINING,BRANCH,False
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0395,2023-04-18,1756.28,FEE,RETAIL,ATM,False
