txn_id,account_id,txn_date,txn_amount,txn_type,merchant_category,channel,is_flagged
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0030,2024-10-21,6600.33,TRANSFER,TRAVEL,ATM,False
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0071,2023-02-07,,REFUND,DINING,ATM,False
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0039,2024-02-06,4298.88,FEE,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0092,2023-01-27,4943.77,PURCHASE,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0068,2023-04-14,5954.52,FEE,DINING,MOBILE,False
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0061,2023-07-17,7517.76,FEE,TRAVEL,BRANCH,False
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0091,2023-11-02,4148.68,PURCHASE,DINING,BRANCH,False
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0099,2023-12-08,6955.23,FEE,UTILITIES,ONLINE,False
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0050,2023-06-21,9534.29,REFUND,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0042,2024-03-22,3268.46,FEE,DINING,ATM,False
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0096,2024-10-22,9999.07,PURCHASE,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0048,2024-09-05,,REFUND,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0088,2024-01-11,1210.56,FEE,RETAIL,ATM,False
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0002,2023-12-27,8223.3,FEE,,BRANCH,False
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0084,2023-09-12,8081.99,FEE,DINING,ATM,False
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0024,2023-05-01,3548.25,TRANSFER,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0096,2024-04-18,3518.11,REFUND,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0096,2023-08-24,7621.89,TRANSFER,GROCERY,ATM,False
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0038,2023-07-04,1794.42,REFUND,,ATM,True
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0024,2024-10-26,2524.79,FEE,RETAIL,MOBILE,False
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0007,2024-10-05,,REFUND,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0077,2023-10-05,2256.88,TRANSFER,DINING,MOBILE,False
