account_id,region,total_txn_amount,rank_within_region
SYNTHETIC_ACCT_0001,SOUTH,7980.87,25
SYNTHETIC_ACCT_0002,NORTH,16442.239999999998,19
SYNTHETIC_ACCT_0003,NORTH,16214.650000000001,20
SYNTHETIC_ACCT_0004,NORTH,51286.14,1
SYNTHETIC_ACCT_0005,WEST,21015.36,18
SYNTHETIC_ACCT_0006,EAST,9000.6,20
SYNTHETIC_ACCT_0007,WEST,26856.82,9
SYNTHETIC_ACCT_0008,SOUTH,17858.600000000002,20
SYNTHETIC_ACCT_0009,WEST,22784.18,16
SYNTHETIC_ACCT_0010,EAST,35061.04,6
SYNTHETIC_ACCT_0011,NORTH,35377.94,6
SYNTHETIC_ACCT_0012,EAST,23134.15,12
SYNTHETIC_ACCT_0013,NORTH,23109.67,12
SYNTHETIC_ACCT_0014,EAST,10038.22,18
SYNTHETIC_ACCT_0015,NORTH,38027.990000000005,4
SYNTHETIC_ACCT_0016,EAST,14148.580000000002,16
SYNTHETIC_ACCT_0017,SOUTH,28301.84,9
SYNTHETIC_ACCT_0018,SOUTH,33435.17,6
SYNTHETIC_ACCT_0020,SOUTH,43267.25000000001,2
SYNTHETIC_ACCT_0021,SOUTH,34328.23,5
SYNTHETIC_ACCT_0022,WEST,17951.25,21
SYNTHETIC_ACCT_0023,EAST,17005.719999999998,15
SYNTHETIC_ACCT_0024,WEST,31096.56,7
SYNTHETIC_ACCT_0025,SOUTH,18823.51,19
SYNTHETIC_ACCT_0026,EAST,43091.82000000001,4
SYNTHETIC_ACCT_0027,EAST,26669.99,11
SYNTHETIC_ACCT_0028,WEST,20954.190000000002,19
SYNTHETIC_ACCT_0029,NORTH,15920.03,21
SYNTHETIC_ACCT_0030,WEST,26103.370000000003,10
SYNTHETIC_ACCT_0031,WEST,26001.989999999998,11
SYNTHETIC_ACCT_0032,NORTH,20126.53,16
SYNTHETIC_ACCT_0033,NORTH,9416.51,23
SYNTHETIC_ACCT_0034,WEST,33101.63,6
SYNTHETIC_ACCT_0035,SOUTH,20162.84,17
SYNTHETIC_ACCT_0036,SOUTH,2846.91,26
SYNTHETIC_ACCT_0037,NORTH,48020.39,2
SYNTHETIC_ACCT_0038,NORTH,26244.559999999998,11
SYNTHETIC_ACCT_0039,SOUTH,13502.75,22
SYNTHETIC_ACCT_0040,NORTH,9235.61,24
SYNTHETIC_ACCT_0041,NORTH,33363.200000000004,8
SYNTHETIC_ACCT_0042,SOUTH,24885.82,12
SYNTHETIC_ACCT_0043,WEST,40969.479999999996,3
SYNTHETIC_ACCT_0044,EAST,17167.95,14
SYNTHETIC_ACCT_0045,WEST,24843.57,12
SYNTHETIC_ACCT_0046,SOUTH,13294.439999999999,23
SYNTHETIC_ACCT_0047,SOUTH,42236.82,3
SYNTHETIC_ACCT_0048,NORTH,19341.23,17
SYNTHETIC_ACCT_0049,EAST,47475.65,2
SYNTHETIC_ACCT_0050,EAST,36942.11,5
SYNTHETIC_ACCT_0051,SOUTH,57086.21000000001,1
SYNTHETIC_ACCT_0052,WEST,20589.440000000002,20
SYNTHETIC_ACCT_0053,WEST,36404.56,4
SYNTHETIC_ACCT_0054,WEST,13661.67,24
SYNTHETIC_ACCT_0055,NORTH,21578.53,13
SYNTHETIC_ACCT_0056,NORTH,9097.73,25
SYNTHETIC_ACCT_0057,WEST,21475.069999999996,17
SYNTHETIC_ACCT_0058,EAST,44451.06999999999,3
SYNTHETIC_ACCT_0059,WEST,44755.89,2
SYNTHETIC_ACCT_0060,NORTH,4595.71,26
SYNTHETIC_ACCT_0061,SOUTH,21544.59,14
SYNTHETIC_ACCT_0062,SOUTH,21371.29,16
SYNTHETIC_ACCT_0063,WEST,10411.92,26
SYNTHETIC_ACCT_0064,WEST,24430.63,13
SYNTHETIC_ACCT_0065,WEST,12179.05,25
SYNTHETIC_ACCT_0066,SOUTH,38875.72,4
SYNTHETIC_ACCT_0067,NORTH,39254.72,3
SYNTHETIC_ACCT_0068,WEST,23472.079999999998,15
SYNTHETIC_ACCT_0069,NORTH,35822.89,5
SYNTHETIC_ACCT_0070,NORTH,16615.05,18
SYNTHETIC_ACCT_0071,SOUTH,21390.63,15
SYNTHETIC_ACCT_0072,WEST,17352.96,23
SYNTHETIC_ACCT_0073,EAST,47592.0,1
SYNTHETIC_ACCT_0074,SOUTH,30031.39,8
SYNTHETIC_ACCT_0075,NORTH,21183.89,14
SYNTHETIC_ACCT_0076,NORTH,34275.28,7
SYNTHETIC_ACCT_0077,EAST,18981.28,13
SYNTHETIC_ACCT_0078,SOUTH,14336.279999999999,21
SYNTHETIC_ACCT_0079,WEST,35386.12,5
SYNTHETIC_ACCT_0080,NORTH,29345.239999999998,10
SYNTHETIC_ACCT_0081,SOUTH,13127.14,24
SYNTHETIC_ACCT_0082,SOUTH,1889.26,27
SYNTHETIC_ACCT_0083,SOUTH,26342.09,11
SYNTHETIC_ACCT_0084,WEST,56742.0,1
SYNTHETIC_ACCT_0085,NORTH,20515.850000000002,15
SYNTHETIC_ACCT_0086,NORTH,9746.54,22
SYNTHETIC_ACCT_0087,EAST,31393.86,10
SYNTHETIC_ACCT_0088,WEST,17709.59,22
SYNTHETIC_ACCT_0089,SOUTH,32124.600000000002,7
SYNTHETIC_ACCT_0090,SOUTH,22155.35,13
SYNTHETIC_ACCT_0091,EAST,11130.68,17
SYNTHETIC_ACCT_0092,EAST,9240.09,19
SYNTHETIC_ACCT_0093,NORTH,31063.3,9
SYNTHETIC_ACCT_0094,WEST,29171.05,8
SYNTHETIC_ACCT_0095,SOUTH,26642.680000000004,10
SYNTHETIC_ACCT_0096,EAST,31821.149999999998,9
SYNTHETIC_ACCT_0097,EAST,33597.05,8
SYNTHETIC_ACCT_0098,WEST,23488.67,14
SYNTHETIC_ACCT_0099,SOUTH,19602.36,18
SYNTHETIC_ACCT_0100,EAST,34971.68000000001,7
