account_id,region,total_txn_amount,rank_within_region
SYNTHETIC_ACCT_0001,WEST,57233.259999999995,1
SYNTHETIC_ACCT_0002,WEST,19566.46,14
SYNTHETIC_ACCT_0003,SOUTH,31703.28,13
SYNTHETIC_ACCT_0004,EAST,9383.52,21
SYNTHETIC_ACCT_0005,WEST,19405.670000000002,15
SYNTHETIC_ACCT_0006,NORTH,18102.530000000002,16
SYNTHETIC_ACCT_0007,NORTH,25339.49,11
SYNTHETIC_ACCT_0008,SOUTH,20456.510000000002,19
SYNTHETIC_ACCT_0009,WEST,52916.46,2
SYNTHETIC_ACCT_0010,EAST,39740.82000000001,10
SYNTHETIC_ACCT_0011,SOUTH,36162.159999999996,10
SYNTHETIC_ACCT_0012,WEST,18446.45,17
SYNTHETIC_ACCT_0013,EAST,78290.87000000001,1
SYNTHETIC_ACCT_0014,NORTH,16271.740000000002,18
SYNTHETIC_ACCT_0015,SOUTH,9919.48,25
SYNTHETIC_ACCT_0016,WEST,17420.48,18
SYNTHETIC_ACCT_0017,WEST,10828.85,21
SYNTHETIC_ACCT_0018,NORTH,17336.66,17
SYNTHETIC_ACCT_0019,SOUTH,26195.6,15
SYNTHETIC_ACCT_0020,NORTH,39785.78,5
SYNTHETIC_ACCT_0021,WEST,41149.619999999995,7
SYNTHETIC_ACCT_0022,WEST,5619.06,24
SYNTHETIC_ACCT_0023,NORTH,35700.119999999995,7
SYNTHETIC_ACCT_0024,SOUTH,36252.85,9
SYNTHETIC_ACCT_0025,EAST,33556.04,11
SYNTHETIC_ACCT_0026,NORTH,38968.88,6
SYNTHETIC_ACCT_0027,EAST,42566.75,8
SYNTHETIC_ACCT_0028,NORTH,41944.49,3
SYNTHETIC_ACCT_0029,WEST,11928.009999999998,20
SYNTHETIC_ACCT_0030,WEST,2824.1600000000003,25
SYNTHETIC_ACCT_0031,EAST,5514.03,23
SYNTHETIC_ACCT_0032,SOUTH,21511.190000000002,18
SYNTHETIC_ACCT_0033,EAST,15543.380000000001,17
SYNTHETIC_ACCT_0034,NORTH,19706.020000000004,14
SYNTHETIC_ACCT_0035,SOUTH,25219.05,16
SYNTHETIC_ACCT_0036,EAST,18481.27,14
SYNTHETIC_ACCT_0037,NORTH,19434.260000000002,15
SYNTHETIC_ACCT_0038,WEST,7321.450000000001,23
SYNTHETIC_ACCT_0039,WEST,39328.38,8
SYNTHETIC_ACCT_0040,WEST,7886.61,22
SYNTHETIC_ACCT_0041,SOUTH,13737.7,23
SYNTHETIC_ACCT_0042,SOUTH,51760.97,6
SYNTHETIC_ACCT_0043,EAST,14131.630000000001,18
SYNTHETIC_ACCT_0044,NORTH,33685.409999999996,9
SYNTHETIC_ACCT_0045,SOUTH,54097.28999999999,5
SYNTHETIC_ACCT_0046,NORTH,25371.9,10
SYNTHETIC_ACCT_0047,SOUTH,54637.48999999999,4
SYNTHETIC_ACCT_0048,SOUTH,79153.66000000002,1
SYNTHETIC_ACCT_0049,NORTH,9905.15,20
SYNTHETIC_ACCT_0050,SOUTH,8847.96,26
SYNTHETIC_ACCT_0051,WEST,19246.01,16
SYNTHETIC_ACCT_0052,EAST,8097.74,22
SYNTHETIC_ACCT_0053,SOUTH,8509.64,27
SYNTHETIC_ACCT_0054,WEST,49838.57000000001,3
SYNTHETIC_ACCT_0055,NORTH,34584.22,8
SYNTHETIC_ACCT_0056,EAST,16145.099999999999,16
SYNTHETIC_ACCT_0057,SOUTH,32460.600000000002,12
SYNTHETIC_ACCT_0058,SOUTH,57204.4,3
SYNTHETIC_ACCT_0059,WEST,12274.759999999998,19
SYNTHETIC_ACCT_0060,SOUTH,33398.86,11
SYNTHETIC_ACCT_0061,EAST,77394.08,2
SYNTHETIC_ACCT_0062,EAST,18059.97,15
SYNTHETIC_ACCT_0063,WEST,30631.07,11
SYNTHETIC_ACCT_0064,EAST,48024.479999999996,7
SYNTHETIC_ACCT_0065,EAST,1586.83,24
SYNTHETIC_ACCT_0066,EAST,48648.700000000004,6
SYNTHETIC_ACCT_0067,EAST,12962.82,20
SYNTHETIC_ACCT_0068,NORTH,11117.82,19
SYNTHETIC_ACCT_0069,SOUTH,22919.94,17
SYNTHETIC_ACCT_0070,WEST,35685.95,9
SYNTHETIC_ACCT_0071,SOUTH,28043.120000000003,14
SYNTHETIC_ACCT_0072,EAST,57986.659999999996,4
SYNTHETIC_ACCT_0073,SOUTH,44878.46,8
SYNTHETIC_ACCT_0074,EAST,13050.369999999999,19
SYNTHETIC_ACCT_0075,WEST,25379.53,12
SYNTHETIC_ACCT_0076,WEST,49042.909999999996,4
SYNTHETIC_ACCT_0077,EAST,27495.059999999998,13
SYNTHETIC_ACCT_0078,SOUTH,19712.56,20
SYNTHETIC_ACCT_0079,SOUTH,49724.86,7
SYNTHETIC_ACCT_0080,NORTH,23509.67,12
SYNTHETIC_ACCT_0081,EAST,30868.13,12
SYNTHETIC_ACCT_0082,WEST,24858.19,13
SYNTHETIC_ACCT_0083,NORTH,8625.98,21
SYNTHETIC_ACCT_0084,WEST,31968.26,10
SYNTHETIC_ACCT_0085,SOUTH,16226.449999999999,22
SYNTHETIC_ACCT_0086,NORTH,41703.5,4
SYNTHETIC_ACCT_0087,WEST,48871.07,5
SYNTHETIC_ACCT_0088,EAST,62258.829999999994,3
