account_id,region,total_txn_amount,rank_within_region
SYNTHETIC_ACCT_0001,NORTH,117019.98,326
SYNTHETIC_ACCT_0002,NORTH,131719.54,205
SYNTHETIC_ACCT_0003,SOUTH,94212.4,438
SYNTHETIC_ACCT_0004,WEST,132252.86000000002,164
SYNTHETIC_ACCT_0005,WEST,150121.37,76
SYNTHETIC_ACCT_0006,NORTH,112199.46999999999,369
SYNTHETIC_ACCT_0007,NORTH,127986.96999999997,227
SYNTHETIC_ACCT_0008,NORTH,119285.94,314
SYNTHETIC_ACCT_0009,SOUTH,134267.22999999998,202
SYNTHETIC_ACCT_0010,SOUTH,135089.99,190
SYNTHETIC_ACCT_0011,SOUTH,101870.93999999999,402
SYNTHETIC_ACCT_0012,NORTH,144137.71999999997,108
SYNTHETIC_ACCT_0013,WEST,109051.70999999999,321
SYNTHETIC_ACCT_0014,WEST,136528.88,133
SYNTHETIC_ACCT_0015,SOUTH,118163.30999999998,304
SYNTHETIC_ACCT_0016,NORTH,76002.56999999999,514
SYNTHETIC_ACCT_0017,EAST,86452.53000000003,438
SYNTHETIC_ACCT_0018,NORTH,104073.98000000001,420
SYNTHETIC_ACCT_0019,SOUTH,125637.24000000002,250
SYNTHETIC_ACCT_0020,WEST,96095.36000000002,403
SYNTHETIC_ACCT_0021,EAST,180447.78000000003,27
SYNTHETIC_ACCT_0022,WEST,111470.3,297
SYNTHETIC_ACCT_0023,EAST,96109.17000000001,404
SYNTHETIC_ACCT_0024,NORTH,107148.72999999998,401
SYNTHETIC_ACCT_0025,WEST,126938.83000000002,196
SYNTHETIC_ACCT_0026,EAST,88323.07,430
SYNTHETIC_ACCT_0027,SOUTH,88740.05,467
SYNTHETIC_ACCT_0028,SOUTH,143543.98,135
SYNTHETIC_ACCT_0029,WEST,132066.21,166
SYNTHETIC_ACCT_0030,NORTH,119362.94000000005,313
SYNTHETIC_ACCT_0031,EAST,122249.15,250
SYNTHETIC_ACCT_0032,EAST,175316.63999999993,38
SYNTHETIC_ACCT_0033,SOUTH,75516.52,497
SYNTHETIC_ACCT_0034,SOUTH,139143.86,168
