account_id,region,total_txn_amount,rank_within_region
SYNTHETIC_ACCT_0001,NORTH,24812.23,134
SYNTHETIC_ACCT_0002,NORTH,15043.07,143
SYNTHETIC_ACCT_0003,SOUTH,61501.68,35
SYNTHETIC_ACCT_0004,WEST,49742.229999999996,60
SYNTHETIC_ACCT_0005,WEST,47881.64000000001,64
SYNTHETIC_ACCT_0006,NORTH,33575.25,115
SYNTHETIC_ACCT_0007,NORTH,60904.07,45
SYNTHETIC_ACCT_0008,NORTH,71537.64,24
SYNTHETIC_ACCT_0009,SOUTH,34719.21,109
SYNTHETIC_ACCT_0010,SOUTH,75228.54000000001,16
SYNTHETIC_ACCT_0011,SOUTH,56611.46,42
SYNTHETIC_ACCT_0012,NORTH,61003.41,44
SYNTHETIC_ACCT_0013,WEST,97779.98,2
SYNTHETIC_ACCT_0014,WEST,60198.310000000005,29
SYNTHETIC_ACCT_0015,SOUTH,27044.15,117
SYNTHETIC_ACCT_0016,NORTH,13746.4,145
SYNTHETIC_ACCT_0017,EAST,33467.18,81
SYNTHETIC_ACCT_0018,NORTH,73207.69,20
SYNTHETIC_ACCT_0019,SOUTH,48746.26,65
SYNTHETIC_ACCT_0020,WEST,77021.37000000002,11
SYNTHETIC_ACCT_0021,EAST,93313.64,3
SYNTHETIC_ACCT_0022,WEST,48572.45,62
SYNTHETIC_ACCT_0023,EAST,8275.96,105
SYNTHETIC_ACCT_0024,NORTH,21424.32,138
SYNTHETIC_ACCT_0025,WEST,54865.67,41
SYNTHETIC_ACCT_0026,EAST,64087.070000000014,19
SYNTHETIC_ACCT_0027,SOUTH,39873.090000000004,96
SYNTHETIC_ACCT_0028,SOUTH,37261.28999999999,103
SYNTHETIC_ACCT_0029,WEST,42148.270000000004,76
SYNTHETIC_ACCT_0030,NORTH,59256.59999999999,48
SYNTHETIC_ACCT_0031,EAST,17435.02,102
SYNTHETIC_ACCT_0032,EAST,21107.28,99
SYNTHETIC_ACCT_0033,SOUTH,49133.13,63
SYNTHETIC_ACCT_0034,SOUTH,69095.15999999999,23
SYNTHETIC_ACCT_0035,NORTH,79800.59,11
SYNTHETIC_ACCT_0036,SOUTH,45801.420000000006,73
SYNTHETIC_ACCT_0037,SOUTH,71403.51,21
SYNTHETIC_ACCT_0038,EAST,30692.550000000003,84
SYNTHETIC_ACCT_0039,NORTH,41152.85,100
SYNTHETIC_ACCT_0040,WEST,61964.4,25
SYNTHETIC_ACCT_0041,NORTH,75653.94,14
SYNTHETIC_ACCT_0042,NORTH,52225.58,74
SYNTHETIC_ACCT_0043,WEST,41494.0,77
SYNTHETIC_ACCT_0044,NORTH,72024.95000000001,22
SYNTHETIC_ACCT_0045,SOUTH,30151.690000000002,113
