account_id,region,total_txn_amount,rank_within_region
SYNTHETIC_ACCT_0001,SOUTH,9649.96,22
SYNTHETIC_ACCT_0002,NORTH,16044.5,11
SYNTHETIC_ACCT_0003,NORTH,17490.52,10
SYNTHETIC_ACCT_0004,NORTH,6688.73,19
SYNTHETIC_ACCT_0005,WEST,16009.75,11
SYNTHETIC_ACCT_0006,EAST,17432.05,10
SYNTHETIC_ACCT_0007,WEST,15298.880000000001,13
SYNTHETIC_ACCT_0008,SOUTH,13593.36,15
SYNTHETIC_ACCT_0009,WEST,2424.9500000000003,26
SYNTHETIC_ACCT_0010,EAST,29353.8,4
SYNTHETIC_ACCT_0011,NORTH,21532.100000000002,8
SYNTHETIC_ACCT_0012,EAST,35678.11,1
SYNTHETIC_ACCT_0013,NORTH,15531.099999999999,12
SYNTHETIC_ACCT_0014,EAST,20663.85,8
SYNTHETIC_ACCT_0015,NORTH,22860.550000000003,6
SYNTHETIC_ACCT_0016,EAST,15174.46,13
SYNTHETIC_ACCT_0017,SOUTH,13974.13,14
SYNTHETIC_ACCT_0018,SOUTH,9338.84,23
SYNTHETIC_ACCT_0019,WEST,2578.87,25
SYNTHETIC_ACCT_0020,SOUTH,6985.13,25
SYNTHETIC_ACCT_0021,SOUTH,17871.43,9
SYNTHETIC_ACCT_0022,WEST,13015.42,16
SYNTHETIC_ACCT_0023,EAST,8805.84,16
SYNTHETIC_ACCT_0024,WEST,27981.06,3
SYNTHETIC_ACCT_0025,SOUTH,19905.170000000002,7
SYNTHETIC_ACCT_0026,EAST,15955.86,12
SYNTHETIC_ACCT_0027,EAST,16797.11,11
SYNTHETIC_ACCT_0028,WEST,17572.08,9
SYNTHETIC_ACCT_0029,NORTH,1945.26,23
SYNTHETIC_ACCT_0030,WEST,27223.86,4
SYNTHETIC_ACCT_0031,WEST,17548.239999999998,10
SYNTHETIC_ACCT_0032,NORTH,8005.4,17
SYNTHETIC_ACCT_0033,NORTH,4117.61,20
SYNTHETIC_ACCT_0034,WEST,15308.14,12
SYNTHETIC_ACCT_0035,SOUTH,10348.06,18
SYNTHETIC_ACCT_0036,SOUTH,10234.25,19
SYNTHETIC_ACCT_0037,NORTH,28144.480000000003,3
SYNTHETIC_ACCT_0038,NORTH,36729.23,1
SYNTHETIC_ACCT_0039,SOUTH,23285.47,3
SYNTHETIC_ACCT_0040,NORTH,7427.33,18
SYNTHETIC_ACCT_0041,NORTH,26865.08,5
SYNTHETIC_ACCT_0042,SOUTH,21427.079999999998,5
SYNTHETIC_ACCT_0043,WEST,22442.29,7
SYNTHETIC_ACCT_0044,EAST,3656.07,20
SYNTHETIC_ACCT_0045,WEST,4578.61,23
SYNTHETIC_ACCT_0046,SOUTH,9850.220000000001,21
SYNTHETIC_ACCT_0047,SOUTH,21272.399999999998,6
SYNTHETIC_ACCT_0048,NORTH,3186.85,22
SYNTHETIC_ACCT_0049,EAST,26097.329999999998,7
SYNTHETIC_ACCT_0050,EAST,33372.79,2
SYNTHETIC_ACCT_0051,SOUTH,32919.55,2
