txn_id,account_id,txn_date,txn_amount,txn_type,merchant_category,channel,is_flagged
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0042,2024-06-30,7805.1,FEE,DINING,BRANCH,False
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0001,2024-08-04,7940.21,REFUND,RETAIL,MOBILE,False
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0052,2024-08-16,1516.98,PURCHASE,RETAIL,ATM,False
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0027,2024-08-07,2351.34,PURCHASE,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0045,2024-09-10,8146.52,REFUND,RETAIL,ATM,False
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0001,2024-04-06,6046.93,FEE,UTILITIES,ATM,False
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0054,2024-12-28,6026.54,TRANSFER,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0093,2023-05-01,3256.4,REFUND,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0027,2023-06-14,4273.71,REFUND,HEALTHCARE,MOBILE,True
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0098,2023-12-23,6253.81,REFUND,GROCERY,ONLINE,False
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0013,2024-04-15,8927.62,TRANSFER,RETAIL,BRANCH,False
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0034,2024-08-30,5537.17,TRANSFER,UTILITIES,ATM,False
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0098,2024-09-27,3084.13,PURCHASE,RETAIL,ONLINE,False
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0050,2024-06-30,8847.96,REFUND,HEALTHCARE,MOBILE,True
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0001,2023-07-02,1296.43,TRANSFER,GROCERY,MOBILE,False
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0040,2024-04-03,238.28,PURCHASE,DINING,BRANCH,False
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0071,2024-02-20,3382.18,TRANSFER,GROCERY,BRANCH,False
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0055,2023-02-18,7991.57,PURCHASE,GROCERY,BRANCH,False
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0075,2023-01-03,4007.19,TRANSFER,DINING,ONLINE,False
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0012,2024-11-30,9389.24,REFUND,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0013,2023-09-05,507.62,FEE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0052,2024-05-24,6580.76,REFUND,RETAIL,BRANCH,False
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0039,2024-06-26,4208.02,PURCHASE,DINING,ONLINE,False
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0019,2023-09-24,5968.16,REFUND,RETAIL,MOBILE,True
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_0097,2023-06-04,6478.9,TRANSFER,UTILITIES,BRANCH,False
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0075,2024-07-03,8022.26,PURCHASE,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0018,2023-07-12,7128.15,REFUND,DINING,MOBILE,False
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0081,2024-04-02,7854.22,TRANSFER,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0092,2023-12-20,6908.55,PURCHASE,GROCERY,BRANCH,False
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0088,2024-04-20,7443.52,REFUND,UTILITIES,MOBILE,False
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_0020,2024-05-15,9871.49,PURCHASE,DINING,MOBILE,False
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0051,2024-10-02,6378.69,TRANSFER,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0092,2023-06-19,3651.38,FEE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0017,2023-10-20,2023.34,PURCHASE,DINING,ATM,False
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0035,2024-01-12,3564.61,REFUND,RETAIL,ONLINE,False
SYNTHETIC_TXN_000036,SYNTHETIC_ACCT_0067,2023-08-08,4860.68,PURCHASE,HEALTHCARE,BRANCH,False
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0090,2023-07-29,4883.02,FEE,TRAVEL,ONLINE,False
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0016,2023-03-12,1900.22,FEE,DINING,MOBILE,False
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0054,2023-12-12,9361.8,TRANSFER,DINING,ATM,False
SYNTHETIC_TXN_000040,SYNTHETIC_ACCT_0024,2024-06-05,4443.93,TRANSFER,RETAIL,ATM,False
SYNTHETIC_TXN_000041,SYNTHETIC_ACCT_0078,2023-04-11,2263.91,FEE,RETAIL,BRANCH,False
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_0061,2024-06-13,8488.12,FEE,GROCERY,MOBILE,False
SYNTHETIC_TXN_000043,SYNTHETIC_ACCT_0058,2024-10-11,9100.18,FEE,TRAVEL,MOBILE,False
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_0079,2024-08-21,3827.69,REFUND,UTILITIES,ONLINE,False
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_0066,2024-07-05,6095.14,REFUND,TRAVEL,MOBILE,False
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0075,2024-08-15,631.78,REFUND,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000047,SYNTHETIC_ACCT_0039,2023-04-14,1603.1,REFUND,GROCERY,ATM,False
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0097,2023-09-30,9294.59,PURCHASE,UTILITIES,BRANCH,False
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_0086,2024-01-11,3257.87,REFUND,RETAIL,ONLINE,False
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_0023,2024-05-03,5562.62,PURCHASE,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0040,2023-11-18,7648.33,PURCHASE,HEALTHCARE,MOBILE,False
SYNTHETIC_TXN_000052,SYNTHETIC_ACCT_0077,2023-02-12,5694.98,FEE,TRAVEL,BRANCH,False
SYNTHETIC_TXN_000053,SYNTHETIC_ACCT_0026,2024-09-01,1686.68,PURCHASE,HEALTHCARE,ATM,False
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_0064,2023-06-15,6270.46,REFUND,GROCERY,MOBILE,False
SYNTHETIC_TXN_000055,SYNTHETIC_ACCT_0010,2024-07-29,2515.0,REFUND,GROCERY,BRANCH,True
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_0012,2023-09-12,3024.94,TRANSFER,GROCERY,ONLINE,False
SYNTHETIC_TXN_000057,SYNTHETIC_ACCT_0098,2023-10-07,244.01,FEE,GROCERY,ATM,False
SYNTHETIC_TXN_000058,SYNTHETIC_ACCT_0045,2024-04-15,1244.23,TRANSFER,HEALTHCARE,ONLINE,False
SYNTHETIC_TXN_000059,SYNTHETIC_ACCT_0045,2024-04-29,4502.1,REFUND,GROCERY,ATM,False
SYNTHETIC_TXN_000060,SYNTHETIC_ACCT_0019,2023-12-17,6752.57,FEE,DINING,BRANCH,False
SYNTHETIC_TXN_000061,SYNTHETIC_ACCT_0099,2023-01-08,7024.57,REFUND,RETAIL,MOBILE,False
SYNTHETIC_TXN_000062,SYNTHETIC_ACCT_0020,2024-02-07,3438.89,PURCHASE,UTILITIES,MOBILE,False
SYNTHETIC_TXN_000063,SYNTHETIC_ACCT_0007,2023-08-16,2595.21,REFUND,GROCERY,BRANCH,False
SYNTHETIC_TXN_000064,SYNTHETIC_ACCT_0083,2023-06-04,4013.11,FEE,DINING,ATM,False
