txn_id,account_id,txn_date,txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0030,2024-10-21,6600.33
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0043,2023-07-31,6633.87
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0071,2024-07-06,4204.46
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0037,2023-09-12,7857.58
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0087,2024-04-25,8065.62
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0074,2024-08-02,6963.54
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0077,2023-08-03,7552.5
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0061,2023-07-17,7517.76
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0090,2024-12-25,8806.56
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0054,2023-08-20,7346.34
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0044,2024-08-23,7981.42
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0031,2023-09-12,6694.59
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0096,2024-09-12,7777.91
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0049,2023-03-30,7150.14
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0002,2023-03-22,8223.3
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0084,2023-09-12,8081.99
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0012,2023-04-17,4508.02
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0046,2024-06-17,2709.17
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0097,2023-08-29,8727.19
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0039,2023-04-21,2481.91
SYNTHETIC_TXN_000041,SYNTHETIC_ACCT_0020,2024-02-21,8266.31
SYNTHETIC_TXN_000043,SYNTHETIC_ACCT_0004,2023-05-10,9619.1
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_0023,2023-05-12,6515.09
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_0053,2023-11-06,6701.33
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0098,2024-09-04,4548.26
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0037,2023-04-18,6982.5
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_0053,2024-09-02,9922.56
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_0091,2023-09-21,8347.23
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0096,2024-01-18,8640.26
SYNTHETIC_TXN_000052,SYNTHETIC_ACCT_0076,2023-06-29,6599.4
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_0041,2023-02-21,7052.27
SYNTHETIC_TXN_000058,SYNTHETIC_ACCT_0037,2023-03-24,7467.66
SYNTHETIC_TXN_000061,SYNTHETIC_ACCT_0060,2024-03-12,4595.71
SYNTHETIC_TXN_000062,SYNTHETIC_ACCT_0076,2024-02-26,9620.28
SYNTHETIC_TXN_000065,SYNTHETIC_ACCT_0033,2023-03-29,7209.28
SYNTHETIC_TXN_000067,SYNTHETIC_ACCT_0047,2023-08-26,9134.86
SYNTHETIC_TXN_000068,SYNTHETIC_ACCT_0010,2023-02-10,9664.99
SYNTHETIC_TXN_000070,SYNTHETIC_ACCT_0004,2024-05-19,9431.68
SYNTHETIC_TXN_000072,SYNTHETIC_ACCT_0059,2023-10-29,9493.8
SYNTHETIC_TXN_000073,SYNTHETIC_ACCT_0079,2024-05-23,9515.21
SYNTHETIC_TXN_000076,SYNTHETIC_ACCT_0027,2024-05-07,7651.57
SYNTHETIC_TXN_000077,SYNTHETIC_ACCT_0036,2024-07-06,1446.89
SYNTHETIC_TXN_000080,SYNTHETIC_ACCT_0062,2023-10-04,4262.74
SYNTHETIC_TXN_000082,SYNTHETIC_ACCT_0090,2024-05-25,6547.13
SYNTHETIC_TXN_000084,SYNTHETIC_ACCT_0061,2023-12-16,8317.71
SYNTHETIC_TXN_000086,SYNTHETIC_ACCT_0028,2023-06-11,4821.89
SYNTHETIC_TXN_000087,SYNTHETIC_ACCT_0055,2023-02-09,9745.46
SYNTHETIC_TXN_000088,SYNTHETIC_ACCT_0098,2023-06-01,3398.25
SYNTHETIC_TXN_000090,SYNTHETIC_ACCT_0073,2024-11-11,8833.41
SYNTHETIC_TXN_000091,SYNTHETIC_ACCT_0078,2024-01-13,2731.67
SYNTHETIC_TXN_000092,SYNTHETIC_ACCT_0063,2024-11-05,3084.2
SYNTHETIC_TXN_000094,SYNTHETIC_ACCT_0065,2024-11-18,6680.48
SYNTHETIC_TXN_000095,SYNTHETIC_ACCT_0041,2024-03-10,5734.0
SYNTHETIC_TXN_000096,SYNTHETIC_ACCT_0080,2024-09-14,6896.1
SYNTHETIC_TXN_000098,SYNTHETIC_ACCT_0094,2024-08-04,6454.43
SYNTHETIC_TXN_000103,SYNTHETIC_ACCT_0058,2024-10-06,8991.26
SYNTHETIC_TXN_000104,SYNTHETIC_ACCT_0057,2023-12-01,6098.05
SYNTHETIC_TXN_000106,SYNTHETIC_ACCT_0078,2024-01-08,3333.62
SYNTHETIC_TXN_000108,SYNTHETIC_ACCT_0040,2024-06-18,2141.93
SYNTHETIC_TXN_000109,SYNTHETIC_ACCT_0013,2024-11-23,5397.71
SYNTHETIC_TXN_000110,SYNTHETIC_ACCT_0024,2023-10-10,7710.97
SYNTHETIC_TXN_000111,SYNTHETIC_ACCT_0057,2023-07-04,7523.91
SYNTHETIC_TXN_000112,SYNTHETIC_ACCT_0025,2024-03-18,9471.29
SYNTHETIC_TXN_000114,SYNTHETIC_ACCT_0035,2024-05-18,5133.53
SYNTHETIC_TXN_000118,SYNTHETIC_ACCT_0016,2024-10-28,4198.26
SYNTHETIC_TXN_000119,SYNTHETIC_ACCT_0066,2023-04-12,7185.44
SYNTHETIC_TXN_000120,SYNTHETIC_ACCT_0086,2023-06-23,9746.54
SYNTHETIC_TXN_000123,SYNTHETIC_ACCT_0009,2024-11-17,9436.04
SYNTHETIC_TXN_000126,SYNTHETIC_ACCT_0064,2023-10-24,7972.9
SYNTHETIC_TXN_000128,SYNTHETIC_ACCT_0058,2024-03-25,8700.36
SYNTHETIC_TXN_000133,SYNTHETIC_ACCT_0026,2023-10-03,8528.26
SYNTHETIC_TXN_000134,SYNTHETIC_ACCT_0071,2023-01-05,8913.31
SYNTHETIC_TXN_000138,SYNTHETIC_ACCT_0008,2024-02-05,5181.02
SYNTHETIC_TXN_000140,SYNTHETIC_ACCT_0083,2023-04-02,9416.06
SYNTHETIC_TXN_000141,SYNTHETIC_ACCT_0006,2023-05-26,7710.22
SYNTHETIC_TXN_000143,SYNTHETIC_ACCT_0057,2024-02-15,4644.42
SYNTHETIC_TXN_000146,SYNTHETIC_ACCT_0066,2023-11-25,8790.75
SYNTHETIC_TXN_000147,SYNTHETIC_ACCT_0007,2023-09-07,5975.19
SYNTHETIC_TXN_000148,SYNTHETIC_ACCT_0034,2024-11-09,7638.56
SYNTHETIC_TXN_000149,SYNTHETIC_ACCT_0065,2023-02-04,5498.57
SYNTHETIC_TXN_000150,SYNTHETIC_ACCT_0044,2023-07-29,3656.07
SYNTHETIC_TXN_000152,SYNTHETIC_ACCT_0095,2023-07-05,5937.24
SYNTHETIC_TXN_000153,SYNTHETIC_ACCT_0043,2023-01-27,9798.97
SYNTHETIC_TXN_000158,SYNTHETIC_ACCT_0032,2024-03-11,2985.0
SYNTHETIC_TXN_000160,SYNTHETIC_ACCT_0092,2023-08-29,9240.09
SYNTHETIC_TXN_000162,SYNTHETIC_ACCT_0082,2024-09-20,1001.99
SYNTHETIC_TXN_000163,SYNTHETIC_ACCT_0021,2023-03-06,9350.31
SYNTHETIC_TXN_000164,SYNTHETIC_ACCT_0099,2024-11-23,5741.33
SYNTHETIC_TXN_000165,SYNTHETIC_ACCT_0005,2024-03-10,3969.95
SYNTHETIC_TXN_000166,SYNTHETIC_ACCT_0043,2024-08-16,9890.98
SYNTHETIC_TXN_000167,SYNTHETIC_ACCT_0021,2024-01-21,6482.85
SYNTHETIC_TXN_000168,SYNTHETIC_ACCT_0052,2024-09-25,5152.81
SYNTHETIC_TXN_000169,SYNTHETIC_ACCT_0001,2024-02-26,2355.22
SYNTHETIC_TXN_000170,SYNTHETIC_ACCT_0008,2023-08-05,4653.95
SYNTHETIC_TXN_000171,SYNTHETIC_ACCT_0048,2023-09-23,2191.29
SYNTHETIC_TXN_000176,SYNTHETIC_ACCT_0075,2024-10-31,4236.98
SYNTHETIC_TXN_000177,SYNTHETIC_ACCT_0099,2023-12-14,6415.25
SYNTHETIC_TXN_000178,SYNTHETIC_ACCT_0049,2023-03-03,9641.43
SYNTHETIC_TXN_000179,SYNTHETIC_ACCT_0068,2024-03-01,9787.23
SYNTHETIC_TXN_000181,SYNTHETIC_ACCT_0003,2023-04-29,672.92
SYNTHETIC_TXN_000182,SYNTHETIC_ACCT_0030,2023-08-04,7543.85
SYNTHETIC_TXN_000183,SYNTHETIC_ACCT_0041,2024-02-26,7725.38
SYNTHETIC_TXN_000184,SYNTHETIC_ACCT_0072,2023-02-05,8797.13
SYNTHETIC_TXN_000185,SYNTHETIC_ACCT_0083,2023-11-09,7858.04
SYNTHETIC_TXN_000186,SYNTHETIC_ACCT_0061,2023-09-14,2253.45
SYNTHETIC_TXN_000188,SYNTHETIC_ACCT_0007,2024-06-22,6736.72
SYNTHETIC_TXN_000191,SYNTHETIC_ACCT_0064,2024-06-06,8028.16
SYNTHETIC_TXN_000194,SYNTHETIC_ACCT_0063,2023-06-21,7327.72
SYNTHETIC_TXN_000195,SYNTHETIC_ACCT_0083,2023-02-16,5239.44
SYNTHETIC_TXN_000198,SYNTHETIC_ACCT_0056,2023-07-14,9097.73
SYNTHETIC_TXN_000199,SYNTHETIC_ACCT_0046,2023-09-18,3968.97
SYNTHETIC_TXN_000200,SYNTHETIC_ACCT_0011,2023-11-12,8582.18
SYNTHETIC_TXN_000203,SYNTHETIC_ACCT_0003,2023-11-20,5870.36
SYNTHETIC_TXN_000204,SYNTHETIC_ACCT_0050,2024-08-10,5405.62
