txn_id,account_id,txn_date,txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0042,2024-06-30,7805.1
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0001,2024-08-04,7940.21
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0052,2024-08-16,1516.98
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0093,2023-05-01,3256.4
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0013,2024-04-15,8927.62
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0013,2024-04-15,8927.62
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0034,2024-08-30,5537.17
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0050,2024-06-30,8847.96
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0040,2024-04-03,238.28
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0055,2023-02-18,7991.57
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0075,2023-01-03,4007.19
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0012,2024-11-30,9389.24
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0052,2024-05-24,6580.76
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0019,2023-09-24,5968.16
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0075,2024-07-03,8022.26
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0018,2023-07-12,7128.15
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0081,2024-04-02,7854.22
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0088,2024-04-20,7443.52
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_0020,2024-05-15,9871.49
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0051,2024-10-02,6378.69
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0051,2024-10-02,6378.69
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0017,2023-10-20,2023.34
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0035,2024-01-12,3564.61
