txn_id,account_id,txn_date,txn_amount
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_1091,2023-09-03,9355.13
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_1292,2024-10-19,8794.72
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0464,2024-01-12,9978.21
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_1295,2023-09-11,9986.93
SYNTHETIC_TXN_000064,SYNTHETIC_ACCT_1678,2024-04-09,9778.27
SYNTHETIC_TXN_000069,SYNTHETIC_ACCT_1974,2023-06-07,9463.37
SYNTHETIC_TXN_000081,SYNTHETIC_ACCT_0413,2024-04-03,8631.46
SYNTHETIC_TXN_000088,SYNTHETIC_ACCT_1582,2023-01-17,9719.66
SYNTHETIC_TXN_000092,SYNTHETIC_ACCT_1176,2024-05-01,8667.13
SYNTHETIC_TXN_000099,SYNTHETIC_ACCT_0051,2023-10-06,8834.93
SYNTHETIC_TXN_000105,SYNTHETIC_ACCT_1772,2023-09-14,9624.71
SYNTHETIC_TXN_000119,SYNTHETIC_ACCT_0502,2023-10-23,9510.61
SYNTHETIC_TXN_000121,SYNTHETIC_ACCT_0746,2023-03-22,9970.6
SYNTHETIC_TXN_000128,SYNTHETIC_ACCT_0272,2024-11-21,9229.48
SYNTHETIC_TXN_000135,SYNTHETIC_ACCT_0487,2023-10-15,9624.66
SYNTHETIC_TXN_000141,SYNTHETIC_ACCT_0711,2023-12-10,9399.06
SYNTHETIC_TXN_000153,SYNTHETIC_ACCT_1580,2024-03-11,9623.38
SYNTHETIC_TXN_000154,SYNTHETIC_ACCT_0730,2023-02-19,8512.23
SYNTHETIC_TXN_000159,SYNTHETIC_ACCT_1300,2024-06-09,9520.29
SYNTHETIC_TXN_000161,SYNTHETIC_ACCT_0229,2023-08-13,9652.7
SYNTHETIC_TXN_000199,SYNTHETIC_ACCT_0235,2024-04-12,7256.21
SYNTHETIC_TXN_000201,SYNTHETIC_ACCT_1057,2023-06-20,9924.73
SYNTHETIC_TXN_000211,SYNTHETIC_ACCT_1208,2024-04-29,9605.33
SYNTHETIC_TXN_000215,SYNTHETIC_ACCT_0204,2023-04-22,9490.06
SYNTHETIC_TXN_000219,SYNTHETIC_ACCT_1832,2024-01-19,8284.39
SYNTHETIC_TXN_000221,SYNTHETIC_ACCT_0686,2024-11-24,9218.56
SYNTHETIC_TXN_000222,SYNTHETIC_ACCT_0186,2023-10-13,9805.77
SYNTHETIC_TXN_000225,SYNTHETIC_ACCT_1023,2023-02-04,8945.86
SYNTHETIC_TXN_000229,SYNTHETIC_ACCT_0498,2024-03-14,8476.69
SYNTHETIC_TXN_000230,SYNTHETIC_ACCT_1655,2023-01-19,9613.11
SYNTHETIC_TXN_000231,SYNTHETIC_ACCT_1937,2023-02-16,7739.83
SYNTHETIC_TXN_000236,SYNTHETIC_ACCT_0689,2023-02-16,8843.97
SYNTHETIC_TXN_000253,SYNTHETIC_ACCT_1450,2024-08-18,9775.36
SYNTHETIC_TXN_000262,SYNTHETIC_ACCT_1593,2023-05-27,9510.29
