txn_id,account_id,txn_date,txn_amount
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0127,2023-09-26,6848.22
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0081,2024-03-11,8159.86
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0414,2024-10-05,7770.45
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0403,2024-11-04,7395.7
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,2023-12-15,8328.36
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0198,2024-02-05,6283.7
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0080,2024-04-09,5709.9
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0497,2024-09-23,9910.2
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0343,2024-12-21,8115.83
SYNTHETIC_TXN_000036,SYNTHETIC_ACCT_0481,2023-07-12,6938.69
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_0490,2023-07-04,9014.2
SYNTHETIC_TXN_000052,SYNTHETIC_ACCT_0332,2023-12-08,7870.77
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_0051,2024-07-27,5009.09
SYNTHETIC_TXN_000057,SYNTHETIC_ACCT_0320,2024-09-28,5874.03
SYNTHETIC_TXN_000059,SYNTHETIC_ACCT_0418,2024-10-31,5048.87
SYNTHETIC_TXN_000062,SYNTHETIC_ACCT_0063,2024-09-20,5184.24
SYNTHETIC_TXN_000074,SYNTHETIC_ACCT_0262,2024-09-29,8723.9
SYNTHETIC_TXN_000076,SYNTHETIC_ACCT_0288,2024-10-25,8051.8
SYNTHETIC_TXN_000087,SYNTHETIC_ACCT_0071,2023-01-09,7069.72
SYNTHETIC_TXN_000092,SYNTHETIC_ACCT_0249,2024-04-05,7171.41
SYNTHETIC_TXN_000097,SYNTHETIC_ACCT_0256,2024-10-10,9956.33
SYNTHETIC_TXN_000098,SYNTHETIC_ACCT_0497,2024-06-19,9790.37
SYNTHETIC_TXN_000100,SYNTHETIC_ACCT_0005,2023-12-10,8260.71
SYNTHETIC_TXN_000102,SYNTHETIC_ACCT_0318,2023-04-18,8096.94
SYNTHETIC_TXN_000103,SYNTHETIC_ACCT_0332,2024-12-03,8652.62
SYNTHETIC_TXN_000105,SYNTHETIC_ACCT_0093,2024-04-16,2028.21
SYNTHETIC_TXN_000109,SYNTHETIC_ACCT_0022,2024-08-30,5943.07
SYNTHETIC_TXN_000114,SYNTHETIC_ACCT_0284,2023-05-09,8737.44
SYNTHETIC_TXN_000116,SYNTHETIC_ACCT_0308,2023-11-25,4757.57
SYNTHETIC_TXN_000121,SYNTHETIC_ACCT_0408,2024-02-24,7967.0
SYNTHETIC_TXN_000127,SYNTHETIC_ACCT_0205,2023-03-09,8928.38
SYNTHETIC_TXN_000130,SYNTHETIC_ACCT_0173,2023-03-31,8633.04
SYNTHETIC_TXN_000133,SYNTHETIC_ACCT_0276,2023-05-23,8658.86
SYNTHETIC_TXN_000137,SYNTHETIC_ACCT_0077,2023-07-09,8708.34
SYNTHETIC_TXN_000138,SYNTHETIC_ACCT_0441,2023-09-17,6361.25
SYNTHETIC_TXN_000140,SYNTHETIC_ACCT_0465,2024-11-30,9449.5
SYNTHETIC_TXN_000142,SYNTHETIC_ACCT_0245,2024-02-28,8692.64
SYNTHETIC_TXN_000144,SYNTHETIC_ACCT_0024,2024-03-02,8633.47
SYNTHETIC_TXN_000148,SYNTHETIC_ACCT_0450,2023-10-20,9571.65
SYNTHETIC_TXN_000150,SYNTHETIC_ACCT_0498,2024-12-16,7313.98
SYNTHETIC_TXN_000151,SYNTHETIC_ACCT_0261,2024-12-21,7895.18
SYNTHETIC_TXN_000153,SYNTHETIC_ACCT_0499,2023-03-22,7609.57
SYNTHETIC_TXN_000156,SYNTHETIC_ACCT_0243,2023-06-21,8534.72
SYNTHETIC_TXN_000160,SYNTHETIC_ACCT_0328,2024-02-06,8557.95
SYNTHETIC_TXN_000161,SYNTHETIC_ACCT_0063,2024-01-01,7026.21
SYNTHETIC_TXN_000162,SYNTHETIC_ACCT_0149,2024-07-06,6950.15
SYNTHETIC_TXN_000164,SYNTHETIC_ACCT_0303,2024-04-14,7181.8
SYNTHETIC_TXN_000171,SYNTHETIC_ACCT_0061,2024-09-18,8478.88
SYNTHETIC_TXN_000175,SYNTHETIC_ACCT_0411,2024-11-08,5395.98
SYNTHETIC_TXN_000182,SYNTHETIC_ACCT_0069,2023-05-15,8361.26
SYNTHETIC_TXN_000186,SYNTHETIC_ACCT_0401,2024-03-20,9298.28
SYNTHETIC_TXN_000187,SYNTHETIC_ACCT_0394,2024-11-28,8454.07
SYNTHETIC_TXN_000189,SYNTHETIC_ACCT_0153,2023-06-16,7236.79
SYNTHETIC_TXN_000201,SYNTHETIC_ACCT_0179,2023-08-11,8033.43
SYNTHETIC_TXN_000204,SYNTHETIC_ACCT_0130,2023-09-20,8474.74
SYNTHETIC_TXN_000208,SYNTHETIC_ACCT_0202,2024-03-29,6192.76
SYNTHETIC_TXN_000210,SYNTHETIC_ACCT_0115,2024-02-20,8158.51
SYNTHETIC_TXN_000211,SYNTHETIC_ACCT_0311,2024-12-22,8306.26
SYNTHETIC_TXN_000216,SYNTHETIC_ACCT_0071,2023-05-10,9365.59
SYNTHETIC_TXN_000218,SYNTHETIC_ACCT_0195,2024-02-04,9745.84
SYNTHETIC_TXN_000221,SYNTHETIC_ACCT_0318,2023-12-27,4382.97
SYNTHETIC_TXN_000222,SYNTHETIC_ACCT_0137,2023-11-09,9258.0
SYNTHETIC_TXN_000224,SYNTHETIC_ACCT_0416,2024-11-19,6301.94
SYNTHETIC_TXN_000225,SYNTHETIC_ACCT_0125,2023-02-06,8755.99
SYNTHETIC_TXN_000226,SYNTHETIC_ACCT_0091,2023-11-24,6339.09
SYNTHETIC_TXN_000230,SYNTHETIC_ACCT_0461,2024-03-12,9698.81
SYNTHETIC_TXN_000235,SYNTHETIC_ACCT_0145,2024-05-17,8087.28
SYNTHETIC_TXN_000238,SYNTHETIC_ACCT_0069,2023-09-23,9691.82
SYNTHETIC_TXN_000241,SYNTHETIC_ACCT_0428,2023-06-09,7219.86
SYNTHETIC_TXN_000244,SYNTHETIC_ACCT_0436,2024-01-04,5634.16
SYNTHETIC_TXN_000245,SYNTHETIC_ACCT_0143,2023-12-04,9805.51
