txn_id,account_id,txn_date,txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0030,2024-10-21,6600.33
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0094,2023-12-03,4363.94
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0067,2023-02-14,5384.52
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0043,2024-02-28,6633.87
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0071,2023-02-07,
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0092,2023-01-27,4943.77
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0068,2023-04-14,5954.52
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0061,2023-07-17,7517.76
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0091,2023-11-02,4148.68
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0099,2023-12-08,6955.23
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0050,2023-06-21,9534.29
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0004,2024-07-15,6688.73
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0096,2024-10-22,9999.07
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0048,2024-09-05,
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0002,2023-12-27,8223.3
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0084,2023-09-12,8081.99
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0096,2023-08-24,7621.89
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0007,2024-10-05,
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0077,2023-10-05,2256.88
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_0073,2023-01-15,4391.54
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_0011,2024-04-19,8894.22
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0074,2023-05-21,207.46
SYNTHETIC_TXN_000047,SYNTHETIC_ACCT_0036,2023-08-16,
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0086,2023-01-21,
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_0098,2024-09-04,4548.26
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_0053,2023-08-09,
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0037,2023-03-27,6982.5
SYNTHETIC_TXN_000053,SYNTHETIC_ACCT_0066,2024-04-26,4154.91
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_0066,2023-11-03,1365.09
SYNTHETIC_TXN_000055,SYNTHETIC_ACCT_0039,2023-10-01,5799.23
SYNTHETIC_TXN_000057,SYNTHETIC_ACCT_0041,2023-02-21,7052.27
SYNTHETIC_TXN_000061,SYNTHETIC_ACCT_0037,2023-03-24,7467.66
SYNTHETIC_TXN_000062,SYNTHETIC_ACCT_0004,2023-12-30,
SYNTHETIC_TXN_000065,SYNTHETIC_ACCT_0076,2024-02-26,9620.28
