txn_id,account_id,txn_date,txn_amount,running_total_txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0030,2024-10-21,6600.33,26103.370000000003
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0069,2024-07-02,276.01,29370.289999999997
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0094,2023-12-03,4363.94,21814.64
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0067,2023-02-14,5384.52,5384.52
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0043,2023-07-31,6633.87,17750.57
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0071,2024-07-06,4204.46,21390.63
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0037,2023-09-12,7857.58,40195.04
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0095,2023-04-07,847.96,1632.04
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0087,2024-04-25,8065.62,31393.859999999997
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0074,2024-08-02,6963.54,20297.89
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0090,2023-09-21,502.19,4079.19
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0077,2023-08-03,7552.5,7552.5
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0061,2023-07-17,7517.76,7517.76
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0037,2024-08-12,3358.48,48020.39
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0028,2024-10-29,4076.0,20954.190000000002
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0090,2024-12-25,8806.56,22155.35
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0054,2023-08-20,7346.34,7346.34
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0044,2024-08-23,7981.42,17167.95
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0011,2024-04-09,1357.0,27296.14
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0098,2024-04-17,2782.57,7974.27
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0045,2024-11-30,686.19,24843.57
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0031,2023-09-12,6694.59,25844.17
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0096,2024-09-12,7777.91,31821.15
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0049,2023-03-30,7150.14,19318.96
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_0088,2024-01-11,1210.56,11262.74
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0002,2023-03-22,8223.3,8223.3
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0084,2023-09-12,8081.99,17366.55
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0012,2023-04-17,4508.02,4508.02
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0024,2023-05-01,3548.25,4337.9400000000005
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0031,2023-09-01,4885.78,19149.579999999998
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_0029,2023-09-04,2433.06,4894.58
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0046,2024-06-17,2709.17,12804.92
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0089,2023-05-08,2163.85,6918.85
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0047,2024-11-15,141.49,36661.909999999996
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0097,2023-08-29,8727.19,15368.130000000001
SYNTHETIC_TXN_000036,SYNTHETIC_ACCT_0062,2023-03-28,653.44,653.44
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0039,2023-04-21,2481.91,2481.91
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0076,2024-09-21,3053.81,34275.28
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0031,2023-01-26,750.66,750.66
SYNTHETIC_TXN_000040,SYNTHETIC_ACCT_0037,2023-04-01,4540.31,18417.010000000002
SYNTHETIC_TXN_000041,SYNTHETIC_ACCT_0020,2024-02-21,8266.31,32372.92
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_0090,2024-10-10,2722.47,13348.789999999999
SYNTHETIC_TXN_000043,SYNTHETIC_ACCT_0004,2023-05-10,9619.1,11311.66
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_0023,2023-05-12,6515.09,6515.09
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_0053,2023-11-06,6701.33,19480.65
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0098,2024-09-04,4548.26,12619.26
SYNTHETIC_TXN_000047,SYNTHETIC_ACCT_0053,2023-04-01,5184.39,5184.39
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0037,2023-04-18,6982.5,25399.510000000002
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_0053,2024-09-02,9922.56,29403.21
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_0091,2023-09-21,8347.23,11130.68
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0096,2024-01-18,8640.26,15101.95
SYNTHETIC_TXN_000052,SYNTHETIC_ACCT_0076,2023-06-29,6599.4,16247.71
SYNTHETIC_TXN_000053,SYNTHETIC_ACCT_0049,2024-05-01,3217.78,35120.3
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_0041,2023-02-21,7052.27,7052.27
SYNTHETIC_TXN_000055,SYNTHETIC_ACCT_0076,2023-07-12,1003.65,17251.36
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_0084,2024-01-20,748.29,31259.149999999998
SYNTHETIC_TXN_000057,SYNTHETIC_ACCT_0069,2023-06-26,3166.62,14854.8
SYNTHETIC_TXN_000058,SYNTHETIC_ACCT_0037,2023-03-24,7467.66,13876.7
SYNTHETIC_TXN_000059,SYNTHETIC_ACCT_0004,2023-10-17,7961.43,27058.47
SYNTHETIC_TXN_000060,SYNTHETIC_ACCT_0024,2023-02-01,789.69,789.69
SYNTHETIC_TXN_000061,SYNTHETIC_ACCT_0060,2024-03-12,4595.71,4595.71
SYNTHETIC_TXN_000062,SYNTHETIC_ACCT_0076,2024-02-26,9620.28,26871.64
SYNTHETIC_TXN_000063,SYNTHETIC_ACCT_0049,2024-12-09,5748.12,47475.65
SYNTHETIC_TXN_000064,SYNTHETIC_ACCT_0100,2024-03-13,490.45,20335.350000000002
SYNTHETIC_TXN_000065,SYNTHETIC_ACCT_0033,2023-03-29,7209.28,7209.28
SYNTHETIC_TXN_000066,SYNTHETIC_ACCT_0075,2023-11-02,1314.13,16946.91
SYNTHETIC_TXN_000067,SYNTHETIC_ACCT_0047,2023-08-26,9134.86,25144.07
SYNTHETIC_TXN_000068,SYNTHETIC_ACCT_0010,2023-02-10,9664.99,17594.03
SYNTHETIC_TXN_000069,SYNTHETIC_ACCT_0034,2024-04-07,4547.86,25463.07
SYNTHETIC_TXN_000070,SYNTHETIC_ACCT_0004,2024-05-19,9431.68,51286.14000000001
SYNTHETIC_TXN_000071,SYNTHETIC_ACCT_0053,2024-09-04,453.48,29856.69
SYNTHETIC_TXN_000072,SYNTHETIC_ACCT_0059,2023-10-29,9493.8,24927.3
SYNTHETIC_TXN_000073,SYNTHETIC_ACCT_0079,2024-05-23,9515.21,28318.219999999998
SYNTHETIC_TXN_000074,SYNTHETIC_ACCT_0013,2023-12-30,3673.35,9673.0
SYNTHETIC_TXN_000075,SYNTHETIC_ACCT_0059,2024-11-10,2121.06,44755.89
SYNTHETIC_TXN_000076,SYNTHETIC_ACCT_0027,2024-05-07,7651.57,18158.95
SYNTHETIC_TXN_000077,SYNTHETIC_ACCT_0036,2024-07-06,1446.89,2846.91
SYNTHETIC_TXN_000078,SYNTHETIC_ACCT_0031,2023-10-27,157.82,26001.989999999998
SYNTHETIC_TXN_000079,SYNTHETIC_ACCT_0066,2024-11-17,4520.06,38875.719999999994
SYNTHETIC_TXN_000080,SYNTHETIC_ACCT_0062,2023-10-04,4262.74,4916.18
SYNTHETIC_TXN_000081,SYNTHETIC_ACCT_0017,2023-12-07,6330.76,6348.75
SYNTHETIC_TXN_000082,SYNTHETIC_ACCT_0090,2024-05-25,6547.13,10626.32
SYNTHETIC_TXN_000083,SYNTHETIC_ACCT_0059,2023-02-19,7296.12,7296.12
SYNTHETIC_TXN_000084,SYNTHETIC_ACCT_0061,2023-12-16,8317.71,18088.92
SYNTHETIC_TXN_000085,SYNTHETIC_ACCT_0043,2024-11-09,4108.09,40969.479999999996
SYNTHETIC_TXN_000086,SYNTHETIC_ACCT_0028,2023-06-11,4821.89,9063.990000000002
SYNTHETIC_TXN_000087,SYNTHETIC_ACCT_0055,2023-02-09,9745.46,9745.46
SYNTHETIC_TXN_000088,SYNTHETIC_ACCT_0098,2023-06-01,3398.25,3398.25
SYNTHETIC_TXN_000089,SYNTHETIC_ACCT_0004,2024-01-17,5304.83,41854.46000000001
SYNTHETIC_TXN_000090,SYNTHETIC_ACCT_0073,2024-11-11,8833.41,42968.22
SYNTHETIC_TXN_000091,SYNTHETIC_ACCT_0078,2024-01-13,2731.67,8577.34
SYNTHETIC_TXN_000092,SYNTHETIC_ACCT_0063,2024-11-05,3084.2,10411.92
SYNTHETIC_TXN_000093,SYNTHETIC_ACCT_0018,2023-10-18,2894.48,19296.06
SYNTHETIC_TXN_000094,SYNTHETIC_ACCT_0065,2024-11-18,6680.48,12179.05
SYNTHETIC_TXN_000095,SYNTHETIC_ACCT_0041,2024-03-10,5734.0,28863.45
SYNTHETIC_TXN_000096,SYNTHETIC_ACCT_0080,2024-09-14,6896.1,29345.239999999998
SYNTHETIC_TXN_000097,SYNTHETIC_ACCT_0051,2024-10-14,7458.04,48687.670000000006
SYNTHETIC_TXN_000098,SYNTHETIC_ACCT_0094,2024-08-04,6454.43,29171.05
SYNTHETIC_TXN_000099,SYNTHETIC_ACCT_0098,2023-09-13,1771.47,5169.72
SYNTHETIC_TXN_000100,SYNTHETIC_ACCT_0020,2023-05-06,4689.21,17914.85
SYNTHETIC_TXN_000101,SYNTHETIC_ACCT_0058,2024-09-30,3687.38,35459.81
SYNTHETIC_TXN_000102,SYNTHETIC_ACCT_0095,2024-06-22,4497.34,14058.42
SYNTHETIC_TXN_000103,SYNTHETIC_ACCT_0058,2024-10-06,8991.26,44451.07
SYNTHETIC_TXN_000104,SYNTHETIC_ACCT_0057,2023-12-01,6098.05,16830.65
SYNTHETIC_TXN_000105,SYNTHETIC_ACCT_0081,2023-12-02,659.13,5211.11
SYNTHETIC_TXN_000106,SYNTHETIC_ACCT_0078,2024-01-08,3333.62,5845.67
SYNTHETIC_TXN_000107,SYNTHETIC_ACCT_0011,2023-02-14,3766.8,6162.42
SYNTHETIC_TXN_000108,SYNTHETIC_ACCT_0040,2024-06-18,2141.93,9235.61
SYNTHETIC_TXN_000109,SYNTHETIC_ACCT_0013,2024-11-23,5397.71,23109.67
SYNTHETIC_TXN_000110,SYNTHETIC_ACCT_0024,2023-10-10,7710.97,16756.72
SYNTHETIC_TXN_000111,SYNTHETIC_ACCT_0057,2023-07-04,7523.91,10732.6
SYNTHETIC_TXN_000112,SYNTHETIC_ACCT_0025,2024-03-18,9471.29,14801.210000000001
SYNTHETIC_TXN_000113,SYNTHETIC_ACCT_0078,2023-06-13,2500.04,2512.05
SYNTHETIC_TXN_000114,SYNTHETIC_ACCT_0035,2024-05-18,5133.53,10698.51
SYNTHETIC_TXN_000115,SYNTHETIC_ACCT_0051,2024-05-16,2357.79,26478.660000000003
SYNTHETIC_TXN_000116,SYNTHETIC_ACCT_0084,2023-01-19,1460.5,1460.5
SYNTHETIC_TXN_000117,SYNTHETIC_ACCT_0011,2023-04-18,2156.55,17356.96
SYNTHETIC_TXN_000118,SYNTHETIC_ACCT_0016,2024-10-28,4198.26,14148.58
SYNTHETIC_TXN_000119,SYNTHETIC_ACCT_0066,2023-04-12,7185.44,7185.44
SYNTHETIC_TXN_000120,SYNTHETIC_ACCT_0086,2023-06-23,9746.54,9746.54
SYNTHETIC_TXN_000121,SYNTHETIC_ACCT_0050,2024-01-13,2536.51,10953.88
SYNTHETIC_TXN_000122,SYNTHETIC_ACCT_0043,2024-07-05,3522.99,21777.08
SYNTHETIC_TXN_000123,SYNTHETIC_ACCT_0009,2024-11-17,9436.04,22784.18
SYNTHETIC_TXN_000124,SYNTHETIC_ACCT_0051,2024-06-19,5430.31,31908.970000000005
SYNTHETIC_TXN_000125,SYNTHETIC_ACCT_0084,2023-10-08,1244.76,18611.309999999998
SYNTHETIC_TXN_000126,SYNTHETIC_ACCT_0064,2023-10-24,7972.9,16402.47
SYNTHETIC_TXN_000127,SYNTHETIC_ACCT_0070,2024-02-22,1025.99,16615.050000000003
SYNTHETIC_TXN_000128,SYNTHETIC_ACCT_0058,2024-03-25,8700.36,18786.97
SYNTHETIC_TXN_000129,SYNTHETIC_ACCT_0066,2023-04-19,6794.1,13979.54
SYNTHETIC_TXN_000130,SYNTHETIC_ACCT_0083,2024-07-27,3828.55,26342.09
SYNTHETIC_TXN_000131,SYNTHETIC_ACCT_0074,2024-04-20,3669.5,13334.349999999999
SYNTHETIC_TXN_000132,SYNTHETIC_ACCT_0050,2023-10-02,1177.62,1177.62
SYNTHETIC_TXN_000133,SYNTHETIC_ACCT_0026,2023-10-03,8528.26,23612.6
SYNTHETIC_TXN_000134,SYNTHETIC_ACCT_0071,2023-01-05,8913.31,8913.31
SYNTHETIC_TXN_000135,SYNTHETIC_ACCT_0026,2023-06-13,2367.37,7239.2699999999995
SYNTHETIC_TXN_000136,SYNTHETIC_ACCT_0079,2023-08-29,657.49,7091.469999999999
SYNTHETIC_TXN_000137,SYNTHETIC_ACCT_0041,2024-08-22,4499.75,33363.2
SYNTHETIC_TXN_000138,SYNTHETIC_ACCT_0008,2024-02-05,5181.02,9834.970000000001
SYNTHETIC_TXN_000139,SYNTHETIC_ACCT_0037,2024-03-25,2506.06,42701.1
SYNTHETIC_TXN_000140,SYNTHETIC_ACCT_0083,2023-04-02,9416.06,14655.5
SYNTHETIC_TXN_000141,SYNTHETIC_ACCT_0006,2023-05-26,7710.22,8311.33
SYNTHETIC_TXN_000142,SYNTHETIC_ACCT_0038,2023-11-12,3020.95,20190.710000000003
SYNTHETIC_TXN_000143,SYNTHETIC_ACCT_0057,2024-02-15,4644.42,21475.07
SYNTHETIC_TXN_000144,SYNTHETIC_ACCT_0048,2024-04-02,1061.85,11426.99
SYNTHETIC_TXN_000145,SYNTHETIC_ACCT_0050,2024-01-31,4181.35,15135.23
SYNTHETIC_TXN_000146,SYNTHETIC_ACCT_0066,2023-11-25,8790.75,25253.85
SYNTHETIC_TXN_000147,SYNTHETIC_ACCT_0007,2023-09-07,5975.19,20120.1
SYNTHETIC_TXN_000148,SYNTHETIC_ACCT_0034,2024-11-09,7638.56,33101.63
SYNTHETIC_TXN_000149,SYNTHETIC_ACCT_0065,2023-02-04,5498.57,5498.57
SYNTHETIC_TXN_000150,SYNTHETIC_ACCT_0044,2023-07-29,3656.07,3656.07
SYNTHETIC_TXN_000151,SYNTHETIC_ACCT_0043,2024-08-10,5193.33,26970.410000000003
SYNTHETIC_TXN_000152,SYNTHETIC_ACCT_0095,2023-07-05,5937.24,7569.28
SYNTHETIC_TXN_000153,SYNTHETIC_ACCT_0043,2023-01-27,9798.97,9798.97
SYNTHETIC_TXN_000154,SYNTHETIC_ACCT_0100,2024-07-10,2275.44,22610.79
SYNTHETIC_TXN_000155,SYNTHETIC_ACCT_0074,2023-10-30,1098.96,9664.849999999999
SYNTHETIC_TXN_000156,SYNTHETIC_ACCT_0100,2024-10-29,4716.06,34971.68
SYNTHETIC_TXN_000157,SYNTHETIC_ACCT_0062,2024-01-16,3137.53,21305.299999999996
SYNTHETIC_TXN_000158,SYNTHETIC_ACCT_0032,2024-03-11,2985.0,12575.23
SYNTHETIC_TXN_000159,SYNTHETIC_ACCT_0093,2023-11-23,1218.75,18465.33
SYNTHETIC_TXN_000160,SYNTHETIC_ACCT_0092,2023-08-29,9240.09,9240.09
SYNTHETIC_TXN_000161,SYNTHETIC_ACCT_0072,2024-04-30,1372.74,13871.999999999998
SYNTHETIC_TXN_000162,SYNTHETIC_ACCT_0082,2024-09-20,1001.99,1889.26
SYNTHETIC_TXN_000163,SYNTHETIC_ACCT_0021,2023-03-06,9350.31,9350.31
SYNTHETIC_TXN_000164,SYNTHETIC_ACCT_0099,2024-11-23,5741.33,19602.36
SYNTHETIC_TXN_000165,SYNTHETIC_ACCT_0005,2024-03-10,3969.95,21015.360000000004
SYNTHETIC_TXN_000166,SYNTHETIC_ACCT_0043,2024-08-16,9890.98,36861.39
SYNTHETIC_TXN_000167,SYNTHETIC_ACCT_0021,2024-01-21,6482.85,15833.16
SYNTHETIC_TXN_000168,SYNTHETIC_ACCT_0052,2024-09-25,5152.81,14774.130000000001
SYNTHETIC_TXN_000169,SYNTHETIC_ACCT_0001,2024-02-26,2355.22,2355.22
SYNTHETIC_TXN_000170,SYNTHETIC_ACCT_0008,2023-08-05,4653.95,4653.95
SYNTHETIC_TXN_000171,SYNTHETIC_ACCT_0048,2023-09-23,2191.29,10365.14
SYNTHETIC_TXN_000172,SYNTHETIC_ACCT_0097,2023-02-04,6640.94,6640.94
SYNTHETIC_TXN_000173,SYNTHETIC_ACCT_0073,2023-05-25,8287.73,13311.75
SYNTHETIC_TXN_000174,SYNTHETIC_ACCT_0015,2023-10-02,7169.18,29401.63
SYNTHETIC_TXN_000175,SYNTHETIC_ACCT_0073,2024-12-09,4623.78,47592.0
SYNTHETIC_TXN_000176,SYNTHETIC_ACCT_0075,2024-10-31,4236.98,21183.89
SYNTHETIC_TXN_000177,SYNTHETIC_ACCT_0099,2023-12-14,6415.25,13861.029999999999
SYNTHETIC_TXN_000178,SYNTHETIC_ACCT_0049,2023-03-03,9641.43,12168.82
SYNTHETIC_TXN_000179,SYNTHETIC_ACCT_0068,2024-03-01,9787.23,23472.079999999998
SYNTHETIC_TXN_000180,SYNTHETIC_ACCT_0032,2024-09-07,1551.22,14126.449999999999
SYNTHETIC_TXN_000181,SYNTHETIC_ACCT_0003,2023-04-29,672.92,672.92
SYNTHETIC_TXN_000182,SYNTHETIC_ACCT_0030,2023-08-04,7543.85,17154.56
SYNTHETIC_TXN_000183,SYNTHETIC_ACCT_0041,2024-02-26,7725.38,23129.45
SYNTHETIC_TXN_000184,SYNTHETIC_ACCT_0072,2023-02-05,8797.13,8797.13
SYNTHETIC_TXN_000185,SYNTHETIC_ACCT_0083,2023-11-09,7858.04,22513.54
SYNTHETIC_TXN_000186,SYNTHETIC_ACCT_0061,2023-09-14,2253.45,9771.21
SYNTHETIC_TXN_000187,SYNTHETIC_ACCT_0018,2023-09-28,2549.96,16401.58
SYNTHETIC_TXN_000188,SYNTHETIC_ACCT_0007,2024-06-22,6736.72,26856.82
SYNTHETIC_TXN_000189,SYNTHETIC_ACCT_0039,2024-09-02,153.35,13502.75
SYNTHETIC_TXN_000190,SYNTHETIC_ACCT_0051,2023-09-11,5520.79,14469.560000000001
