txn_id,account_id,txn_date,txn_amount,running_total_txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0042,2024-06-30,7805.1,38571.7
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0001,2024-08-04,7940.21,39104.2
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0001,2024-08-04,7940.21,39104.2
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0001,2024-08-04,7940.21,39104.2
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0001,2024-08-04,7940.21,39104.2
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0052,2024-08-16,1516.98,8097.74
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0027,2024-08-07,2351.34,42566.749999999985
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0027,2024-08-07,2351.34,42566.749999999985
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0027,2024-08-07,2351.34,42566.749999999985
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0027,2024-08-07,2351.34,42566.749999999985
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0045,2024-09-10,8146.52,52737.09
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0001,2024-04-06,6046.93,7343.360000000001
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0054,2024-12-28,6026.54,49838.57
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0093,2023-05-01,3256.4,3783.69
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0027,2023-06-14,4273.71,25208.94
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0027,2023-06-14,4273.71,25208.94
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0098,2023-12-23,6253.81,34261.23
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0013,2024-04-15,8927.62,49763.829999999994
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0013,2024-04-15,8927.62,49763.829999999994
