txn_id,account_id,txn_date,txn_amount,running_total_txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_1529,2023-01-04,8057.04,8057.04
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0480,2023-05-23,433.93,18893.14
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_1281,2024-03-04,6294.46,112793.61000000002
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0754,2023-10-29,4763.57,60811.85999999999
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0038,2024-06-26,8366.81,122722.01000000002
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_1412,2023-03-08,5064.95,22544.87
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0338,2023-06-16,1803.78,27114.280000000002
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0180,2024-09-26,6060.73,128207.72999999998
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0673,2024-06-30,4074.9,90069.40999999999
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_1560,2024-07-27,1249.73,163314.79000000007
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0623,2024-01-05,5132.46,55828.78
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0743,2023-03-29,1379.73,5855.1900000000005
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0083,2024-06-30,5289.26,89923.75
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_1393,2024-12-30,6725.13,165708.86999999997
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_1545,2024-07-24,1526.61,93071.98000000001
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_1714,2023-08-21,6804.07,53006.579999999994
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_1277,2024-01-27,5627.35,82193.87000000001
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,2023-05-31,7139.09,18719.0
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0157,2023-09-30,4002.27,48102.24
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_1145,2024-01-11,5800.52,31830.58
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0254,2024-06-01,7122.69,73539.83
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0822,2023-02-11,564.97,4853.860000000001
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_1293,2023-11-17,4711.07,31232.26
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0382,2023-08-19,5069.1,50134.350000000006
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_1234,2023-12-01,62.57,46595.96
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_1672,2024-10-28,1758.39,109979.81999999999
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0213,2024-01-27,2156.82,61709.85999999999
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_1426,2023-12-06,3606.01,59859.32000000001
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0605,2023-06-15,3672.14,19716.71
