txn_id,account_id,txn_date,txn_amount,running_total_txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0334,2024-12-16,8274.08,71876.71
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0127,2023-09-26,6848.22,24642.31
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0081,2024-03-11,8159.86,50838.03
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0414,2024-10-05,7770.45,72864.53
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0478,2023-09-12,3094.71,23638.27
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0198,2024-05-07,877.02,30804.940000000002
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0245,2024-06-29,2018.7,25075.04
SYNTHETIC_TXN_000008,SYNTHETIC_ACCT_0400,2023-12-14,1490.1,29607.5
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0080,2024-12-10,303.6,29659.55
SYNTHETIC_TXN_000010,SYNTHETIC_ACCT_0290,2023-10-22,5671.84,21429.8
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0494,2023-12-10,8437.46,19228.059999999998
SYNTHETIC_TXN_000012,SYNTHETIC_ACCT_0446,2023-04-29,4868.35,19162.29
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0164,2023-08-01,6406.33,13937.55
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0495,2024-01-06,7207.11,41600.67
SYNTHETIC_TXN_000015,SYNTHETIC_ACCT_0403,2024-11-04,7395.7,29598.34
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0102,2024-09-15,2987.93,37454.63
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0192,2023-02-07,1685.78,1685.78
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0019,2023-12-15,8328.36,32887.96000000001
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0198,2024-02-05,6283.7,23487.63
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0170,2024-08-05,567.27,44410.369999999995
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0080,2024-04-09,5709.9,20619.4
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0059,2024-05-29,5134.58,37512.05
SYNTHETIC_TXN_000023,SYNTHETIC_ACCT_0497,2024-09-23,9910.2,41971.72
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0427,2023-10-06,2935.25,16568.73
SYNTHETIC_TXN_000025,SYNTHETIC_ACCT_0484,2024-05-22,1858.21,30229.149999999998
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0395,2023-04-18,1756.28,2124.06
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0343,2024-12-21,8115.83,37105.96
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0266,2024-09-30,3352.2,42767.049999999996
SYNTHETIC_TXN_000029,SYNTHETIC_ACCT_0447,2024-11-24,2483.4,67832.92
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0183,2024-01-01,4457.67,31789.609999999993
SYNTHETIC_TXN_000031,SYNTHETIC_ACCT_0296,2023-08-13,612.09,20667.15
SYNTHETIC_TXN_000032,SYNTHETIC_ACCT_0011,2024-09-17,885.87,38324.55
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0010,2023-04-28,6989.67,6989.67
