txn_id,account_id,txn_date,txn_amount,running_total_txn_amount
SYNTHETIC_TXN_000001,SYNTHETIC_ACCT_0030,2024-10-21,6600.33,27223.86
SYNTHETIC_TXN_000002,SYNTHETIC_ACCT_0069,2024-07-02,276.01,12107.710000000001
SYNTHETIC_TXN_000003,SYNTHETIC_ACCT_0094,2023-12-03,4363.94,13937.849999999999
SYNTHETIC_TXN_000004,SYNTHETIC_ACCT_0067,2023-02-14,5384.52,5384.52
SYNTHETIC_TXN_000005,SYNTHETIC_ACCT_0043,2024-02-28,6633.87,22442.29
SYNTHETIC_TXN_000006,SYNTHETIC_ACCT_0071,2023-02-07,,1635.14
SYNTHETIC_TXN_000007,SYNTHETIC_ACCT_0039,2024-02-06,4298.88,10098.11
SYNTHETIC_TXN_000008,,2023-02-26,9011.8,55307.7
SYNTHETIC_TXN_000009,SYNTHETIC_ACCT_0043,2023-02-12,,
SYNTHETIC_TXN_000010,,2024-10-18,,461567.46
SYNTHETIC_TXN_000011,SYNTHETIC_ACCT_0092,2023-01-27,4943.77,4943.77
SYNTHETIC_TXN_000012,,2024-04-20,6959.11,341466.49
SYNTHETIC_TXN_000013,SYNTHETIC_ACCT_0068,2023-04-14,5954.52,5954.52
SYNTHETIC_TXN_000014,SYNTHETIC_ACCT_0061,2023-07-17,7517.76,8905.69
SYNTHETIC_TXN_000015,,2024-10-10,2717.16,455406.99000000005
SYNTHETIC_TXN_000016,SYNTHETIC_ACCT_0091,2023-11-02,4148.68,4148.68
SYNTHETIC_TXN_000017,SYNTHETIC_ACCT_0099,2023-12-08,6955.23,6955.23
SYNTHETIC_TXN_000018,SYNTHETIC_ACCT_0050,2023-06-21,9534.29,9534.29
SYNTHETIC_TXN_000019,SYNTHETIC_ACCT_0004,2024-07-15,6688.73,6688.73
SYNTHETIC_TXN_000020,SYNTHETIC_ACCT_0051,2023-10-20,6629.99,14129.11
SYNTHETIC_TXN_000021,SYNTHETIC_ACCT_0042,2024-03-22,3268.46,15751.149999999998
SYNTHETIC_TXN_000022,SYNTHETIC_ACCT_0096,2024-10-22,9999.07,21139.07
SYNTHETIC_TXN_000023,,2023-09-04,,170279.12000000002
SYNTHETIC_TXN_000024,SYNTHETIC_ACCT_0048,2024-09-05,,3186.85
SYNTHETIC_TXN_000025,,2024-06-11,6773.47,371972.68
SYNTHETIC_TXN_000026,SYNTHETIC_ACCT_0088,2024-01-11,1210.56,33783.25
SYNTHETIC_TXN_000027,SYNTHETIC_ACCT_0002,2023-12-27,8223.3,16044.5
SYNTHETIC_TXN_000028,SYNTHETIC_ACCT_0084,2023-09-12,8081.99,9581.289999999999
SYNTHETIC_TXN_000029,,2023-05-28,2789.29,89663.59999999999
SYNTHETIC_TXN_000030,SYNTHETIC_ACCT_0024,2023-05-01,3548.25,3548.25
SYNTHETIC_TXN_000031,,2023-01-24,4064.28,19013.77
SYNTHETIC_TXN_000032,,2023-05-16,4044.01,86703.56
SYNTHETIC_TXN_000033,SYNTHETIC_ACCT_0096,2024-04-18,3518.11,11140.0
SYNTHETIC_TXN_000034,SYNTHETIC_ACCT_0096,2023-08-24,7621.89,7621.89
SYNTHETIC_TXN_000035,SYNTHETIC_ACCT_0038,2023-07-04,1794.42,6997.3
SYNTHETIC_TXN_000036,,2024-09-17,9440.89,443849.81000000006
SYNTHETIC_TXN_000037,SYNTHETIC_ACCT_0024,2024-10-26,2524.79,27981.06
SYNTHETIC_TXN_000038,SYNTHETIC_ACCT_0007,2024-10-05,,15298.880000000001
SYNTHETIC_TXN_000039,SYNTHETIC_ACCT_0077,2023-10-05,2256.88,2256.88
SYNTHETIC_TXN_000040,SYNTHETIC_ACCT_0079,2024-05-29,992.34,30919.940000000002
SYNTHETIC_TXN_000041,,2023-09-27,,177153.30000000005
SYNTHETIC_TXN_000042,SYNTHETIC_ACCT_0037,2023-04-01,4540.31,26680.190000000002
SYNTHETIC_TXN_000043,,2024-10-19,,461567.46
SYNTHETIC_TXN_000044,SYNTHETIC_ACCT_0073,2023-01-15,4391.54,4391.54
SYNTHETIC_TXN_000045,SYNTHETIC_ACCT_0011,2024-04-19,8894.22,13450.3
SYNTHETIC_TXN_000046,SYNTHETIC_ACCT_0074,2023-05-21,207.46,207.46
SYNTHETIC_TXN_000047,SYNTHETIC_ACCT_0036,2023-08-16,,10234.25
SYNTHETIC_TXN_000048,SYNTHETIC_ACCT_0086,2023-01-21,,
SYNTHETIC_TXN_000049,SYNTHETIC_ACCT_0098,2024-09-04,4548.26,8985.8
SYNTHETIC_TXN_000050,SYNTHETIC_ACCT_0053,2023-08-09,,
SYNTHETIC_TXN_000051,SYNTHETIC_ACCT_0037,2023-03-27,6982.5,22139.88
SYNTHETIC_TXN_000052,,2023-09-16,2247.01,177153.30000000005
SYNTHETIC_TXN_000053,SYNTHETIC_ACCT_0066,2024-04-26,4154.91,14310.75
SYNTHETIC_TXN_000054,SYNTHETIC_ACCT_0066,2023-11-03,1365.09,1365.09
SYNTHETIC_TXN_000055,SYNTHETIC_ACCT_0039,2023-10-01,5799.23,5799.23
SYNTHETIC_TXN_000056,SYNTHETIC_ACCT_0049,2024-05-01,3217.78,19270.03
SYNTHETIC_TXN_000057,SYNTHETIC_ACCT_0041,2023-02-21,7052.27,8738.67
SYNTHETIC_TXN_000058,,2023-10-08,3319.95,203441.97000000003
SYNTHETIC_TXN_000059,,2024-04-04,9699.56,332195.77
SYNTHETIC_TXN_000060,SYNTHETIC_ACCT_0087,2023-08-20,3800.1,11521.55
SYNTHETIC_TXN_000061,SYNTHETIC_ACCT_0037,2023-03-24,7467.66,15157.380000000001
SYNTHETIC_TXN_000062,SYNTHETIC_ACCT_0004,2023-12-30,,
SYNTHETIC_TXN_000063,SYNTHETIC_ACCT_0073,2023-12-06,1800.58,23926.699999999997
SYNTHETIC_TXN_000064,,2023-09-12,2539.78,174906.29000000004
SYNTHETIC_TXN_000065,SYNTHETIC_ACCT_0076,2024-02-26,9620.28,9620.28
SYNTHETIC_TXN_000066,,2024-03-04,3589.59,306186.02999999997
SYNTHETIC_TXN_000067,SYNTHETIC_ACCT_0088,2023-08-11,9736.02,15955.33
SYNTHETIC_TXN_000068,SYNTHETIC_ACCT_0082,2023-02-25,,6498.39
SYNTHETIC_TXN_000069,SYNTHETIC_ACCT_0040,2024-09-30,333.65,7427.33
SYNTHETIC_TXN_000070,,2023-07-07,,106729.48
SYNTHETIC_TXN_000071,SYNTHETIC_ACCT_0062,2023-09-09,2951.42,2951.42
SYNTHETIC_TXN_000072,,2023-12-23,6744.06,241140.90000000005
SYNTHETIC_TXN_000073,SYNTHETIC_ACCT_0059,2023-03-19,7490.11,19466.26
SYNTHETIC_TXN_000074,SYNTHETIC_ACCT_0080,2023-03-09,5614.07,14236.05
SYNTHETIC_TXN_000075,SYNTHETIC_ACCT_0053,2024-11-23,,
SYNTHETIC_TXN_000076,,2023-01-18,3886.46,9783.39
SYNTHETIC_TXN_000077,SYNTHETIC_ACCT_0063,2023-12-18,9390.52,23652.57
SYNTHETIC_TXN_000078,,2023-12-30,9809.27,265194.2
SYNTHETIC_TXN_000079,SYNTHETIC_ACCT_0059,2023-04-30,,19466.26
SYNTHETIC_TXN_000080,,2023-06-13,,97247.37
SYNTHETIC_TXN_000081,,2024-08-05,7886.43,417550.75000000006
SYNTHETIC_TXN_000082,,2023-05-09,1318.04,82659.55
SYNTHETIC_TXN_000083,,2023-09-29,5260.85,184957.05000000005
SYNTHETIC_TXN_000084,,2023-07-17,7272.43,119069.85999999999
SYNTHETIC_TXN_000085,,2023-08-17,8472.98,150246.90000000002
SYNTHETIC_TXN_000086,SYNTHETIC_ACCT_0019,2023-05-12,,
SYNTHETIC_TXN_000087,SYNTHETIC_ACCT_0059,2023-03-02,4301.99,11976.15
SYNTHETIC_TXN_000088,,2024-02-15,4534.99,285595.88999999996
SYNTHETIC_TXN_000089,SYNTHETIC_ACCT_0020,2024-10-05,4742.68,6985.13
SYNTHETIC_TXN_000090,SYNTHETIC_ACCT_0017,2023-02-14,5864.65,5864.65
SYNTHETIC_TXN_000091,SYNTHETIC_ACCT_0097,2024-03-12,9158.43,9158.43
SYNTHETIC_TXN_000092,SYNTHETIC_ACCT_0020,2023-06-11,2242.45,2242.45
SYNTHETIC_TXN_000093,SYNTHETIC_ACCT_0055,2023-02-09,9745.46,9745.46
SYNTHETIC_TXN_000094,SYNTHETIC_ACCT_0098,2024-08-07,3398.25,4437.54
SYNTHETIC_TXN_000095,SYNTHETIC_ACCT_0004,2023-10-29,,
SYNTHETIC_TXN_000096,SYNTHETIC_ACCT_0042,2024-11-08,5675.93,21427.079999999998
SYNTHETIC_TXN_000097,,2023-08-22,,150246.90000000002
SYNTHETIC_TXN_000098,SYNTHETIC_ACCT_0015,2023-08-21,1108.91,5897.0599999999995
SYNTHETIC_TXN_000099,SYNTHETIC_ACCT_0008,2024-08-13,,13593.36
SYNTHETIC_TXN_000100,,2024-05-10,1756.95,365199.21
SYNTHETIC_TXN_000101,SYNTHETIC_ACCT_0056,2023-05-22,,3949.99
SYNTHETIC_TXN_000102,SYNTHETIC_ACCT_0015,2023-09-17,9661.99,15559.05
SYNTHETIC_TXN_000103,,2024-02-18,4004.5,293654.55999999994
SYNTHETIC_TXN_000104,,2024-01-07,1140.27,266334.47000000003
SYNTHETIC_TXN_000105,SYNTHETIC_ACCT_0023,2023-03-29,7602.15,8805.84
SYNTHETIC_TXN_000106,SYNTHETIC_ACCT_0058,2024-02-05,8820.47,8820.47
SYNTHETIC_TXN_000107,SYNTHETIC_ACCT_0081,2023-07-31,2746.74,2746.74
SYNTHETIC_TXN_000108,,2023-04-12,2870.77,71264.33
SYNTHETIC_TXN_000109,SYNTHETIC_ACCT_0095,2024-06-22,4497.34,4497.34
SYNTHETIC_TXN_000110,SYNTHETIC_ACCT_0058,2024-10-06,,12708.83
SYNTHETIC_TXN_000111,SYNTHETIC_ACCT_0057,2023-12-01,6098.05,18069.63
SYNTHETIC_TXN_000112,,2023-02-06,3346.5,33286.03
SYNTHETIC_TXN_000113,SYNTHETIC_ACCT_0078,2024-01-08,3333.62,8386.73
SYNTHETIC_TXN_000114,SYNTHETIC_ACCT_0011,2023-02-14,3766.8,3766.8
SYNTHETIC_TXN_000115,,2024-06-18,9511.68,381484.36
SYNTHETIC_TXN_000116,SYNTHETIC_ACCT_0013,2024-11-23,5397.71,15531.099999999999
SYNTHETIC_TXN_000117,,2024-07-15,,408317.07000000007
SYNTHETIC_TXN_000118,SYNTHETIC_ACCT_0031,2024-05-06,6105.95,17548.24
SYNTHETIC_TXN_000119,SYNTHETIC_ACCT_0025,2024-03-18,9471.29,15076.830000000002
SYNTHETIC_TXN_000120,SYNTHETIC_ACCT_0078,2023-08-27,,5053.110000000001
SYNTHETIC_TXN_000121,SYNTHETIC_ACCT_0016,2024-08-03,7631.16,15174.46
SYNTHETIC_TXN_000122,,2024-11-07,3495.85,476685.46
SYNTHETIC_TXN_000123,SYNTHETIC_ACCT_0048,2023-03-07,3186.85,3186.85
SYNTHETIC_TXN_000124,SYNTHETIC_ACCT_0061,2023-04-11,1387.93,1387.93
SYNTHETIC_TXN_000125,,2023-07-10,,106729.48
SYNTHETIC_TXN_000126,,2023-04-04,,65739.5
SYNTHETIC_TXN_000127,SYNTHETIC_ACCT_0077,2024-08-06,6319.55,8576.43
SYNTHETIC_TXN_000128,SYNTHETIC_ACCT_0074,2023-12-28,6643.71,6851.17
SYNTHETIC_TXN_000129,SYNTHETIC_ACCT_0082,2024-10-23,3733.03,40465.59
SYNTHETIC_TXN_000130,SYNTHETIC_ACCT_0099,2024-01-06,7566.78,14522.009999999998
SYNTHETIC_TXN_000131,SYNTHETIC_ACCT_0090,2023-09-20,1822.79,2896.71
SYNTHETIC_TXN_000132,SYNTHETIC_ACCT_0006,2023-09-04,3100.76,6341.47
SYNTHETIC_TXN_000133,,2024-03-27,7808.41,322496.21
SYNTHETIC_TXN_000134,SYNTHETIC_ACCT_0057,2023-01-23,3866.45,3866.45
SYNTHETIC_TXN_000135,SYNTHETIC_ACCT_0011,2023-06-22,789.28,4556.08
SYNTHETIC_TXN_000136,SYNTHETIC_ACCT_0038,2023-10-04,6026.21,14357.240000000002
SYNTHETIC_TXN_000137,SYNTHETIC_ACCT_0046,2024-10-16,4349.41,9850.220000000001
SYNTHETIC_TXN_000138,SYNTHETIC_ACCT_0021,2024-11-26,1427.8,17871.429999999997
SYNTHETIC_TXN_000139,SYNTHETIC_ACCT_0047,2023-09-28,5672.45,12635.83
SYNTHETIC_TXN_000140,,2023-03-07,,55307.7
SYNTHETIC_TXN_000141,,2024-09-02,,434408.92000000004
SYNTHETIC_TXN_000142,,2024-08-28,6939.8,434408.92000000004
SYNTHETIC_TXN_000143,SYNTHETIC_ACCT_0057,2023-02-17,8105.13,11971.58
SYNTHETIC_TXN_000144,SYNTHETIC_ACCT_0039,2024-07-06,7118.09,23285.47
SYNTHETIC_TXN_000145,,2023-12-28,,243949.00000000006
SYNTHETIC_TXN_000146,SYNTHETIC_ACCT_0079,2023-08-29,657.49,24272.100000000002
SYNTHETIC_TXN_000147,,2023-07-21,6423.38,125493.23999999999
SYNTHETIC_TXN_000148,SYNTHETIC_ACCT_0082,2023-08-05,7677.81,29759.920000000002
SYNTHETIC_TXN_000149,SYNTHETIC_ACCT_0021,2024-03-16,7093.32,16443.629999999997
SYNTHETIC_TXN_000150,SYNTHETIC_ACCT_0036,2024-09-27,,10234.25
SYNTHETIC_TXN_000151,SYNTHETIC_ACCT_0078,2024-12-02,9239.29,17626.02
SYNTHETIC_TXN_000152,SYNTHETIC_ACCT_0034,2024-11-30,7669.58,15308.14
SYNTHETIC_TXN_000153,SYNTHETIC_ACCT_0032,2023-01-26,6849.9,6849.9
SYNTHETIC_TXN_000154,SYNTHETIC_ACCT_0027,2024-01-13,1436.69,9274.57
SYNTHETIC_TXN_000155,SYNTHETIC_ACCT_0014,2024-08-09,4664.73,20663.85
SYNTHETIC_TXN_000156,SYNTHETIC_ACCT_0079,2023-05-20,9626.85,17021.77
SYNTHETIC_TXN_000157,SYNTHETIC_ACCT_0066,2023-11-25,8790.75,10155.84
SYNTHETIC_TXN_000158,SYNTHETIC_ACCT_0007,2023-09-07,5975.19,15298.880000000001
SYNTHETIC_TXN_000159,SYNTHETIC_ACCT_0034,2024-11-09,7638.56,7638.56
SYNTHETIC_TXN_000160,,2023-02-04,7644.04,29939.53
SYNTHETIC_TXN_000161,SYNTHETIC_ACCT_0044,2023-04-25,3656.07,3656.07
SYNTHETIC_TXN_000162,,2023-07-23,4737.44,139365.0
SYNTHETIC_TXN_000163,SYNTHETIC_ACCT_0051,2023-07-31,7393.19,7499.12
SYNTHETIC_TXN_000164,,2023-01-27,1096.05,20109.82
SYNTHETIC_TXN_000165,SYNTHETIC_ACCT_0100,2023-08-28,2275.44,2275.44
SYNTHETIC_TXN_000166,SYNTHETIC_ACCT_0005,2024-02-14,7005.21,16009.75
SYNTHETIC_TXN_000167,,2024-10-29,6114.78,467682.24000000005
SYNTHETIC_TXN_000168,SYNTHETIC_ACCT_0062,2024-01-16,3137.53,10402.18
SYNTHETIC_TXN_000169,,2024-03-11,5580.87,311766.89999999997
SYNTHETIC_TXN_000170,SYNTHETIC_ACCT_0093,2023-11-23,1218.75,1218.75
SYNTHETIC_TXN_000171,SYNTHETIC_ACCT_0092,2024-04-13,,4943.77
SYNTHETIC_TXN_000172,SYNTHETIC_ACCT_0072,2024-04-30,1372.74,9337.37
SYNTHETIC_TXN_000173,SYNTHETIC_ACCT_0082,2024-09-20,1001.99,36732.56
SYNTHETIC_TXN_000174,SYNTHETIC_ACCT_0021,2023-03-06,9350.31,9350.31
SYNTHETIC_TXN_000175,SYNTHETIC_ACCT_0099,2024-11-23,,21846.64
SYNTHETIC_TXN_000176,,2024-06-24,9971.71,400931.65
SYNTHETIC_TXN_000177,SYNTHETIC_ACCT_0014,2023-06-24,3350.42,3350.42
SYNTHETIC_TXN_000178,SYNTHETIC_ACCT_0025,2024-04-12,3306.84,18383.670000000002
SYNTHETIC_TXN_000179,SYNTHETIC_ACCT_0073,2023-11-12,1931.62,22126.12
SYNTHETIC_TXN_000180,SYNTHETIC_ACCT_0024,2024-04-08,4774.54,25456.27
SYNTHETIC_TXN_000181,SYNTHETIC_ACCT_0043,2023-03-03,7228.82,7228.82
SYNTHETIC_TXN_000182,,2024-02-17,4054.17,289650.05999999994
SYNTHETIC_TXN_000183,,2023-12-15,4781.82,222483.18000000005
SYNTHETIC_TXN_000184,SYNTHETIC_ACCT_0028,2023-07-12,6803.42,11045.52
SYNTHETIC_TXN_000185,SYNTHETIC_ACCT_0008,2024-07-31,9028.87,13593.36
SYNTHETIC_TXN_000186,SYNTHETIC_ACCT_0088,2023-07-28,5831.48,6219.3099999999995
SYNTHETIC_TXN_000187,SYNTHETIC_ACCT_0059,2024-12-09,5587.97,25742.67
SYNTHETIC_TXN_000188,SYNTHETIC_ACCT_0075,2024-10-27,,
SYNTHETIC_TXN_000189,SYNTHETIC_ACCT_0037,2023-03-11,7689.72,7689.72
SYNTHETIC_TXN_000190,SYNTHETIC_ACCT_0049,2024-08-17,6827.3,26097.329999999998
SYNTHETIC_TXN_000191,SYNTHETIC_ACCT_0068,2024-12-08,,5954.52
SYNTHETIC_TXN_000192,SYNTHETIC_ACCT_0069,2024-03-24,2296.65,11831.7
SYNTHETIC_TXN_000193,SYNTHETIC_ACCT_0079,2024-06-03,8837.56,39757.5
SYNTHETIC_TXN_000194,SYNTHETIC_ACCT_0087,2023-10-09,486.77,17012.98
SYNTHETIC_TXN_000195,SYNTHETIC_ACCT_0018,2023-05-22,2892.64,9338.84
SYNTHETIC_TXN_000196,SYNTHETIC_ACCT_0085,2023-05-06,4135.6,4135.6
SYNTHETIC_TXN_000197,,2024-02-09,6433.16,281060.89999999997
SYNTHETIC_TXN_000198,SYNTHETIC_ACCT_0097,2024-08-06,2409.69,18122.97
SYNTHETIC_TXN_000199,SYNTHETIC_ACCT_0072,2023-03-10,3884.19,3884.19
SYNTHETIC_TXN_000200,,2023-04-22,1904.82,73169.15000000001
SYNTHETIC_TXN_000201,SYNTHETIC_ACCT_0093,2024-02-25,2170.17,11786.23
SYNTHETIC_TXN_000202,SYNTHETIC_ACCT_0016,2023-04-23,7543.3,7543.3
SYNTHETIC_TXN_000203,SYNTHETIC_ACCT_0100,2024-04-08,4662.51,6937.950000000001
SYNTHETIC_TXN_000204,SYNTHETIC_ACCT_0093,2024-02-15,8397.31,9616.06
SYNTHETIC_TXN_000205,,2023-05-18,,86703.56
SYNTHETIC_TXN_000206,SYNTHETIC_ACCT_0049,2024-01-21,2457.31,6110.28
SYNTHETIC_TXN_000207,SYNTHETIC_ACCT_0063,2023-06-21,7327.72,14262.05
SYNTHETIC_TXN_000208,SYNTHETIC_ACCT_0083,2023-02-16,5239.44,5239.44
SYNTHETIC_TXN_000209,SYNTHETIC_ACCT_0030,2023-08-02,,9411.42
SYNTHETIC_TXN_000210,SYNTHETIC_ACCT_0079,2023-07-06,6592.84,23614.61
SYNTHETIC_TXN_000211,SYNTHETIC_ACCT_0069,2023-10-18,171.44,9535.050000000001
SYNTHETIC_TXN_000212,SYNTHETIC_ACCT_0031,2024-04-02,,11442.29
SYNTHETIC_TXN_000213,SYNTHETIC_ACCT_0073,2023-03-03,6972.36,13796.64
SYNTHETIC_TXN_000214,SYNTHETIC_ACCT_0061,2024-07-09,,8905.69
SYNTHETIC_TXN_000215,SYNTHETIC_ACCT_0043,2023-07-10,8579.6,15808.42
SYNTHETIC_TXN_000216,SYNTHETIC_ACCT_0073,2024-03-19,465.63,24392.329999999998
SYNTHETIC_TXN_000217,SYNTHETIC_ACCT_0027,2024-10-14,7522.54,16797.11
SYNTHETIC_TXN_000218,SYNTHETIC_ACCT_0050,2024-08-10,5405.62,23332.13
SYNTHETIC_TXN_000219,SYNTHETIC_ACCT_0010,2024-02-01,7690.05,19747.94
SYNTHETIC_TXN_000220,SYNTHETIC_ACCT_0030,2023-05-12,9411.42,9411.42
SYNTHETIC_TXN_000221,SYNTHETIC_ACCT_0032,2023-03-23,820.39,7670.29
SYNTHETIC_TXN_000222,,2024-03-30,,322496.21
SYNTHETIC_TXN_000223,SYNTHETIC_ACCT_0072,2024-01-04,4080.44,7964.63
SYNTHETIC_TXN_000224,,2024-04-27,7791.69,357804.19
SYNTHETIC_TXN_000225,SYNTHETIC_ACCT_0035,2024-02-29,632.68,1813.25
SYNTHETIC_TXN_000226,SYNTHETIC_ACCT_0093,2024-08-15,5938.06,27568.76
SYNTHETIC_TXN_000227,SYNTHETIC_ACCT_0080,2023-03-06,8621.98,8621.98
SYNTHETIC_TXN_000228,SYNTHETIC_ACCT_0026,2024-03-08,1776.38,6648.28
SYNTHETIC_TXN_000229,SYNTHETIC_ACCT_0051,2024-06-30,9320.66,32919.55
SYNTHETIC_TXN_000230,,2023-11-09,8312.81,217701.36000000004
SYNTHETIC_TXN_000231,,2023-09-29,7152.36,192109.41000000003
SYNTHETIC_TXN_000232,SYNTHETIC_ACCT_0089,2023-07-01,367.66,6504.75
