account_id,balance_date,closing_balance,seven_day_moving_avg_balance
SYNTHETIC_ACCT_0001,2024-10-03,6665.53,6665.53
SYNTHETIC_ACCT_0001,2024-10-04,7553.68,7109.605
SYNTHETIC_ACCT_0001,2024-10-05,8190.34,7469.849999999999
SYNTHETIC_ACCT_0001,2024-10-06,8991.03,7850.145
SYNTHETIC_ACCT_0001,2024-10-07,9822.41,8244.598000000002
SYNTHETIC_ACCT_0001,2024-10-08,10425.41,8608.066666666668
SYNTHETIC_ACCT_0001,2024-10-09,11334.12,8997.50285714286
SYNTHETIC_ACCT_0001,2024-10-10,12147.79,9780.68285714286
SYNTHETIC_ACCT_0001,2024-10-11,12333.14,10463.462857142858
SYNTHETIC_ACCT_0001,2024-10-12,12611.19,11095.012857142856
SYNTHETIC_ACCT_0001,2024-10-13,12692.29,11623.764285714287
SYNTHETIC_ACCT_0001,2024-10-14,12629.06,12024.714285714286
SYNTHETIC_ACCT_0001,2024-10-15,12821.08,12366.952857142858
SYNTHETIC_ACCT_0001,2024-10-16,13356.01,12655.794285714286
SYNTHETIC_ACCT_0001,2024-10-17,13533.56,12853.761428571428
SYNTHETIC_ACCT_0001,2024-10-18,14440.32,13154.787142857143
SYNTHETIC_ACCT_0001,2024-10-19,14425.51,13413.975714285714
SYNTHETIC_ACCT_0001,2024-10-20,15249.33,13779.267142857143
SYNTHETIC_ACCT_0001,2024-10-21,16110.07,14276.554285714286
SYNTHETIC_ACCT_0001,2024-10-22,15746.86,14694.522857142856
SYNTHETIC_ACCT_0001,2024-10-23,16032.59,15076.891428571429
SYNTHETIC_ACCT_0001,2024-10-24,16450.7,15493.625714285712
SYNTHETIC_ACCT_0001,2024-10-25,17103.09,15874.021428571428
SYNTHETIC_ACCT_0001,2024-10-26,16846.28,16219.845714285713
SYNTHETIC_ACCT_0001,2024-10-27,16975.65,16466.462857142855
SYNTHETIC_ACCT_0001,2024-10-28,16908.82,16580.570000000003
SYNTHETIC_ACCT_0001,2024-10-29,16414.12,16675.89285714286
SYNTHETIC_ACCT_0001,2024-10-30,17197.24,16842.27142857143
SYNTHETIC_ACCT_0001,2024-10-31,17054.06,16928.465714285714
SYNTHETIC_ACCT_0001,2024-11-01,17216.87,16944.719999999998
SYNTHETIC_ACCT_0001,2024-11-02,17134.04,16985.82857142857
SYNTHETIC_ACCT_0001,2024-11-03,16707.42,16947.51
SYNTHETIC_ACCT_0001,2024-11-04,16425.48,16878.461428571427
SYNTHETIC_ACCT_0001,2024-11-05,16373.14,16872.60714285714
SYNTHETIC_ACCT_0001,2024-11-06,17363.74,16896.39285714286
SYNTHETIC_ACCT_0001,2024-11-07,17722.16,16991.835714285717
SYNTHETIC_ACCT_0001,2024-11-08,17762.44,17069.774285714288
SYNTHETIC_ACCT_0001,2024-11-09,17815.29,17167.095714285715
SYNTHETIC_ACCT_0001,2024-11-10,18580.25,17434.64285714286
SYNTHETIC_ACCT_0001,2024-11-11,19122.18,17819.885714285716
SYNTHETIC_ACCT_0001,2024-11-12,18936.95,18186.144285714287
SYNTHETIC_ACCT_0001,2024-11-13,19531.54,18495.829999999998
SYNTHETIC_ACCT_0001,2024-11-14,20117.65,18838.042857142857
SYNTHETIC_ACCT_0001,2024-11-15,20258.23,19194.584285714285
SYNTHETIC_ACCT_0001,2024-11-16,21250.77,19685.367142857143
SYNTHETIC_ACCT_0001,2024-11-17,21495.37,20101.812857142857
SYNTHETIC_ACCT_0001,2024-11-18,22320.87,20558.768571428573
SYNTHETIC_ACCT_0001,2024-11-19,21823.24,20971.09571428571
SYNTHETIC_ACCT_0001,2024-11-20,22429.44,21385.08142857143
SYNTHETIC_ACCT_0001,2024-11-21,22550.5,21732.631428571425
SYNTHETIC_ACCT_0001,2024-11-22,22369.01,22034.17142857143
SYNTHETIC_ACCT_0001,2024-11-23,23054.3,22291.81857142857
