account_id,balance_date,closing_balance,seven_day_moving_avg_balance
SYNTHETIC_ACCT_0001,2024-10-03,28996.56,28996.56
SYNTHETIC_ACCT_0001,2024-10-04,29585.2,29290.88
SYNTHETIC_ACCT_0001,2024-10-05,29215.46,29265.74
SYNTHETIC_ACCT_0001,2024-10-06,29925.41,29430.6575
SYNTHETIC_ACCT_0001,2024-10-07,30059.82,29556.49
SYNTHETIC_ACCT_0001,2024-10-08,29894.65,29612.850000000002
SYNTHETIC_ACCT_0001,2024-10-09,29704.9,29626.0
SYNTHETIC_ACCT_0001,2024-10-10,30258.87,29806.329999999998
SYNTHETIC_ACCT_0001,2024-10-11,31022.29,30011.62857142857
SYNTHETIC_ACCT_0001,2024-10-12,31489.71,30336.52142857143
SYNTHETIC_ACCT_0001,2024-10-13,31243.95,30524.884285714284
SYNTHETIC_ACCT_0001,2024-10-14,31441.43,30722.257142857143
SYNTHETIC_ACCT_0001,2024-10-15,31564.85,30960.85714285714
SYNTHETIC_ACCT_0001,2024-10-16,31799.03,31260.018571428573
SYNTHETIC_ACCT_0001,2024-10-17,31726.78,31469.72
SYNTHETIC_ACCT_0001,2024-10-18,31439.82,31529.367142857143
SYNTHETIC_ACCT_0001,2024-10-19,31471.18,31526.72
SYNTHETIC_ACCT_0001,2024-10-20,30978.43,31488.78857142857
SYNTHETIC_ACCT_0001,2024-10-21,31764.46,31534.93571428571
SYNTHETIC_ACCT_0001,2024-10-22,32017.01,31599.53
SYNTHETIC_ACCT_0001,2024-10-23,32606.31,31714.855714285713
SYNTHETIC_ACCT_0001,2024-10-24,33286.07,31937.61142857143
SYNTHETIC_ACCT_0001,2024-10-25,34238.94,32337.485714285718
SYNTHETIC_ACCT_0001,2024-10-26,34714.68,32800.84285714286
SYNTHETIC_ACCT_0001,2024-10-27,35223.45,33407.27428571428
SYNTHETIC_ACCT_0001,2024-10-28,34965.56,33864.57428571429
SYNTHETIC_ACCT_0001,2024-10-29,35585.96,34374.42428571429
SYNTHETIC_ACCT_0001,2024-10-30,36274.72,34898.48285714286
SYNTHETIC_ACCT_0001,2024-10-31,36990.97,35427.75428571428
SYNTHETIC_ACCT_0001,2024-11-01,36741.35,35785.241428571426
SYNTHETIC_ACCT_0001,2024-11-02,36978.19,36108.6
SYNTHETIC_ACCT_0001,2024-11-03,37390.23,36418.14
SYNTHETIC_ACCT_0001,2024-11-04,38168.07,36875.641428571435
SYNTHETIC_ACCT_0001,2024-11-05,38609.02,37307.50714285715
SYNTHETIC_ACCT_0001,2024-11-06,38586.53,37637.76571428571
SYNTHETIC_ACCT_0001,2024-11-07,38895.69,37909.868571428575
SYNTHETIC_ACCT_0001,2024-11-08,38740.86,38195.51285714286
SYNTHETIC_ACCT_0001,2024-11-09,39433.82,38546.317142857144
SYNTHETIC_ACCT_0001,2024-11-10,39254.91,38812.700000000004
SYNTHETIC_ACCT_0001,2024-11-11,39620.53,39020.194285714286
SYNTHETIC_ACCT_0001,2024-11-12,39125.65,39093.99857142857
SYNTHETIC_ACCT_0001,2024-11-13,38907.58,39139.862857142856
SYNTHETIC_ACCT_0001,2024-11-14,39267.72,39193.009999999995
SYNTHETIC_ACCT_0001,2024-11-15,38887.14,39213.90714285714
SYNTHETIC_ACCT_0001,2024-11-16,39509.53,39224.72285714285
SYNTHETIC_ACCT_0001,2024-11-17,39948.9,39323.864285714284
SYNTHETIC_ACCT_0001,2024-11-18,40945.54,39513.15142857143
SYNTHETIC_ACCT_0001,2024-11-19,41466.34,39847.53571428572
SYNTHETIC_ACCT_0001,2024-11-20,42010.26,40290.775714285715
SYNTHETIC_ACCT_0001,2024-11-21,41597.16,40623.55285714286
SYNTHETIC_ACCT_0001,2024-11-22,42392.34,41124.29571428571
SYNTHETIC_ACCT_0001,2024-11-23,42615.17,41567.95857142857
SYNTHETIC_ACCT_0001,2024-11-24,43192.97,42031.397142857146
SYNTHETIC_ACCT_0001,2024-11-25,43115.58,42341.40285714286
SYNTHETIC_ACCT_0001,2024-11-26,42965.85,42555.61857142857
