account_id,balance_date,closing_balance,seven_day_moving_avg_balance
SYNTHETIC_ACCT_0001,2024-10-03,10713.5,10713.5
SYNTHETIC_ACCT_0001,2024-10-04,11592.17,11152.835
SYNTHETIC_ACCT_0001,2024-10-06,11221.72,11175.796666666667
SYNTHETIC_ACCT_0001,2024-10-08,12539.73,11516.779999999999
SYNTHETIC_ACCT_0001,2024-10-09,12772.14,11767.851999999999
SYNTHETIC_ACCT_0001,2024-10-10,13164.99,12000.708333333334
SYNTHETIC_ACCT_0001,2024-10-11,13237.31,12177.365714285714
SYNTHETIC_ACCT_0001,2024-10-12,13259.21,12541.03857142857
SYNTHETIC_ACCT_0001,2024-10-13,14063.89,12894.141428571427
SYNTHETIC_ACCT_0001,2024-10-14,14956.87,13427.734285714283
SYNTHETIC_ACCT_0001,2024-10-16,,13575.734999999999
SYNTHETIC_ACCT_0001,2024-10-17,15860.86,14090.521666666666
SYNTHETIC_ACCT_0001,2024-10-18,15693.99,14512.021666666667
SYNTHETIC_ACCT_0001,2024-10-19,15698.24,14922.176666666668
SYNTHETIC_ACCT_0001,2024-10-21,,15254.77
SYNTHETIC_ACCT_0001,2024-10-22,16918.45,15825.682
SYNTHETIC_ACCT_0001,2024-10-24,,16042.884999999998
SYNTHETIC_ACCT_0001,2024-10-25,17450.24,16324.356
SYNTHETIC_ACCT_0001,2024-10-26,,16440.23
SYNTHETIC_ACCT_0001,2024-10-27,18357.68,17106.152500000004
SYNTHETIC_ACCT_0001,2024-10-28,18518.38,17811.1875
SYNTHETIC_ACCT_0001,2024-10-29,,17811.1875
SYNTHETIC_ACCT_0001,2024-10-30,,18108.766666666666
SYNTHETIC_ACCT_0001,2024-10-31,,18108.766666666666
SYNTHETIC_ACCT_0001,2024-11-01,17844.33,18240.13
SYNTHETIC_ACCT_0001,2024-11-02,17650.03,18092.605
SYNTHETIC_ACCT_0001,2024-11-03,18084.59,18024.3325
SYNTHETIC_ACCT_0001,2024-11-04,18149.5,17932.1125
SYNTHETIC_ACCT_0001,2024-11-05,17904.98,17926.685999999998
SYNTHETIC_ACCT_0001,2024-11-06,17811.9,17907.554999999997
SYNTHETIC_ACCT_0001,2024-11-07,17894.87,17905.742857142854
SYNTHETIC_ACCT_0001,2024-11-09,18771.07,18038.134285714284
SYNTHETIC_ACCT_0001,2024-11-10,19626.88,18320.54142857143
SYNTHETIC_ACCT_0001,2024-11-11,19406.51,18509.387142857144
