account_id,first_closing_balance,last_closing_balance
SYNTHETIC_ACCT_0001,6665.53,6665.53
SYNTHETIC_ACCT_0001,6665.53,7553.68
SYNTHETIC_ACCT_0001,6665.53,8190.34
SYNTHETIC_ACCT_0001,6665.53,8991.03
SYNTHETIC_ACCT_0001,6665.53,9822.41
SYNTHETIC_ACCT_0001,6665.53,10425.41
SYNTHETIC_ACCT_0001,6665.53,11334.12
SYNTHETIC_ACCT_0001,6665.53,12147.79
SYNTHETIC_ACCT_0001,6665.53,12333.14
SYNTHETIC_ACCT_0001,6665.53,12611.19
SYNTHETIC_ACCT_0001,6665.53,12629.06
SYNTHETIC_ACCT_0001,6665.53,12692.29
SYNTHETIC_ACCT_0001,6665.53,12821.08
SYNTHETIC_ACCT_0001,6665.53,13356.01
SYNTHETIC_ACCT_0001,6665.53,13533.56
SYNTHETIC_ACCT_0001,6665.53,14425.51
SYNTHETIC_ACCT_0001,6665.53,14440.32
SYNTHETIC_ACCT_0001,6665.53,15249.33
SYNTHETIC_ACCT_0001,6665.53,15746.86
SYNTHETIC_ACCT_0001,6665.53,16032.59
SYNTHETIC_ACCT_0001,6665.53,16110.07
SYNTHETIC_ACCT_0001,6665.53,16373.14
SYNTHETIC_ACCT_0001,6665.53,16414.12
SYNTHETIC_ACCT_0001,6665.53,16425.48
SYNTHETIC_ACCT_0001,6665.53,16450.7
SYNTHETIC_ACCT_0001,6665.53,16707.42
SYNTHETIC_ACCT_0001,6665.53,16846.28
SYNTHETIC_ACCT_0001,6665.53,16908.82
SYNTHETIC_ACCT_0001,6665.53,16975.65
SYNTHETIC_ACCT_0001,6665.53,17054.06
SYNTHETIC_ACCT_0001,6665.53,17103.09
SYNTHETIC_ACCT_0001,6665.53,17134.04
SYNTHETIC_ACCT_0001,6665.53,17197.24
SYNTHETIC_ACCT_0001,6665.53,17216.87
SYNTHETIC_ACCT_0001,6665.53,17363.74
SYNTHETIC_ACCT_0001,6665.53,17722.16
SYNTHETIC_ACCT_0001,6665.53,17762.44
SYNTHETIC_ACCT_0001,6665.53,17815.29
SYNTHETIC_ACCT_0001,6665.53,18580.25
SYNTHETIC_ACCT_0001,6665.53,18936.95
SYNTHETIC_ACCT_0001,6665.53,19122.18
SYNTHETIC_ACCT_0001,6665.53,19531.54
SYNTHETIC_ACCT_0001,6665.53,20117.65
SYNTHETIC_ACCT_0001,6665.53,20258.23
SYNTHETIC_ACCT_0001,6665.53,21250.77
SYNTHETIC_ACCT_0001,6665.53,21495.37
SYNTHETIC_ACCT_0001,6665.53,21823.24
SYNTHETIC_ACCT_0001,6665.53,22320.87
SYNTHETIC_ACCT_0001,6665.53,22369.01
SYNTHETIC_ACCT_0001,6665.53,22429.44
SYNTHETIC_ACCT_0001,6665.53,22550.5
SYNTHETIC_ACCT_0001,6665.53,23054.3
SYNTHETIC_ACCT_0001,6665.53,23704.85
SYNTHETIC_ACCT_0001,6665.53,24082.46
SYNTHETIC_ACCT_0001,6665.53,24291.44
SYNTHETIC_ACCT_0001,6665.53,24689.78
SYNTHETIC_ACCT_0001,6665.53,24883.49
SYNTHETIC_ACCT_0001,6665.53,24956.7
SYNTHETIC_ACCT_0001,6665.53,25636.15
SYNTHETIC_ACCT_0001,6665.53,25968.92
SYNTHETIC_ACCT_0001,6665.53,26588.91
SYNTHETIC_ACCT_0001,6665.53,26668.22
SYNTHETIC_ACCT_0001,6665.53,26890.32
SYNTHETIC_ACCT_0001,6665.53,27283.11
SYNTHETIC_ACCT_0001,6665.53,27847.87
SYNTHETIC_ACCT_0001,6665.53,27858.73
SYNTHETIC_ACCT_0001,6665.53,27905.25
SYNTHETIC_ACCT_0001,6665.53,28728.76
SYNTHETIC_ACCT_0001,6665.53,29586.19
SYNTHETIC_ACCT_0001,6665.53,30184.85
SYNTHETIC_ACCT_0001,6665.53,30839.07
SYNTHETIC_ACCT_0001,6665.53,31308.71
SYNTHETIC_ACCT_0001,6665.53,31354.15
SYNTHETIC_ACCT_0001,6665.53,31365.82
SYNTHETIC_ACCT_0001,6665.53,31435.53
SYNTHETIC_ACCT_0001,6665.53,31514.53
SYNTHETIC_ACCT_0001,6665.53,31541.46
SYNTHETIC_ACCT_0001,6665.53,31662.82
SYNTHETIC_ACCT_0001,6665.53,31706.93
SYNTHETIC_ACCT_0001,6665.53,31784.55
SYNTHETIC_ACCT_0001,6665.53,31849.01
SYNTHETIC_ACCT_0001,6665.53,31867.69
SYNTHETIC_ACCT_0001,6665.53,31922.84
SYNTHETIC_ACCT_0001,6665.53,31965.13
SYNTHETIC_ACCT_0001,6665.53,32072.21
SYNTHETIC_ACCT_0001,6665.53,32333.97
SYNTHETIC_ACCT_0001,6665.53,32334.04
SYNTHETIC_ACCT_0001,6665.53,32347.31
SYNTHETIC_ACCT_0001,6665.53,32418.65
SYNTHETIC_ACCT_0001,6665.53,32508.19
SYNTHETIC_ACCT_0002,12947.81,12806.82
SYNTHETIC_ACCT_0002,12947.81,12947.81
SYNTHETIC_ACCT_0002,12947.81,12980.79
SYNTHETIC_ACCT_0002,12947.81,13141.04
SYNTHETIC_ACCT_0002,12947.81,13152.42
SYNTHETIC_ACCT_0002,12947.81,13229.03
SYNTHETIC_ACCT_0002,12947.81,13242.26
SYNTHETIC_ACCT_0002,12947.81,13630.98
SYNTHETIC_ACCT_0002,12947.81,13701.66
SYNTHETIC_ACCT_0002,12947.81,14052.48
SYNTHETIC_ACCT_0002,12947.81,14546.4
SYNTHETIC_ACCT_0002,12947.81,15229.67
SYNTHETIC_ACCT_0002,12947.81,15238.56
SYNTHETIC_ACCT_0002,12947.81,15301.52
SYNTHETIC_ACCT_0002,12947.81,15634.15
SYNTHETIC_ACCT_0002,12947.81,15955.22
SYNTHETIC_ACCT_0002,12947.81,16669.98
