account_id,customer_segment,account_open_date,account_status,region
SYNTHETIC_ACCT_0001,RETAIL,2024-10-11,ACTIVE,SOUTH
SYNTHETIC_ACCT_0002,SMALL_BIZ,2024-02-20,ACTIVE,NORTH
SYNTHETIC_ACCT_0003,STUDENT,2024-09-27,ACTIVE,NORTH
SYNTHETIC_ACCT_0004,SMALL_BIZ,2023-08-13,CLOSED,NORTH
SYNTHETIC_ACCT_0005,SMALL_BIZ,2020-11-26,CLOSED,WEST
SYNTHETIC_ACCT_0006,SMALL_BIZ,2022-05-27,SUSPENDED,EAST
SYNTHETIC_ACCT_0007,RETAIL,2020-08-30,ACTIVE,WEST
SYNTHETIC_ACCT_0008,WEALTH,2023-05-12,ACTIVE,SOUTH
SYNTHETIC_ACCT_0009,WEALTH,2024-05-06,ACTIVE,WEST
SYNTHETIC_ACCT_0010,RETAIL,2022-11-27,ACTIVE,EAST
SYNTHETIC_ACCT_0011,RETAIL,2020-10-29,ACTIVE,NORTH
SYNTHETIC_ACCT_0012,STUDENT,2024-06-23,CLOSED,EAST
SYNTHETIC_ACCT_0013,WEALTH,2021-09-06,ACTIVE,NORTH
SYNTHETIC_ACCT_0014,RETAIL,2021-03-18,ACTIVE,EAST
SYNTHETIC_ACCT_0015,RETAIL,2020-02-15,ACTIVE,NORTH
SYNTHETIC_ACCT_0016,STUDENT,2023-05-12,ACTIVE,EAST
SYNTHETIC_ACCT_0017,SMALL_BIZ,2022-11-04,ACTIVE,SOUTH
SYNTHETIC_ACCT_0018,WEALTH,2020-12-25,ACTIVE,SOUTH
SYNTHETIC_ACCT_0019,SMALL_BIZ,2024-01-02,ACTIVE,WEST
SYNTHETIC_ACCT_0020,WEALTH,2021-05-01,CLOSED,SOUTH
SYNTHETIC_ACCT_0021,WEALTH,2020-03-11,ACTIVE,SOUTH
SYNTHETIC_ACCT_0022,RETAIL,2020-05-28,ACTIVE,WEST
SYNTHETIC_ACCT_0023,WEALTH,2024-07-19,ACTIVE,EAST
SYNTHETIC_ACCT_0024,SMALL_BIZ,2021-03-30,ACTIVE,WEST
SYNTHETIC_ACCT_0025,STUDENT,2024-02-13,ACTIVE,SOUTH
SYNTHETIC_ACCT_0026,SMALL_BIZ,2020-09-28,CLOSED,EAST
SYNTHETIC_ACCT_0027,STUDENT,2021-08-24,ACTIVE,EAST
SYNTHETIC_ACCT_0028,SMALL_BIZ,2024-02-22,CLOSED,WEST
SYNTHETIC_ACCT_0029,RETAIL,2020-09-06,ACTIVE,NORTH
SYNTHETIC_ACCT_0030,SMALL_BIZ,2021-05-26,ACTIVE,WEST
SYNTHETIC_ACCT_0031,RETAIL,2022-10-05,ACTIVE,WEST
SYNTHETIC_ACCT_0032,WEALTH,2021-10-25,ACTIVE,NORTH
SYNTHETIC_ACCT_0033,WEALTH,2020-08-10,ACTIVE,NORTH
SYNTHETIC_ACCT_0034,WEALTH,2022-06-25,ACTIVE,WEST
SYNTHETIC_ACCT_0035,RETAIL,2020-11-14,ACTIVE,SOUTH
SYNTHETIC_ACCT_0036,RETAIL,2020-01-15,ACTIVE,SOUTH
