txn_id,account_id,txn_date,txn_amount,issue
SYNTHETIC_TXN_000008,,2023-02-26,9011.8,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000010,,2024-10-18,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000012,,2024-04-20,6959.11,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000015,,2024-10-10,2717.16,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000023,,2023-09-04,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000025,,2024-06-11,6773.47,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000029,,2023-05-28,2789.29,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000031,,2023-01-24,4064.28,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000032,,2023-05-16,4044.01,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000036,,2024-09-17,9440.89,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000041,,2023-09-27,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000043,,2024-10-19,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000052,,2023-09-16,2247.01,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000058,,2023-10-08,3319.95,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000059,,2024-04-04,9699.56,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000064,,2023-09-12,2539.78,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000066,,2024-03-04,3589.59,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000070,,2023-07-07,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000072,,2023-12-23,6744.06,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000076,,2023-01-18,3886.46,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000078,,2023-12-30,9809.27,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000080,,2023-06-13,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000081,,2024-08-05,7886.43,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000082,,2023-05-09,1318.04,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000083,,2023-09-29,5260.85,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000084,,2023-07-17,7272.43,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000085,,2023-08-17,8472.98,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000088,,2024-02-15,4534.99,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000097,,2023-08-22,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000100,,2024-05-10,1756.95,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000103,,2024-02-18,4004.5,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000104,,2024-01-07,1140.27,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000108,,2023-04-12,2870.77,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000112,,2023-02-06,3346.5,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000115,,2024-06-18,9511.68,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000117,,2024-07-15,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000122,,2024-11-07,3495.85,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000125,,2023-07-10,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000126,,2023-04-04,,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000133,,2024-03-27,7808.41,Referential integrity issue: account_id not found
SYNTHETIC_TXN_000140,,2023-03-07,,Referential integrity issue: account_id not found
