cohort_month,activity_month,accounts_in_cohort_month,accounts_with_activity
2020-01,2023-01,19,19
2020-01,2023-02,19,19
2020-01,2023-03,29,29
2020-01,2023-04,19,19
2020-01,2023-05,22,22
2020-01,2023-06,20,20
2020-01,2023-07,23,23
2020-01,2023-08,21,21
2020-01,2023-09,27,27
2020-01,2023-10,20,20
2020-01,2023-11,17,17
2020-01,2023-12,22,22
2020-01,2024-01,27,27
2020-01,2024-02,25,25
2020-01,2024-03,23,23
2020-01,2024-04,21,21
2020-01,2024-05,17,17
2020-01,2024-06,18,18
2020-01,2024-07,20,20
2020-01,2024-08,20,20
2020-01,2024-09,25,25
2020-01,2024-10,26,26
2020-01,2024-11,22,22
2020-01,2024-12,23,23
2020-02,2023-01,19,19
2020-02,2023-02,22,22
2020-02,2023-03,22,22
2020-02,2023-04,21,21
2020-02,2023-05,12,12
2020-02,2023-06,20,20
2020-02,2023-07,19,19
2020-02,2023-08,23,23
2020-02,2023-09,23,23
2020-02,2023-10,17,17
2020-02,2023-11,20,20
2020-02,2023-12,18,18
2020-02,2024-01,19,19
2020-02,2024-02,23,23
2020-02,2024-03,21,21
2020-02,2024-04,20,20
2020-02,2024-05,23,23
2020-02,2024-06,24,24
2020-02,2024-07,23,23
2020-02,2024-08,18,18
2020-02,2024-09,22,22
2020-02,2024-10,16,16
2020-02,2024-11,20,20
2020-02,2024-12,20,20
2020-03,2023-01,20,20
2020-03,2023-02,18,18
2020-03,2023-03,28,28
2020-03,2023-04,19,19
2020-03,2023-05,23,23
2020-03,2023-06,25,25
2020-03,2023-07,25,25
2020-03,2023-08,17,17
2020-03,2023-09,24,24
2020-03,2023-10,13,13
2020-03,2023-11,29,29
2020-03,2023-12,23,23
2020-03,2024-01,20,20
2020-03,2024-02,20,20
2020-03,2024-03,25,25
2020-03,2024-04,22,22
2020-03,2024-05,25,25
2020-03,2024-06,20,20
2020-03,2024-07,23,23
2020-03,2024-08,20,20
2020-03,2024-09,19,19
2020-03,2024-10,23,23
2020-03,2024-11,24,24
2020-03,2024-12,25,25
2020-04,2023-01,17,17
2020-04,2023-02,18,18
2020-04,2023-03,20,20
2020-04,2023-04,19,19
2020-04,2023-05,20,20
2020-04,2023-06,19,19
2020-04,2023-07,21,21
2020-04,2023-08,14,14
2020-04,2023-09,18,18
2020-04,2023-10,23,23
2020-04,2023-11,20,20
2020-04,2023-12,22,22
2020-04,2024-01,22,22
2020-04,2024-02,21,21
2020-04,2024-03,25,25
2020-04,2024-04,21,21
2020-04,2024-05,21,21
2020-04,2024-06,20,20
2020-04,2024-07,15,15
2020-04,2024-08,22,22
2020-04,2024-09,24,24
2020-04,2024-10,22,22
2020-04,2024-11,16,16
2020-04,2024-12,23,23
2020-05,2023-01,16,16
2020-05,2023-02,21,21
2020-05,2023-03,20,20
2020-05,2023-04,20,20
2020-05,2023-05,22,22
2020-05,2023-06,23,23
2020-05,2023-07,18,18
2020-05,2023-08,20,20
2020-05,2023-09,24,24
2020-05,2023-10,18,18
2020-05,2023-11,22,22
2020-05,2023-12,21,21
2020-05,2024-01,22,22
2020-05,2024-02,21,21
2020-05,2024-03,20,20
2020-05,2024-04,14,14
2020-05,2024-05,16,16
2020-05,2024-06,19,19
2020-05,2024-07,20,20
2020-05,2024-08,19,19
2020-05,2024-09,23,23
2020-05,2024-10,18,18
2020-05,2024-11,14,14
2020-05,2024-12,14,14
2020-06,2023-01,11,11
2020-06,2023-02,18,18
2020-06,2023-03,17,17
2020-06,2023-04,18,18
2020-06,2023-05,14,14
2020-06,2023-06,16,16
2020-06,2023-07,16,16
2020-06,2023-08,21,21
2020-06,2023-09,18,18
2020-06,2023-10,18,18
2020-06,2023-11,18,18
2020-06,2023-12,16,16
2020-06,2024-01,19,19
2020-06,2024-02,18,18
2020-06,2024-03,19,19
2020-06,2024-04,17,17
2020-06,2024-05,18,18
