cohort_month,activity_month,accounts_in_cohort_month,accounts_with_activity
2020-01,2023-01,5,5
2020-01,2023-02,3,3
2020-01,2023-03,3,3
2020-01,2023-04,3,3
2020-01,2023-05,3,3
2020-01,2023-06,5,5
2020-01,2023-07,4,4
2020-01,2023-08,3,3
2020-01,2023-09,4,4
2020-01,2023-10,4,4
2020-01,2023-11,3,3
2020-01,2023-12,4,4
2020-01,2024-01,6,6
2020-01,2024-02,3,3
2020-01,2024-03,6,6
2020-01,2024-04,4,4
2020-01,2024-05,7,7
2020-01,2024-06,5,5
2020-01,2024-07,2,2
2020-01,2024-08,2,2
2020-01,2024-09,4,4
2020-01,2024-10,6,6
2020-01,2024-11,3,3
2020-01,2024-12,5,5
2020-02,2023-01,2,2
2020-02,2023-02,3,3
2020-02,2023-03,2,2
2020-02,2023-04,2,2
2020-02,2023-05,1,1
2020-02,2023-06,2,2
2020-02,2023-09,1,1
2020-02,2023-10,3,3
2020-02,2023-11,3,3
2020-02,2023-12,3,3
2020-02,2024-01,1,1
2020-02,2024-02,2,2
2020-02,2024-03,2,2
2020-02,2024-05,3,3
2020-02,2024-06,2,2
2020-02,2024-07,2,2
2020-02,2024-08,1,1
2020-02,2024-09,3,3
2020-02,2024-10,2,2
2020-02,2024-11,1,1
2020-03,2023-01,4,4
2020-03,2023-02,4,4
2020-03,2023-03,5,5
2020-03,2023-04,5,5
2020-03,2023-05,4,4
2020-03,2023-06,2,2
2020-03,2023-07,3,3
2020-03,2023-08,3,3
2020-03,2023-09,2,2
2020-03,2023-10,4,4
2020-03,2023-11,4,4
2020-03,2023-12,2,2
2020-03,2024-01,1,1
2020-03,2024-02,2,2
2020-03,2024-03,4,4
2020-03,2024-05,1,1
2020-03,2024-06,3,3
2020-03,2024-07,2,2
2020-03,2024-08,5,5
2020-03,2024-09,2,2
2020-03,2024-10,1,1
2020-03,2024-11,3,3
2020-03,2024-12,3,3
2020-04,2023-01,3,3
2020-04,2023-02,2,2
2020-04,2023-03,7,7
2020-04,2023-04,3,3
2020-04,2023-05,2,2
2020-04,2023-06,6,6
2020-04,2023-07,5,5
2020-04,2023-08,3,3
2020-04,2023-09,3,3
2020-04,2023-10,6,6
2020-04,2023-11,2,2
2020-04,2023-12,6,6
2020-04,2024-01,3,3
2020-04,2024-02,3,3
2020-04,2024-03,5,5
2020-04,2024-04,2,2
2020-04,2024-05,3,3
2020-04,2024-06,2,2
2020-04,2024-07,2,2
2020-04,2024-08,3,3
2020-04,2024-09,4,4
2020-04,2024-10,2,2
2020-04,2024-11,4,4
2020-04,2024-12,4,4
2020-05,2023-01,2,2
2020-05,2023-02,2,2
2020-05,2023-03,1,1
2020-05,2023-04,3,3
2020-05,2023-05,3,3
2020-05,2023-06,2,2
2020-05,2023-07,3,3
2020-05,2023-08,2,2
2020-05,2023-09,2,2
2020-05,2023-10,2,2
2020-05,2023-11,1,1
2020-05,2023-12,1,1
2020-05,2024-01,2,2
2020-05,2024-02,2,2
2020-05,2024-03,2,2
2020-05,2024-05,3,3
2020-05,2024-06,3,3
2020-05,2024-07,1,1
2020-05,2024-08,3,3
2020-05,2024-09,2,2
2020-05,2024-10,2,2
2020-05,2024-11,1,1
2020-05,2024-12,3,3
2020-06,2023-01,2,2
2020-06,2023-02,2,2
2020-06,2023-05,1,1
2020-06,2023-06,2,2
2020-06,2023-07,2,2
2020-06,2023-08,1,1
2020-06,2023-09,2,2
2020-06,2023-12,2,2
2020-06,2024-01,2,2
2020-06,2024-02,1,1
2020-06,2024-03,2,2
2020-06,2024-04,1,1
2020-06,2024-05,1,1
2020-06,2024-06,1,1
2020-06,2024-07,1,1
2020-06,2024-08,1,1
2020-06,2024-10,1,1
2020-06,2024-11,1,1
2020-06,2024-12,2,2
2020-07,2023-01,2,2
2020-07,2023-02,3,3
2020-07,2023-03,3,3
2020-07,2023-04,4,4
2020-07,2023-05,1,1
2020-07,2023-06,3,3
2020-07,2023-07,7,7
2020-07,2023-08,3,3
2020-07,2023-09,5,5
2020-07,2023-10,4,4
2020-07,2023-11,3,3
2020-07,2023-12,3,3
2020-07,2024-01,1,1
2020-07,2024-02,4,4
2020-07,2024-03,3,3
2020-07,2024-04,2,2
2020-07,2024-05,3,3
2020-07,2024-06,6,6
2020-07,2024-07,2,2
2020-07,2024-08,4,4
2020-07,2024-09,2,2
2020-07,2024-10,5,5
2020-07,2024-11,5,5
2020-07,2024-12,4,4
2020-08,2023-01,2,2
2020-08,2023-02,1,1
2020-08,2023-04,3,3
2020-08,2023-06,3,3
2020-08,2023-07,4,4
2020-08,2023-08,2,2
2020-08,2023-09,1,1
2020-08,2023-10,1,1
2020-08,2023-11,4,4
2020-08,2023-12,5,5
2020-08,2024-01,2,2
2020-08,2024-02,3,3
2020-08,2024-03,3,3
2020-08,2024-04,2,2
2020-08,2024-05,2,2
2020-08,2024-06,1,1
